Hybridization REF	TCGA-BH-A0C1-01B-11R-A12D-07
SOX15	0.0355
PPAPDC1B	-0.148916666666667
C19orf44	0.7025
MCAT	0.62525
ARID1B	0.369125
OR52N1	-1.701
C12orf48	-1.606
MAGI1	-0.157625
NIPA2	-0.72325
GBX2	-1.676
RSHL3	0.218
RAVER1	0.5615
C15orf17	-1.131
SLC30A2	0.04425
ZNF518	-0.2495
PCYT1B	-1.934
C10orf114	-1.0275
EIF3H	0.223166666666667
SLC25A39	-0.836166666666667
KIF1B	-0.751625
AMOTL2	0.827
C6orf120	1.04175
PSRC1	-2.224
PLA2G10	1.21025
KIF5C	-1.03125
MRPL37	-1.082
C17orf62	-0.132
C9orf135	-1.91666666666667
DUSP10	1.6627
CLCNKB	0.1145
PSMA5	-0.907625
C8orf53	-0.0285
AMPD3	0.420833333333333
PIAS1	-0.31
ADCYAP1R1	0.0915
GYLTL1B	1.4015
CDH20	-0.1916
FBXO7	-0.33375
TMEM134	0.440833333333333
FLJ14213	1.07333333333333
ZNF3	0.02525
LRRFIP1	0.340208333333333
CNOT2	0.853833333333333
ABI3	2.478
ALDH5A1	-1.30858333333333
HNT	3.1952
SERPINA4	-2.3485
TK2	0.1595
STMN1	-1.41466666666667
GUCA2A	-0.0745
GALNT10	1.25271428571429
DPP6	-1.01868421052632
C9orf93	-0.40025
PRELID2	-1.127375
STK39	0.994625
SFTPA1	-1.90633333333333
CKS2	-1.93366666666667
RHO	-0.239
C20orf135	0.1565
XKR3	-2.2345
CR1	-0.088625
RPS6KA2	0.8985
C20orf112	1.26275
MRPL22	-0.28525
C4orf23	0.231166666666667
GADD45B	1.216
KLHDC1	1.00266666666667
C2orf48	-2.837
ZNF287	1.355
DAAM2	-1.15775
DPPA2	-4.5522
TCTN3	0.241166666666667
DNAJB11	-0.34275
FPR1	3.47575
DEFB4	-0.066
PTCD2	-0.4323
SMOC2	4.243
CABP7	0.82025
SERPINB11	0.53775
MAGEF1	0.139
NDE1	-0.351
ITGA10	1.409
FSHB	0.2015
ANXA2	0.418375
HORMAD2	-0.23725
HLCS	0.9315
MCF2L	1.50483333333333
FH	0.426875
TBC1D24	1.25025
KIAA1505	0.36475
LGALS2	-0.303
CNBD1	-0.0315
SYNPO2L	-1.23425
PTPN23	0.358714285714286
C1orf183	-1.101
MAGEA8	-2.8775
DGCR8	-1.776375
GSR	-1.18625
PAQR7	-0.1555
ZNF676	0.161
CACNA1C	0.0284
SP7	0.787
PDCD6	-0.239
NRN1L	-1.78
BRI3BP	-1.27208333333333
KIAA1183	0.73175
ASB4	-0.149666666666667
CCL23	2.1704
OBSL1	-1.09225
SLC12A7	1.096
KIAA0240	1.539125
CD1B	-2.716
FCGR2A	0.819875
MDC1	-1.45325
HTR1A	0.166
OCEL1	0.4355
ATP11B	-0.1496875
FBXO34	0.48
PCDH12	3.3325
RPE	-0.38225
C17orf74	0.309
CSDC2	0.667
PET112L	-0.62425
TMBIM1	-0.087875
P2RXL1	-0.69925
TCHP	-1.313
TRMT1	-0.494
F2RL2	2.17025
LRRC32	3.25066666666667
IMPG2	0.4325
BGLAP	0.4975
LOC493869	-0.271
MRAS	1.18475
SLC35F5	1.3035
CBWD1	1.3255
AXL	-1.29975
ATP2C2	1.73875
TELO2	-0.69175
PNPLA3	0.90325
PCDHB14	2.09375
CD276	0.863
KRT80	-1.1765
DUSP28	0.713
CSNK1E	0.0129166666666667
SRP14	0.1
KCNQ4	0.054
KRT72	0.1505
CCDC117	0.007875
C6orf89	0.0483333333333333
TUBB2B	-3.324
RTN4IP1	-0.6155
CR1L	-3.54133333333333
CEND1	0.631625
C12orf41	-0.300333333333333
RNF31	0.3525
UBN1	-0.412333333333333
C17orf32	0.081625
SLC5A7	-0.20725
GPR92	0.864666666666667
ESAM	2.2528
CTNNA1	0.815
HRBL	0.1288
CBX4	0.09075
TMEM182	1.194
SH3TC2	-1.00583333333333
IL10	0.821666666666667
PXMP4	1.008
RNF167	-0.2872
PAK7	1.13516666666667
ETV3	-0.297
ATPIF1	-1.39616666666667
LOC554207	-2.35766666666667
OR8H1	0.32025
WDFY3	1.139125
DPM1	-1.004
GPSM1	0.24
WDR92	-0.0394
LRP1	0.754833333333333
ANKH	0.026375
THUMPD3	-1.1715
POLR1B	-0.27175
OLFM4	3.45983333333333
RAD9B	-0.1825
TSPY2	-3.908
PAX6	-3.052
SCG2	-1.734375
SLC17A6	0.29775
FMO3	3.05525
PADI4	0.114428571428571
TUBB4	-0.9478
NLK	-1.185
POU4F3	-0.927
SDF4	-0.65525
ITGBL1	2.4845
NETO1	-1.18325
TAP2	0.82
ABBA-1	-0.261333333333333
GNAI1	-0.748
VPS4B	1.1185
NOPE	0.4621
GALNT6	3.026
SESN1	1.10775
GBE1	-2.00755555555556
CLASP1	0.289
RASGEF1B	1.320375
ACOT11	-0.4355
AFAP1	1.547
OR2H2	0.2755
DPY19L2P1	-1.29425
DZIP1	-1.55075
SEC22C	-0.266333333333333
GPR161	0.560416666666667
RNF146	0.399
WDR74	-1.062125
GALP	-1.0035
PURA	0.78225
DNPEP	0.939
RP11-78J21.1	-0.0455
ERBB2	1.988125
FANCM	-1.17441666666667
NEO1	0.777
DDX3Y	-5.3738
RPS3A	0.2095
MXRA7	-0.383928571428571
LGALS3	-0.916166666666667
GLT8D1	-0.26725
CFL2	-1.768
UPB1	-0.046
NAP1L5	-0.315125
CLDN14	-0.28675
DHX38	-1.34475
BTBD1	-0.35925
TARS2	0.308333333333333
ABCF1	-0.2256
FCF1	1.141
LRRC49	-0.57925
GUCY1B2	-2.153
C1orf177	-0.215833333333333
SMARCA4	-0.154571428571429
LRP8	-2.94766666666667
TAGLN3	-1.39725
MRPL14	-0.24925
TTRAP	-0.13025
ZDHHC20	0.28575
NFE2L3	-0.655
KIAA1377	0.291125
PALMD	2.0564
TMEM43	0.055
TTL	-0.992375
STAT5B	-1.53266666666667
SSB	-0.685
OR10H5	0.291
SLC22A13	-1.10025
AKAP3	-0.994
TIMM23	-0.323166666666667
OAS2	1.93491666666667
KIAA0423	1.167
TRIM11	0.978333333333333
GLIS3	2.350625
TMEM50B	0.6295
ARHGEF4	-1.3125
DEGS1	1.42390909090909
TBL1XR1	0.744433333333333
G6PD	-1.535
SP140	0.6601
MUC17	0.0123076923076923
NUDC	-0.8462
DNAJC5B	3.89
SCARA3	-0.410666666666667
CPA3	6.25116666666667
BCAT2	0.35875
MFN1	-0.4123
NRG3	2.379
SNX11	0.198
PLEKHH1	-0.667333333333333
GPR177	-0.6335
HCFC2	-0.3605
TCAP	-0.96275
MOCOS	-1.56025
C14orf93	-0.12375
PRDM10	0.145333333333333
SLC16A4	0.569166666666667
SRGAP1	-0.684333333333333
VIP	0.95125
DUSP27	0.573166666666667
LILRA1	0.8187
MC2R	0.264
MGC24103	-2.099
MBTD1	-2.3465
FUT11	-0.608166666666667
USP33	-0.0499
C15orf39	-0.4775
MAP3K12	0.27475
PAAF1	-1.42466666666667
BARHL1	-0.1095
FLJ16165	-0.766
PIWIL2	-3.25725
SYNE1	0.372181818181818
CMTM4	-0.15725
TSPYL1	1.3191
GUF1	-0.722666666666667
TMEM157	1.542
WDR44	0.12575
HIST1H3C	-0.849
DKFZp666G057	0.73575
RNPEP	0.158
GAS2L2	-1.24083333333333
ADH4	-5.07825
GRPR	1.62516666666667
FBXL17	1.141
ZBTB10	0.951083333333333
Gcom1	0.984166666666667
HTRA1	2.4188
ZNF585A	0.3325
SLC26A2	1.22021428571429
OTOP3	0.377
WISP1	3.47311111111111
ATP2B4	0.142083333333333
FLJ10769	0.221
CRAMP1L	-0.057875
CHST12	-0.67675
RAB22A	0.48875
TARDBP	-0.298071428571429
STAU1	0.144
CRB3	2.01666666666667
MIG7	0.04675
CHMP1A	-0.142833333333333
ZNF160	0.604
B3GALT6	-0.16875
BARX1	-1.74433333333333
C6orf167	-0.6418125
NXNL1	0.487
DHX29	0.78825
HADHB	0.43025
PLXNB2	0.963
ILDR1	-1.3605
SLC15A3	2.383
GAS2	-4.1565
C20orf69	0.19425
NUMB	-0.16
TNIP1	0.369875
MESP1	0.258166666666667
PSKH1	-0.1205
NSFL1C	-0.26325
RHOG	0.345
HEY1	-1.3525
KNG1	-2.63042857142857
ITGAX	1.5572
LIN9	0.508833333333333
CANT1	0.868625
XRN1	0.146071428571429
CCDC96	1.2124
HEATR6	-1.9725
GNG7	0.86725
RUNX2	1.5724375
SOX1	0.6222
FCRL5	0.0656
ZNF99	0.89875
FAM9A	1.2665
SNX22	0.401166666666667
MBNL3	-1.181
ODC1	-2.6732
ADORA2B	-3.66733333333333
NR2F6	0.87825
ZFYVE16	0.557444444444444
SYNJ2BP	0.026
POLE	-1.462625
E2F2	-1.414875
THRA	0.293666666666667
PTGES2	-0.859833333333333
HIP1R	0.753833333333333
TMUB1	-0.555
ENO3	-2.28825
RSPH10B	0.094
CXorf39	1.226625
IRGC	0.206
GPR109B	-0.35425
FLJ13305	-1.275
LCE3A	0.1485
TNFRSF18	-1.233
DET1	-0.26625
TRPM3	-0.16675
C16orf79	-1.2105
FECH	-0.146333333333333
RAP2A	0.0956666666666667
CRIP1	2.192
AZIN1	0.524125
SLC7A7	3.181
IL10RA	0.8884
TMEM64	-1.88675
CDC42EP4	0.4474
C16orf58	0.1215
ARG2	-2.8565
POU5F1P4	-4.5435
FAM62B	-0.136125
DNAH8	-2.1391
ASH2L	0.713625
TSLP	-3.92083333333333
CNTNAP5	-0.0143333333333334
TMEM16C	0.233
IFNA14	-1.1245
SLC1A3	0.627625
CABYR	0.41325
BCL7B	-0.1752
NUDT13	-1.7455
C13orf28	-0.084
C1orf53	0.5775
ARL6IP4	-0.4162
RPL35A	0.182
EMR3	0.5835
RAB40C	0.953166666666667
SLC41A1	-0.039
LRCH1	-0.0909999999999999
LY6G5B	-1.166
FAM124A	-0.234857142857143
MGC10981	-3.754
CLIP3	0.5442
MAP4K2	-0.346166666666667
CHIC1	0.2825
SULF1	3.84366666666667
C20orf30	-0.154357142857143
PRDM5	-0.69275
ELOVL1	-0.493
C11orf48	-0.988625
SLC39A10	1.00825
KCNV1	-0.0285
ACP1	-0.187
ZMYM2	-0.188625
B3GNT6	-0.226833333333333
C9orf69	-0.54325
C2orf15	1.02175
C20orf166	1.366
HSP90AA6P	0.3355
EDG7	-0.889
NEURL	1.490125
LPL	-0.306666666666667
CLEC2D	0.283571428571428
GRRP1	0.995333333333333
CD8B	-2.1214
HIST1H3D	-1.47116666666667
SLC6A12	0.524625
FAM27L	-0.43
CD84	2.0705
RASA1	0.048
PHKG1	-0.971
MAGEA11	-1.612
IMPA1	-0.9257
NPM3	-1.28225
RARRES1	2.7245
SH3BP1	0.161
B3GNTL1	-1.0575
ARPC5L	-0.0971666666666667
KLHL26	0.55675
SIM2	2.335
GJC1	0.532
C20orf194	0.05775
EXO1	-1.66675
SLC2A2	-2.95616666666667
LOC285074	-1.02325
LRG1	2.8535
KIRREL	-0.094
PIK3R1	1.68457142857143
C4orf34	1.667
MAF	-1.293
ADCY4	4.1115
ZMIZ2	0.5013
SLC46A3	1.08266666666667
STAMBP	0.173166666666667
CCDC16	0.27475
MS4A12	0.233
TCF20	0.606
LRRC46	0.61875
C20orf152	0.05725
MRPS6	-0.26075
ABCB11	-0.391
KCNC2	1.15966666666667
CDH19	-3.49116666666667
C9orf123	0.5145
SSH3	1.057
LDLRAD1	-3.7915
CCBE1	-0.0335
ZNF135	1.327625
TAAR1	0.729
WFDC12	0.6335
CCDC42	0.0281666666666667
FLJ12529	-0.07325
PER1	0.236833333333333
TIMM50	-0.517
SMARCAD1	0.373333333333333
FAM26C	0.0635
TP53TG3	-2.53316666666667
SH3RF1	2.6816
LMCD1	2.26
GPR63	-0.4315
FLJ21986	-2.367125
AIFM3	-0.8575
MICAL1	-0.709
BLZF1	1.76433333333333
IQCA	1.2505
PCDHGC3	-1.1355
SAC	-0.14525
BCL6B	1.783
DDO	-1.281
MARCO	1.55175
DCHS1	1.66
C1orf170	-1.77
CD200R1	1.80116666666667
C22orf15	-0.8675
SEPT11	0.355166666666667
ADNP	0.83675
UST	0.0351
C13orf34	-1.47266666666667
RFFL	-0.00621428571428575
APBA3	0.5185
C2orf60	-0.1025
CUTL1	0.3272
PMS1	-0.033125
ZNF689	-1.9915
EIF3E	-0.1925
IL9	0.556
RPL31	0.260875
LY9	1.154
ATP2B3	0.28575
KDELR2	0.393083333333334
TFCP2	0.517625
NLRP12	-0.368125
FLJ45422	0.04675
TLE4	-0.24
ZNF570	0.1965
FLJ43806	-0.9785
TLK2	-0.970375
CIR	0.8
MARS2	0.691
COL24A1	0.6965
SDF2L1	-0.658
HIBADH	-0.0526666666666667
IGFBP3	-2.80292857142857
C12orf23	0.52525
PSPC1	-0.12775
C20orf43	-0.00325
TRAV20	0.5885
ARHGAP24	1.358625
KIAA1975	-1.871875
C1QA	3.4763
DNTT	-5.00616666666667
C10orf6	0.221
C11orf41	0.280375
HNRPF	0.649625
COL11A1	5.76883333333333
UBAP2	0.0113333333333333
CDKN2AIPNL	-0.779
C20orf174	5.0855
SPRED2	1.19775
PLA2G12A	0.448666666666667
ICEBERG	-2.261
SCN10A	0.647
C11orf65	-1.33525
GBP5	5.112
PITPNC1	-1.212
POU3F3	1.353
NCOA7	1.878375
LIN7C	0.0449
LOC348840	-1.275
NKX2-2	3.59625
ANKRD13D	0.0305
LOC123688	-0.8175
FUT2	1.59
TAAR8	0.6205
FZD4	0.104833333333333
PNMA3	-0.254833333333333
OR4L1	0.406
WIT1	-0.8395
EXOC3L	1.391
ATPBD4	-1.0157
KRBA1	-0.0865
UBXD6	0.46125
HOXB7	-0.957714285714286
C7orf23	-0.436
UNQ338	-0.00750000000000001
STAB2	3.122
CDC20B	-0.093
IRF9	2.1375
CENTG1	0.63775
TNPO2	-1.22625
MCPH1	0.491875
BMS1P5	-2.29775
SLC26A7	0.648
HIST1H3J	1.32775
C9orf3	-0.2853
LBH	1.09875
MYO1D	0.872875
PTDSS2	-0.37225
NFU1	-0.09925
DEPDC4	-1.42725
WNT7B	2.1082
GLP2R	-0.795166666666667
SETD4	0.1965
DYNLT3	-0.6236
FKBP11	-1.34316666666667
SESTD1	0.3995
FLII	0.00925
RPS16	-0.4165
CHPF	0.721333333333333
CSNK2A1	0.158333333333333
SUMO1P1	-0.0225
FKBP6	-0.954
ZNF214	1.32
TWIST1	1.98116666666667
DDX56	-0.708166666666667
TRAM1L1	1.9609
EPO	-3.11216666666667
MRPS18B	-0.468
ZNF682	0.2455
RPL14	-0.137
MAFF	0.95475
LOC51136	-1.415875
LY96	0.30675
DDX20	-0.654
ABTB1	0.454166666666667
ARL5A	0.7046
CCT6A	-0.90025
HEPACAM	-1.38683333333333
EHHADH	-0.439
RBAK	0.6265
CGB1	-0.24025
ITGB5	1.0237
YIPF3	0.75
FKBP2	-0.101
NR1D1	-0.4021
TMEM110	0.34
NEK2	-0.431666666666667
PRAMEF8	-3.33975
C20orf52	-0.738833333333333
PCDHGA3	0.01
VWA3B	-0.4585
NDUFA5	-0.14625
THAP9	-0.12825
FLVCR2	-0.251166666666667
AP1S1	-0.686625
SMAD6	-1.12075
SAV1	0.323625
SAT1	1.303375
ZNF251	1.0555
ADAMTS7	0.4424
RPP38	-0.218
C1orf211	-1.5935
YPEL2	0.91655
RBMS1	0.617
ZNF445	-0.745
NRXN2	0.3995
PGBD4	-0.9385
UGT2B28	2.65775
WBSCR16	-0.744
NLRC3	0.716375
ASTL	0.3705
ST6GALNAC1	-1.09675
ZADH2	0.362125
MLLT4	0.51725
ARL6	0.0883333333333333
MEF2C	0.594
CBFA2T3	-2.487
AFF3	1.042
COG7	-0.569166666666667
MYB	0.380666666666667
PLXNA3	0.64
XRCC2	-1.2895
MMS19	-0.635375
ST8SIA5	-1.00716666666667
CHPT1	-0.194
KIAA1712	-0.107625
OR6X1	0.3465
ACTR3	0.755875
UGCG	0.689
OR4P4	0.964
ZAP70	-2.2025
LPP	1.654125
ZNF485	0.13225
PTPRCAP	0.69175
IL12RB1	0.35225
ATRX	0.7619
CHST8	-0.5345
C14orf109	0.06325
ARV1	1.296
NMB	0.217
COX5A	-1.20433333333333
EIF6	-0.4015
MPPED2	-0.920666666666667
SEMG1	-1.081
CHRDL1	-0.1285
TRAF3IP2	1.30725
WNK2	0.069125
LILRA4	3.54716666666667
LAMA2	4.58225
PXT1	-0.2305
RLBP1	-3.60575
CD300C	0.37275
SLTM	-0.25125
FLJ10404	-0.55175
APOBEC3D	-1.881
RENBP	0.474166666666667
ATXN7L1	0.60025
NID1	0.8305
TUBGCP3	-0.514125
ITIH5	0.852882352941176
CCDC110	2.34675
C8A	-2.908
MGC87042	0.73925
HOXC13	3.07025
TFDP2	-0.96075
HCP5	2.09275
POLI	0.167
UCN	-0.844
ZNF764	0.49
C8orf45	0.485
FHL3	0.022
SPATA5L1	-0.5815
MMRN2	2.99483333333333
NDST1	0.9705
COL20A1	-0.446
ZNF248	-0.4855
PELP1	-0.663333333333333
MBL2	-2.95133333333333
RNF41	0.7465
C5orf24	0.992375
THOC5	-0.633125
SERINC3	-0.1565
RP11-151A6.2	0.37975
CDCP2	-1.032
HIST1H2AA	-0.111
C11orf75	0.493
FKBP7	0.10075
DDOST	-0.7695
GPNMB	1.377
TTF2	-1.389
KCNT1	0.226833333333333
SLC39A14	-0.72925
NGRN	-0.3968
GPR137B	3.4735
MECP2	0.6145
PSMA1	-0.5915
C16orf73	-5.2575
TMEM60	-0.363333333333333
CSN3	-0.714
NOS1	0.593333333333333
RAB7L1	0.6555
YBX2	-0.4415
KIAA1166	-0.878625
FUBP3	0.488666666666667
ABCG1	0.4845
ACACA	-0.4955
ARL11	0.8235
ATOH1	-0.3405
ODF1	0.7615
CREB3L3	-2.50166666666667
TMEM127	1.31878571428571
DSCAML1	1.256
PLN	3.0065
LYPLA1	0.404333333333333
PRDM9	-2.241
SASP	-0.066
PLUNC	-0.182333333333333
INTU	0.33
HISPPD1	0.49025
LNPEP	0.678833333333333
YARS2	-0.696833333333333
APCDD1L	-1.7385
ZCCHC4	-0.7954
FBXO22	-0.808333333333333
TTLL13	-0.3935
ZNF669	1.30416666666667
PTGDR	2.251
DDX27	-0.3075
KIAA0409	-0.293666666666667
GJB6	0.178
ASB8	0.71525
PLP2	-0.293
MEPE	-0.397
OR10J5	0.227
KRT222P	1.25475
COQ7	0.0291666666666667
C1orf101	1.8735
RERG	2.3531
CHMP5	-0.176875
THAP11	-0.56425
ZNF43	0.635666666666667
ZRANB3	0.0716666666666667
KRT13	-1.030875
MRPL19	-0.159
RBBP9	0.64675
SPATA17	1.061625
BXDC5	-0.0271666666666666
PAFAH1B1	-0.641
MAGEE1	0.33675
OSTF1	-0.07425
KIAA0323	-0.349166666666667
TXNDC13	-0.0208333333333333
CNTN4	1.5075
LCE1B	-0.775
UNQ501	0.79475
ZNF154	0.545
C3orf64	0.50025
SYT5	-0.2741
PON1	0.332
FLJ10357	-0.012625
ATP4A	-1.533
GNPDA1	-0.318
MGAT1	0.497833333333333
C14orf121	-0.117
SLC35B2	0.0355
MIER3	0.518666666666667
CHEK1	-2.690875
ZNF8	0.303333333333333
TXNDC1	-0.5745
CKB	-1.1253
RTN3	-0.0538571428571429
FZD2	-0.221666666666667
PART1	0.5785
PSMB6	-1.05875
PCDHB8	-0.319
PHC3	0.4419
PPP1R8	-0.703333333333333
NOVA2	2.04033333333333
TNFRSF11B	-2.477375
GOLPH3	1.03
UBLCP1	-0.05325
SUHW3	-0.5325
TTLL1	1.29525
OPN4	0.2375
OR13G1	-0.101
ZPBP2	-0.5596
HSD17B11	-1.497875
C9orf50	-0.025
DHDDS	-0.453071428571429
CTSW	1.6948
NEFM	-0.729
MRPL28	-1.0435
SYN1	0.769
PIGV	-0.7555
ZIM2	2.994
APBB1	0.107666666666667
SND1	-0.1955
C1orf123	-0.4945
CHD3	-0.04825
BHLHB8	0.3375
RNASE2	0.0461666666666667
BCAP31	-0.018125
SLC25A44	0.8475
CHD6	-0.2675
PIB5PA	2.22330769230769
SELS	-0.548625
LOC541471	-0.0585
FAT2	-0.246
ZNF81	0.0955
OR4C16	0.1665
FLJ10081	0.2195
LRRC4	1.2765
CS	0.0015
N4BP2	-0.591125
IGFBP7	2.0085
ZNF318	0.522333333333333
NDNL2	0.150875
ZNF609	-0.188125
SIRT4	-1.0505
EXOSC10	-0.5855
ECE2	0.24275
OVGP1	2.40175
GTPBP3	-1.25525
PACS2	0.3906
C19orf36	-1.15883333333333
ARL4C	0.151625
ATG4B	-0.619625
UBQLNL	-0.319
RHOXF2B	-3.848
PLEKHG2	-0.899
GALR1	-2.33
AQP4	0.544333333333333
HDAC7A	-0.147
DCUN1D3	0.267
OR8A1	-0.539
CCRN4L	-0.121375
CBR4	-0.472
KIFC1	-2.59116666666667
SLC7A14	-1.95833333333333
LHX5	1.2715
TRPC7	-0.434
LPXN	-0.604
SERPINA1	-2.4595
RPS13	-0.8943
BPIL3	0.72
PRKAA1	-1.5245
FADS2	-1.1714
ENAH	1.6046875
PRO1768	-0.1875
APBA2BP	-0.25775
LIPH	2.59283333333333
C3orf33	-1.38575
RCC2	-0.19
ALDH1A2	-3.4536
RNF103	2.1185
AHCY	-0.2835
ALG12	0.2485
CCL17	3.31125
ZNF543	1.47066666666667
ESRRG	2.8994
CNGA1	0.43375
RDH5	-1.28566666666667
OTX1	-0.00560000000000002
PTGFR	-1.61966666666667
CDR2	-0.329
SELE	5.595
NLGN2	-0.412166666666667
EXOSC9	-1.1005
ZNF566	0.4635
KLRC2	-4.1915
GPR12	0.4745
KIAA0196	0.5375
PDRG1	-0.1965
SSR3	-0.748714285714286
MSI1	-0.4085
CST9	0.011
CC2D1A	0.035625
PLAGL1	-0.243777777777778
ZNF778	-0.068
RNF2	0.724
KLF6	1.9855
THBD	2.099
tcag7.1314	1.24275
NR5A1	-0.112166666666667
ABCD2	0.40225
DNAJC7	-2.48475
CLEC4C	0.357
TM2D3	-0.281125
CCDC4	-1.669
PLAC2	0.25875
DCD	4.755
FAAH	1.25425
POLA1	-0.316333333333333
TM7SF2	-1.22125
FLJ39822	-0.725833333333333
FLOT2	-0.496875
MAP4K1	0.0408333333333333
SRP68	-0.7455
C21orf74	-0.422
ARPC5	1.000375
LOC126075	1.84225
HECW2	0.679875
ZDHHC4	-0.563
ANKRD42	1.5501
PDE9A	-0.8815
ABCA8	1.06125
NDUFS2	0.644
UBR5	-0.33075
BTBD16	-2.40375
LOC554174	0.1
ZNF20	0.8205
KIAA1843	0.571
WDR17	-1.55525
C15orf33	0.6055
RNF113A	-0.425
CAMKK1	-0.0635
CLCN2	-0.743
ANXA6	-1.7205
LOC340069	0.027
EMID1	1.668125
DPM3	-0.0999166666666667
ELA1	-0.2945
SLC25A13	-0.5154
KRT24	1.2955
SMPD1	0.386833333333333
TH	-0.0155
COL6A2	1.59457142857143
ANKS1B	2.4155
GPR126	1.9991
ZC3H12A	-0.0611666666666667
TMEM47	0.0391666666666667
C2orf51	-0.382333333333333
C1orf88	1.2465
HSF2BP	-0.0465
AKAP10	-0.17375
RPAP3	-0.118
KLHDC8B	-0.441875
STOM	-0.3625
MUPCDH	-0.020625
C10orf72	-0.335625
PLEKHA3	0.727166666666667
TCP11L1	-0.386
CWF19L1	-0.32775
SPEF1	1.48938461538462
YSK4	-0.5745
ELN	2.2493
SAMD8	0.176666666666667
MPI	-1.7705
MEPCE	0.0641
ABCC3	-1.28
NANOGP1	-4.1915
KCNK17	0.71225
HLA-DMB	4.332
RRAGA	0.69275
ANGEL1	-0.91075
RBM32B	0.2845
CPN1	-3.10775
MGC52282	-0.8834
HLA-A	1.8525
OR9G4	0.1685
EDNRB	-0.793
SCD	-2.4935
C14orf80	-0.636833333333333
BAGE2	-0.078
RABL4	0.7015
RCVRN	0.2905
SHANK1	-0.082
NLRP7	-3.60975
CD226	1.81675
STAT3	0.84325
SYNJ2	-1.2701
TPCN2	-0.0468333333333333
WDR36	-0.449083333333333
MBD4	-0.46525
ROBO1	0.1075
ST3GAL6	-3.41825
SLAMF8	3.99933333333333
ATN1	0.5445
GPR141	0.752
KRT36	0.798
TPH1	0.127
DDX52	-0.38825
ZSCAN29	-0.454
TRPT1	-0.208666666666667
DPEP3	0.9175
DENND4A	-0.885875
TSPAN16	-3.349
PTCHD2	-1.1285
LOC145814	-0.354
CAP1	0.2235
EIF5A2	-0.5904
NT5DC3	-1.02825
SEPT9	-0.864875
SEZ6L2	1.455625
EGFLAM	3.23125
VPS11	-0.1175
NDUFB5	-0.326833333333333
CIDEA	-0.524666666666667
IER5L	0.13575
N6AMT1	0.692
FAM83C	-0.25925
OXR1	0.0159166666666667
IRX1	-0.0795
DGKB	-0.4755
GCN5L2	-1.87225
MIR16	0.353
FBXW9	0.242
WDR4	-1.34766666666667
PDC	-0.257
VPS33B	-1.17575
HEXB	-0.271
FLJ32214	0.47625
TCEB3	-1.59175
CRLF1	-4.24725
ABI3BP	2.4485
C8orf22	-4.15175
PYCR1	-0.613
KIAA1706	0.85825
CDK5R2	0.50925
WAS	0.4985
C12orf60	-1.85
CCBL2	-0.695375
MADD	-0.2675
C5orf34	-1.64475
WDR42A	1.2085
KLF12	-0.101625
HSPA1A	1.33425
ITM2C	-1.87516666666667
DAPK2	1.81583333333333
LOC442590	0.4215
SUMF2	-0.612125
CENPA	-1.85192307692308
TMED5	-0.86525
CDH6	-0.33
BRP44	1.49675
THG1L	-0.88275
GABRA2	-1.56425
C14orf166	-0.1485
MYL1	-2.4386
TNFSF18	0.017
PAP2D	-1.96766666666667
PPIB	-1.01225
KLHL4	0.417625
SFN	-0.836333333333333
CCDC127	0.36675
FRAP1	-0.854
GOLGA5	1.02975
SDCCAG1	-0.107125
MGC21675	0.2845
C10orf95	-0.67125
KIAA1345	0.0506666666666667
C1orf163	-0.876
LACE1	0.022
OR10K2	-0.0835
CENPN	-1.79968
TMED2	0.60275
UGT1A6	0.223
ANG	-1.22625
U2AF1	-1.61016666666667
CASC2	0.4065
NMT2	-0.255166666666667
OSGEPL1	0.97775
DFNB31	-0.4525
SLC6A20	0.91075
DKC1	-0.48725
FXYD4	-1.111
WDR64	-0.27525
MGC5590	0.473
CREBZF	0.0406666666666667
DAZ1	-0.78425
PRPSAP1	-1.073
GCHFR	-1.154
TTC7A	-0.942
LOC196993	0.799
UBD	3.51983333333333
S100A1	1.555125
RPL6	-0.424
DNAJB6	0.1855
NAGS	-0.0251
C2orf58	-0.053
KERA	1.75466666666667
MT1X	-0.5146
UBE2B	1.0517
KEAP1	-0.19225
MST1	-3.161875
OMA1	-0.19
ABLIM2	1.30375
BCL2L13	-0.16725
JAZF1	0.0785
TMEM63B	0.992
S100A8	0.1147
ARFIP2	0.192
UROS	0.666
KHDRBS2	-2.221
POLQ	-2.7735
SOAT1	-1.074
SPAG4	-2.663
MRPS30	-1.17033333333333
LOC494141	-0.8515
OR2T11	0.236
ORAOV1	-0.5509
ZNF184	0.550833333333333
TCEB3B	0.39425
ADAM21	-0.988
GDPD1	0.49625
SPINLW1	0.1765
PRR14	0.142666666666667
KCTD9	0.0319
NUDT3	0.544
KIAA1822	0.9304
HIST1H4K	0.905
DFNA5	-1.683
GABPA	0.8615
C14orf44	0.78225
POLB	0.64025
PTAR1	-0.45075
SEC31A	1.0932
TRIM58	1.8615
TAS2R14	-1.215
VPS8	-0.132
H1F0	0.940333333333333
PRKCB1	-2.4065
UGT2A1	0.608
TOR1B	-0.09375
LSS	-1.33841666666667
C2orf19	0.142
HNRNPC	0.707642857142857
TMEM100	-1.612
LOC116349	-0.15575
OR51M1	0.3075
CCDC142	-0.92325
ISG15	0.566875
ZCCHC14	-0.068125
CREBL2	0.470875
TGDS	-1.33925
DC2	-0.3395
