Hybridization REF	TCGA-AR-A1AU-01A-11R-A12P-07
ATE1	-0.31525
ARAF	-0.56625
KLF10	1.15675
PLA2G2E	0.26825
ASCL1	2.13083333333333
TSNAXIP1	1.6215
FAM131B	0.515
IFNA10	0.048
NUP43	-1.198
FAM44B	-0.10925
L1TD1	-3.83833333333333
NMD3	-0.692083333333333
C18orf54	-0.338
PHOSPHO1	-3.7685
RAG2	-3.501
EMILIN3	0.2885
METTL3	-0.17525
VPS13C	1.578875
REXO2	-0.79675
ANXA4	0.136
CA1	-1.6445
DCP1B	-0.17225
TULP3	-1.35116666666667
ATP2A2	-0.186857142857143
ATIC	-0.845
ADAM15	-0.475583333333333
NPL	0.787166666666667
LGR4	0.67725
UEVLD	1.23866666666667
GAB1	0.48675
SNAI2	0.703833333333333
ZGPAT	0.2674
SNF1LK	1.2835
DLEU1	-0.83475
UBE2Q1	0.06625
ZMYM6	-0.0689375
JPH3	-2.2005
FAM38A	-0.0248333333333333
PXK	-0.000166666666666676
DENND2D	1.283
BAX	-0.259
CP	-3.24327272727273
RPL37	-0.215
G6PC3	0.468875
NCOA4	-0.159833333333333
LRRC14	0.646
GORASP1	0.64125
FCHO2	0.206875
CYP24A1	-2.4936
FXYD3	1.441
SMARCAL1	-0.42225
ABCB8	-0.133833333333333
CCDC44	-0.5555
PRDM7	-5.53766666666667
USH1C	-1.551
DNAH5	1.71683333333333
SRF	0.413333333333333
MAL2	2.43433333333333
PGPEP1	-0.263916666666667
SIN3B	-1.0825
SEMA3C	3.20616666666667
GRAMD3	2.76125
FBXO10	0.042625
OR5D13	0.043
FLJ31818	-0.062
CACNA1I	0.662375
S100A13	0.026
TP63	3.96307142857143
ANXA11	0.3922
WDR66	0.999375
CSF2RB	-0.078
IFI44	0.3995
DACT1	1.50883333333333
ANKRD23	-1.11225
ATP5G1	-0.360333333333333
C21orf70	-1.7645
PPWD1	-1.5575
DNAJC13	-0.76975
PAH	-2.64133333333333
PTCH2	0.624
TRMU	-0.78675
CCDC9	0.57
USP3	-0.8653
DCLRE1C	-0.5118
FAM55C	-0.287
FRMD4B	0.83075
CYP2R1	0.19325
RFPL1	-0.444
XPO5	-1.1945
ARL6IP2	-0.5005
OSBPL5	2.094
MMP9	1.37818181818182
KIAA0802	0.460625
DHRS2	1.725
SGEF	2.644125
TXNDC10	-0.5203
EXOC6	0.445
RPS27	0.291
PNCK	-1.74883333333333
FSTL1	-0.9245
AACS	0.953
SLMAP	0.236
SAMD4A	-0.8788
ABRA	-0.995
SMARCD3	2.012
PKNOX2	-2.67516666666667
A4GNT	-0.809
C9orf39	-0.8875
RALYL	0.601
MGC33556	-2.88
C10orf25	-1.038
BBOX1	7.08675
NHEDC1	0.08125
XDH	0.051
GCSH	-0.332
EDN1	2.0485
MTERF	-0.496
CLK4	1.10825
ZNF799	0.0143333333333333
KCNG1	-1.925
CXCR4	0.402833333333333
PTPRR	-1.402
IRAK1	-0.416
LOC401397	-0.46
TMSB10	0.459071428571428
CXCL3	-0.7564
TMC4	2.049
OR7A10	0.497
STYK1	2.94025
CHRNA10	-0.6545
CCNI	0.08425
EP300	0.0514285714285714
LOC165186	-0.598666666666667
HIC2	-2.74875
SDR-O	1.261
OR2W1	0.9045
KCNA6	-0.601
TRIM74	-1.68925
REEP6	0.09475
ATP5G2	0.34275
ERG	0.849625
TMEM42	-0.1445
PARN	-0.1635
SOD2	0.3544375
DIRAS1	0.468833333333333
PNPT1	-1.54725
JOSD3	-1.29625
hCG_40738	-0.4945
PDE1C	-2.00325
SEMA4D	-0.494375
AGPAT1	-0.0461666666666667
NOSTRIN	1.328
MAP3K3	-0.847
MAX	-0.00214285714285714
CAPS	3.39766666666667
SERPINA12	1.898
OSBPL8	-0.544875
RICS	1.2173
NR4A2	1.58666666666667
PPCS	1.12933333333333
LONP1	-0.772
SCYL3	0.8995
HERC2P2	-1.69666666666667
FIBCD1	-0.9695
C15orf41	-1.018
DMC1	-1.15616666666667
C20orf27	-1.3745
RPS6KA5	-0.0322
FAHD1	-0.789833333333333
SLC12A4	0.63825
BRCA1	-1.54483333333333
GBL	0.368
SLK	0.0225
NUDT9P1	-0.224
NOXO1	2.8505
USP52	-0.91025
BAZ1B	0.242
SLCO2B1	2.60475
BBS12	1.36716666666667
LRGUK	-1.76
TERF2IP	0.967
COL1A1	4.787
KIAA0090	0.17825
GRK5	-0.347333333333333
AP1S2	-1.2531
TMEM52	0.0976666666666667
CA11	0.82125
OR4A15	0.510833333333333
ACBD3	1.2152
SPAG11B	-0.860833333333333
PRDM2	1.0852
FOXP3	0.049
SMYD3	-1.316
LOC389199	0.897
LGI2	0.968
NAPE-PLD	-0.6695
ANKRD6	0.7425
WDR45	0.478
SHROOM1	-1.88725
PSCD3	-0.28
PYY	1.7205
KCNC1	1.2535
ARHGEF9	0.2335
OR8J1	-0.03725
GPR55	-0.707
NS3BP	-2.264
C10orf22	0.618333333333333
NAT8L	1.22425
DUSP4	2.1405
FOXM1	-1.8645
GRAMD2	2.059625
ZBTB48	0.365666666666667
BUD31	-0.1765
PABPC5	0.514
CCDC41	-0.682
FBXO11	-0.134583333333333
C6orf148	-0.75475
RFXAP	-0.82775
C6orf15	0.695666666666667
CDK8	-1.095
C6orf70	-0.5765
TESSP2	0.2805
ALG2	0.19275
PPP1R3D	0.24025
TPM3	0.724888888888889
SYT13	5.661
EPB42	-0.756666666666667
CETN3	0.14725
PRY	0.709
NTHL1	0.1845
POLR2B	0.359
RPS28	0.0706666666666667
P2RX3	0.2435
LYZL4	0.2815
WBP4	0.2415
PMM1	0.31875
C11orf79	-0.02075
CBLL1	-1.2915
IL1F10	2.37066666666667
VAX2	0.606
SETDB1	-0.473333333333333
LRAP	-1.31516666666667
GCLM	-0.5632
CPEB3	1.6155
PPM1A	-0.24575
INTS1	-0.293
CAMTA1	1.40441666666667
SAMSN1	-1.872
LOC158830	-2.639
GMPPA	-0.3745
AIPL1	0.557
IL24	0.502
BDKRB1	-0.604333333333333
MLF1	1.1187
TAF12	-0.08275
ID1	-2.495125
THADA	-0.476875
PIK3CB	-0.66625
OR4N5	null
TBC1D17	-0.0586666666666667
COX8A	-0.082
CDCA4	-1.39175
C2orf44	-1.111
ZNF534	-0.87575
IMMP1L	1.42175
NIPSNAP3B	1.037
FTMT	-0.06325
PWP2	-0.98
MMP15	-0.8811
DNAH11	-1.1325
MTMR14	-0.642875
DNAL4	1.85825
IPP	-0.6575
TMEM59	1.346375
C1orf157	0.9065
RGS4	2.34383333333333
DDX18	-0.889333333333333
SNX6	0.31125
ZNHIT2	1.1185
NCDN	0.148166666666667
FLJ33534	0.44775
RAG1	-2.14228571428571
OR4D10	0.4985
PTPN5	0.181833333333333
POMT1	0.12225
LRRC8A	-0.3424
CYP1A1	-1.2715
CAPN1	0.7165
DDHD2	0.534625
GRIK2	-1.10433333333333
GNRHR	-1.3735
PPBP	-0.357333333333333
HTR3A	-1.231875
SLITRK4	1.399
ANKRD49	-0.27125
BTF3	-0.3364
SARS	-0.63125
C13orf18	0.8012
CACNB1	0.177538461538462
QKI	0.40495
SETMAR	0.337375
MAN2B1	0.318333333333333
EML3	-1.15825
ACADL	2.059
OFD1	-0.49775
DEFB114	0.314
CGA	0.2662
PEX16	0.912666666666667
LRRC10	-1.109
GNG12	-0.1565
C1orf152	-0.584
CHRM1	1.563
CD53	-0.000500000000000002
DBH	-1.133
TFAP2B	0.9805
HIST1H2BJ	-0.2905
FAM46D	-2.1665
TMEM11	-0.6215
C3orf32	-2.43475
PCCB	-0.740125
IPO13	0.131625
C6orf105	-2.5565
COMMD5	1.07775
SUV420H1	-0.2054
LTBR	0.98125
ARHGAP15	-1.337875
HDHD2	0.29175
TDRKH	-0.92
LOC401052	1.4495
PSG4	-1.24175
GNB4	-0.6242
SPATA4	2.67475
SLC9A3	1.453
OSBP	-0.351333333333333
NBPF3	-0.9675
DOCK11	-1.046
SLC39A5	-1.27083333333333
PRR5	1.0123
C10orf63	4.19142857142857
SMTNL2	-1.08175
ADRA1A	-0.315
ASAH1	2.2332
DOM3Z	0.0106
GIPR	0.847333333333333
AHI1	-0.136
NADSYN1	0.303833333333333
RGS14	0.3245
IL18BP	0.6251
RTN4RL1	1.86025
ARMC6	-0.23625
PSMD5	-0.323
HK3	1.6751
OR4S1	3.371
RSU1	0.8433
MAD2L1	-1.67666666666667
EIF4A3	-0.80325
DLEC1	-0.0895
E4F1	0.622833333333333
CHMP2B	1.0868
CAMSAP1	-0.4695
RPS21	-1.22383333333333
ARID5A	0.4125
UBE2N	0.3784
IGSF8	1.471
MAGEB6	-0.9085
ACAD11	-1.3358
MGC4172	-0.364
LMO4	-1.1755
KLKB1	-0.38775
HP	-0.5845
HDAC3	0.031
SCHIP1	1.19825
CLCA1	1.093
OLFML2A	1.772125
C1orf112	-1.34125
KIF19	1.48891666666667
HAPLN4	-0.5434
CXCR7	1.14366666666667
GOT2	0.1272
RAB38	-1.603125
DCX	1.16575
PPM1H	0.334666666666667
NFYC	0.801916666666667
KIN	0.35525
ZNF228	0.5275
PLSCR4	2.75733333333333
HIG2	0.0385
FAM79B	4.8455
C21orf86	-0.2503
KCNK10	-0.231
ZNF738	-0.805625
FSTL5	-2.60683333333333
OR6A2	0.409
OTOA	0.0166666666666666
EXOC1	0.43325
AHRR	-2.3055
PDAP1	-1.63566666666667
C19orf6	0.0433750000000001
ZAN	0.9115
LY6G6E	0.1955
EIF4E2	0.08925
C20orf198	-0.2815
ZNF324	0.352
CYP3A5	-3.28016666666667
ENTPD7	1.48216666666667
MBOAT5	0.608833333333333
GJB5	0.328
TTC13	-0.46775
S100Z	-2.52833333333333
KIAA0664	-1.01583333333333
PDGFRB	2.39475
IL17D	0.445
OR56B4	0.4655
RDX	-1.9975
SLC34A3	0.5325
IL28B	0.0295
JUND	2.011
CHRNB1	-0.327625
CAMK2B	2.09075
FETUB	-1.06225
CXorf23	0.46275
MRTO4	-1.03225
TTC3	-0.7065
NDUFB8	-0.416333333333333
EDG2	-0.41725
SEMA3G	1.83275
IL23A	-1.1805
GRHL1	0.9654
LOC441054	-0.617
WDR65	2.62016666666667
PSTK	-0.20725
STOML3	0.133
R3HDM2	0.0053
C5	-1.97125
SLC2A10	1.28666666666667
C3orf22	0.67925
PAQR3	-0.994923076923077
ANKRD26	-1.2255
HCRTR1	0.071
LOC399947	-0.137666666666667
PSD2	0.5065
TIGD2	-0.221666666666667
SCRN1	-0.20125
COQ10A	-0.87475
DDI2	-0.6055
METTL7B	-0.163666666666667
UCN2	0.4285
FAM92A3	-0.89875
WDR16	0.99825
ZNF511	-0.216
ZMYM5	-0.046
POLR3G	-3.06325
ZNF586	0.1745
C1orf49	0.776
TANK	0.648
RCAN1	1.14916666666667
PELI3	1.49216666666667
LIMD2	-1.4995
TMEM189	-0.978
NTN4	-0.30375
LOC151300	0.0439999999999999
CLEC2A	-1.5655
GPR135	-1.063875
DPYSL4	-0.0632
JAK2	-0.527166666666667
TSHZ1	0.125833333333333
TM9SF4	-0.479625
ZNF264	0.340166666666667
SIRPG	1.412
BICD1	0.0235
HERC6	0.667333333333333
METTL5	-0.32
CASP1	0.92125
PRRT1	-0.807
PLA2G4C	1.84816666666667
ICA1L	-0.435357142857143
TPTE2	-0.3934
OTUD7A	1.16
AQP11	-1.26775
APOA2	-3.8534
KALRN	-0.7157
SECTM1	0.659583333333333
IFNAR1	0.09775
TALDO1	0.478875
RAB11FIP4	-0.0335833333333333
EIF5A	-2.212
FAM49A	2.154
NEGR1	0.472333333333333
YTHDC2	-0.697
EHD2	-0.077625
NCF1	1.7316
SCRT2	1.733
HOXA5	-0.224166666666667
NUP133	0.09625
FGF12	-0.4199375
SLMO2	-0.10725
SNTA1	-0.244
CACNG2	0.700125
GCM1	-0.12125
ELF1	0.338666666666667
TLR5	3.31025
TCFL5	-1.311
RBMY2FP	-2.4235
LOC100125556	0.236875
FAM129B	-0.021875
MAP3K7IP1	-0.0135
NCK2	0.345
OXA1L	-0.543
FMO9P	1.7325
ZSCAN12	0.05425
PSMD12	-0.234166666666667
HSCB	-0.252
CLDN10	-2.6385
MGC13053	-1.26766666666667
HPCAL4	-0.402333333333333
ASZ1	-1.522
MEX3D	0.76825
NFAT5	-0.7704
CSPG4LYP1	-0.271
FBXO3	1.8283
DVL1	-0.132333333333333
CMKLR1	0.6895
TYMS	-2.547875
PEF1	0.949
ZNF750	0.503
MCM5	-0.626
MEGF11	-1.956
KCNK7	0.179
PTP4A3	0.956
C1QTNF2	-1.38983333333333
OR6S1	0.4205
FAM122B	-1.3575
ZNF551	-1.0345
HBQ1	-2.1195
GEMIN6	-0.6835
ARSK	0.06
RBP7	4.4925
CPNE9	0.10625
DSC1	2.568
LOC730112	-1.05675
MAP2K4	0.31225
HS3ST5	-1.9895
EPB41L3	0.604
TEKT2	0.63625
CDKN2B	0.22125
ZNF480	-0.355
MAP3K6	1.0913
MAP6	3.0415
HN1	0.2006
OR2L13	1.02325
SLC16A11	0.72875
FAM96A	0.071
APOL1	-0.62625
C5orf32	0.66075
RTP1	-1.27066666666667
RNF175	0.86425
ZBTB41	1.1425
AHCTF1	-1.0363
SAE2	-0.2875
ITGA2	-0.462583333333333
MME	1.2465
CCDC14	-1.32025
MAST4	0.705285714285714
KRT33B	-0.0515
KCTD2	0.1305
WDR26	0.638
MFI2	0.632
NR4A3	1.533625
ARSA	1.26475
UNKL	-0.525166666666667
SULT6B1	-0.0695
CCNA2	-2.30116666666667
SOX15	-0.6465
PPAPDC1B	0.969333333333333
C19orf44	0.535
MCAT	1.06816666666667
ARID1B	-0.372125
OR52N1	-1.792
C12orf48	-2.04125
MAGI1	0.21825
NIPA2	3.46944695195361e-18
GBX2	-2.77
RSHL3	1.54775
RAVER1	0.266333333333333
C15orf17	0.64875
SLC30A2	1.228375
ZNF518	-0.399
PCYT1B	-2.21125
C10orf114	-1.55
EIF3H	1.29583333333333
SLC25A39	-0.522166666666667
KIF1B	-0.879125
AMOTL2	0.07425
C6orf120	-0.536857142857143
PSRC1	-2.29775
PLA2G10	2.204375
KIF5C	0.348571428571429
MRPL37	-0.637
C17orf62	0.564
C9orf135	-1.602
DUSP10	-0.0391
CLCNKB	0.084
PSMA5	-0.86225
C8orf53	0.28
AMPD3	1.34733333333333
PIAS1	-0.6735
ADCYAP1R1	-0.061
GYLTL1B	0.934
CDH20	0.1838
FBXO7	0.3615
TMEM134	1.4475
FLJ14213	0.411833333333333
ZNF3	-0.923
LRRFIP1	0.95975
CNOT2	0.138083333333333
ABI3	1.8545
ALDH5A1	-1.12625
HNT	3.4641
SERPINA4	-2.97025
TK2	0.875666666666667
STMN1	-0.983222222222222
GUCA2A	-0.405166666666667
GALNT10	0.399
DPP6	-1.20075
C9orf93	-0.94125
PRELID2	0.077375
STK39	1.159
SFTPA1	-3.00425
CKS2	-0.996
RHO	0.046375
C20orf135	-0.79925
XKR3	-2.172
CR1	1.45414285714286
RPS6KA2	0.609857142857143
C20orf112	0.52875
MRPL22	-0.14525
C4orf23	0.748833333333333
GADD45B	2.71925
KLHDC1	1.75466666666667
C2orf48	-2.395
ZNF287	0.3515
DAAM2	-0.61975
DPPA2	-3.94716666666667
TCTN3	0.106333333333333
DNAJB11	0.12975
FPR1	3.43275
DEFB4	0.146
PTCD2	-1.2442
SMOC2	5.34616666666667
CABP7	3.5505
SERPINB11	-0.685
MAGEF1	0.24475
NDE1	-0.218
ITGA10	1.4245
FSHB	-1.0315
ANXA2	1.40325
HORMAD2	-1.2205
HLCS	0.487
MCF2L	1.67533333333333
FH	0.26975
TBC1D24	-0.341
KIAA1505	1.3495
LGALS2	-0.553
CNBD1	-0.468
SYNPO2L	0.13525
PTPN23	0.181142857142857
C1orf183	-0.536166666666667
MAGEA8	-3.871
DGCR8	-1.469375
GSR	-0.814
PAQR7	0.44975
ZNF676	-1.4385
CACNA1C	-0.1197
SP7	0.887
PDCD6	0.50475
NRN1L	-0.593
BRI3BP	-1.42158333333333
KIAA1183	0.56875
ASB4	1.22725
CCL23	2.238
OBSL1	0.088125
SLC12A7	0.899916666666667
KIAA0240	1.1655
CD1B	-3.217
FCGR2A	1.77925
MDC1	-1.0065
HTR1A	0.3484
OCEL1	-0.50475
ATP11B	-1.3691875
FBXO34	-0.221333333333333
PCDH12	3.36916666666667
RPE	-0.5255
C17orf74	0.1115
CSDC2	1.40816666666667
PET112L	0.12375
TMBIM1	0.960625
P2RXL1	-0.40725
TCHP	-1.013
TRMT1	-1.21433333333333
F2RL2	2.1605
LRRC32	3.06133333333333
IMPG2	0.877
BGLAP	-0.33175
LOC493869	-1.53875
MRAS	1.8195
SLC35F5	0.04725
CBWD1	0.496
AXL	-1.24225
ATP2C2	2.92775
TELO2	-0.3835
PNPLA3	-4.06225
PCDHB14	1.392
CD276	0.658
KRT80	-1.277375
DUSP28	0.0315
CSNK1E	0.0993333333333333
SRP14	1.385
KCNQ4	-0.3225
KRT72	1.71833333333333
CCDC117	-0.045
C6orf89	-0.500944444444444
TUBB2B	-1.915
RTN4IP1	-0.22625
CR1L	-3.45366666666667
CEND1	0.631375
C12orf41	0.0833333333333334
RNF31	0.0045
UBN1	-0.537833333333333
C17orf32	0.957625
SLC5A7	-4.9235
GPR92	0.359833333333333
ESAM	2.4956
CTNNA1	1.12233333333333
HRBL	-0.1008
CBX4	0.58125
TMEM182	0.544
SH3TC2	-1.44583333333333
IL10	1.818
PXMP4	-0.144
RNF167	-0.8205
PAK7	4.87466666666667
ETV3	-0.4415
ATPIF1	0.571166666666667
LOC554207	-1.63283333333333
OR8H1	0.351
WDFY3	1.039125
DPM1	-0.427
GPSM1	-0.6435
WDR92	-0.1381
LRP1	0.6735
ANKH	-1.445875
THUMPD3	-1.05025
POLR1B	-1.24375
OLFM4	7.16883333333333
RAD9B	0.64125
TSPY2	-3.7265
PAX6	-2.821
SCG2	-2.642625
SLC17A6	-1.87525
FMO3	3.878125
PADI4	-0.062625
TUBB4	0.3042
NLK	-1.06575
POU4F3	-0.346
SDF4	-0.5375
ITGBL1	0.545166666666667
NETO1	-2.08957142857143
TAP2	-0.617
ABBA-1	0.450833333333333
GNAI1	0.51525
VPS4B	1.03975
NOPE	-0.248
GALNT6	2.50983333333333
SESN1	0.648375
GBE1	-1.17111111111111
CLASP1	0.05375
RASGEF1B	1.10575
ACOT11	-0.153428571428571
AFAP1	0.49775
OR2H2	0.56375
DPY19L2P1	-1.3835
DZIP1	-1.6025
SEC22C	-0.668333333333333
GPR161	-0.52675
RNF146	0.4965
WDR74	-1.141875
GALP	-0.226
PURA	0.39275
DNPEP	1.03166666666667
RP11-78J21.1	-0.688
ERBB2	1.698
FANCM	-1.46766666666667
NEO1	0.475
DDX3Y	-5.0109
RPS3A	0.904375
MXRA7	0.4495
LGALS3	-1.26266666666667
GLT8D1	-0.40075
CFL2	-0.945666666666667
UPB1	0.5105
NAP1L5	-0.013625
CLDN14	-0.7985
DHX38	-0.3435
BTBD1	0.58175
TARS2	-1.02733333333333
ABCF1	-0.1705
FCF1	-0.0976666666666667
LRRC49	1.41075
GUCY1B2	-0.862
C1orf177	-0.941666666666667
SMARCA4	0.371285714285714
LRP8	-2.4285
TAGLN3	-1.01375
MRPL14	-1.18775
TTRAP	-0.12475
ZDHHC20	0.5535
NFE2L3	-1.993
KIAA1377	0.349625
PALMD	1.7057
TMEM43	-0.21925
TTL	-1.280125
STAT5B	-0.566666666666667
SSB	-0.347
OR10H5	-1.3485
SLC22A13	-0.351
AKAP3	-0.31325
TIMM23	0.549333333333333
OAS2	1.70233333333333
KIAA0423	0.224
TRIM11	0.71
GLIS3	1.239
TMEM50B	1.08416666666667
ARHGEF4	-0.05375
DEGS1	-0.295545454545455
TBL1XR1	1.08446666666667
G6PD	-1.92825
SP140	-0.3498
MUC17	0.488272727272727
NUDC	0.0943
DNAJC5B	2.20616666666667
SCARA3	-0.590333333333333
CPA3	6.85016666666667
BCAT2	-0.4575
MFN1	-0.3828
NRG3	-0.193
SNX11	-0.428
PLEKHH1	-1.52833333333333
GPR177	0.0825
HCFC2	0.10175
TCAP	-0.57325
MOCOS	-1.46125
C14orf93	-0.38725
PRDM10	-0.106
SLC16A4	0.237
SRGAP1	-0.106166666666667
VIP	1.4
DUSP27	-0.0615
LILRA1	0.341111111111111
MC2R	-0.2635
MGC24103	-2.357
MBTD1	-2.681
FUT11	-0.366333333333333
USP33	0.21
C15orf39	-1.0925
MAP3K12	0.85225
PAAF1	0.173833333333333
BARHL1	0.194
FLJ16165	-0.526
PIWIL2	-2.55175
SYNE1	0.270583333333333
CMTM4	0.404625
TSPYL1	0.8857
GUF1	-0.724333333333333
TMEM157	1.8185
WDR44	0.30875
HIST1H3C	0.575
DKFZp666G057	0.93125
RNPEP	-0.19
GAS2L2	-0.1075
ADH4	-3.59025
GRPR	3.11466666666667
FBXL17	1.35
ZBTB10	0.2805
Gcom1	1.12927777777778
HTRA1	2.4671
ZNF585A	-0.656
SLC26A2	-0.938714285714286
OTOP3	0.4815
WISP1	3.15388888888889
ATP2B4	-0.137416666666667
FLJ10769	0.985
CRAMP1L	-0.75
CHST12	-0.96825
RAB22A	0.0353333333333333
TARDBP	0.184714285714286
STAU1	-0.643
CRB3	2.3185
MIG7	-0.00975000000000001
CHMP1A	0.05
ZNF160	-0.268375
B3GALT6	-0.28175
BARX1	-1.50516666666667
C6orf167	-1.5885625
NXNL1	0.468
DHX29	-0.383375
HADHB	-0.00425
PLXNB2	0.52775
ILDR1	-1.67175
SLC15A3	2.25675
GAS2	-2.36383333333333
C20orf69	-0.13925
NUMB	-0.481
TNIP1	-0.095875
MESP1	-0.323
PSKH1	-2.77555756156289e-17
NSFL1C	0.479875
RHOG	0.091
HEY1	-1.179
KNG1	-2.717875
ITGAX	0.9556
LIN9	-1.013
CANT1	0.946125
XRN1	-0.497071428571429
CCDC96	1.6249
HEATR6	-1.906
GNG7	0.9645
RUNX2	0.7055
SOX1	0.997166666666666
FCRL5	0.3966
ZNF99	-0.2575
FAM9A	1.459
SNX22	1.367
MBNL3	-3.00233333333333
ODC1	-2.70833333333333
ADORA2B	-2.449
NR2F6	0.761
ZFYVE16	-0.457944444444445
SYNJ2BP	-0.3911
POLE	-0.898
E2F2	-1.57425
THRA	1.17816666666667
PTGES2	-0.500666666666667
HIP1R	-0.219333333333333
TMUB1	-0.587166666666667
ENO3	-2.46025
RSPH10B	-0.09
CXorf39	0.583875
IRGC	0.01575
GPR109B	0.66225
FLJ13305	-1.4725
LCE3A	0.1435
TNFRSF18	-0.477
DET1	-0.1695
TRPM3	-0.363636363636364
C16orf79	-1.336
FECH	-0.467
RAP2A	0.257666666666667
CRIP1	3.3645
AZIN1	0.529125
SLC7A7	2.95525
IL10RA	0.343
TMEM64	-1.88575
CDC42EP4	0.8612
C16orf58	-0.2796
ARG2	-3.568
POU5F1P4	-4.57675
FAM62B	-0.355875
DNAH8	-3.38533333333333
ASH2L	-0.705875
TSLP	-0.7345
CNTNAP5	-0.339
TMEM16C	0.11925
IFNA14	null
SLC1A3	0.361125
CABYR	0.1445
BCL7B	0.1335
NUDT13	-0.875166666666667
C13orf28	0.634333333333333
C1orf53	-0.07575
ARL6IP4	0.1144
RPL35A	-0.0815
EMR3	0.824333333333333
RAB40C	0.535833333333333
SLC41A1	-0.0418333333333333
LRCH1	-0.47325
LY6G5B	-0.988
FAM124A	-0.523642857142857
MGC10981	-4.023
CLIP3	0.8691
MAP4K2	0.482666666666667
CHIC1	0.7465
SULF1	2.68966666666667
C20orf30	1.07728571428571
PRDM5	-0.77975
ELOVL1	1.102
C11orf48	-1.193875
SLC39A10	-0.6835
KCNV1	0.082
ACP1	-0.3715
ZMYM2	-0.359625
B3GNT6	0.2046
C9orf69	-0.259
C2orf15	1.468
C20orf166	2.437
HSP90AA6P	-1.21
EDG7	-0.107
NEURL	2.358
LPL	3.5895
CLEC2D	-1.1215
GRRP1	2.18416666666667
CD8B	-2.9055
HIST1H3D	-1.492
SLC6A12	0.888875
FAM27L	1.6965
CD84	0.9644
RASA1	-0.417
PHKG1	-0.172
MAGEA11	-0.774
IMPA1	-0.194
NPM3	-1.534
RARRES1	4.6625
SH3BP1	0.4005
B3GNTL1	0.1305
ARPC5L	-0.0885
KLHL26	0.08375
SIM2	-0.05225
GJC1	0.6675
C20orf194	-0.09375
EXO1	-3.27475
SLC2A2	-3.17633333333333
LOC285074	-0.6375
LRG1	1.23925
KIRREL	-0.349
PIK3R1	1.15992857142857
C4orf34	1.77
MAF	-0.253611111111111
ADCY4	4.451
ZMIZ2	0.4922
SLC46A3	1.95933333333333
STAMBP	-0.501
CCDC16	0.309
MS4A12	0.3605
TCF20	0.65425
LRRC46	0.78925
C20orf152	0.605666666666667
MRPS6	-0.30375
ABCB11	0.825
KCNC2	4.5314
CDH19	-1.4882
C9orf123	0.363166666666667
SSH3	1.53375
LDLRAD1	-5.27275
CCBE1	-0.12125
ZNF135	1.206125
TAAR1	1.594
WFDC12	0.7355
CCDC42	-0.141
FLJ12529	-1.511
PER1	1.2855
TIMM50	-0.392333333333333
SMARCAD1	0.053
FAM26C	0.564
TP53TG3	-2.43766666666667
SH3RF1	1.5514
LMCD1	2.12875
GPR63	-0.1865
FLJ21986	-2.147
AIFM3	-1.00525
MICAL1	0.000666666666666667
BLZF1	0.617833333333333
IQCA	1.41983333333333
PCDHGC3	-1.504
SAC	-0.73625
BCL6B	1.98466666666667
DDO	-0.62475
MARCO	3.827
DCHS1	1.05
C1orf170	0.342666666666667
CD200R1	2.498
C22orf15	-0.64
SEPT11	0.0833333333333333
ADNP	-1.05575
UST	-0.1558
C13orf34	-0.883333333333333
RFFL	0.367785714285714
APBA3	-0.7415
C2orf60	-0.312
CUTL1	-0.5823
PMS1	-1.64742857142857
ZNF689	1.42
EIF3E	0.1735
IL9	-1.90025
RPL31	0.127
LY9	-0.396166666666667
ATP2B3	0.59175
KDELR2	0.0345416666666667
TFCP2	-0.070625
NLRP12	-0.442875
FLJ45422	-0.72125
TLE4	-0.6056
ZNF570	-0.704
FLJ43806	0.141
TLK2	-1.1685
CIR	0.517
MARS2	-0.628
COL24A1	-0.757
SDF2L1	0.216
HIBADH	-0.376833333333333
IGFBP3	-2.34085714285714
C12orf23	0.714375
PSPC1	-0.1275
C20orf43	0.97325
TRAV20	-0.245
ARHGAP24	1.930875
KIAA1975	0.715875
C1QA	3.7496
DNTT	-5.38766666666667
C10orf6	-0.540916666666667
C11orf41	0.499375
HNRPF	0.487625
COL11A1	4.30183333333333
UBAP2	-1.074
CDKN2AIPNL	-1.1345
C20orf174	3.761
SPRED2	0.26375
PLA2G12A	-0.278166666666667
ICEBERG	-2.6606
SCN10A	-0.5955
C11orf65	-0.06425
GBP5	3.628
PITPNC1	-1.6055
POU3F3	1.5895
NCOA7	0.923375
LIN7C	1.0714
LOC348840	-2.195
NKX2-2	-3.67425
ANKRD13D	1.0665
LOC123688	0.69725
FUT2	1.79683333333333
TAAR8	0.1395
FZD4	0.549333333333333
PNMA3	-0.66
OR4L1	1.387
WIT1	-3.494
EXOC3L	1.6135
ATPBD4	0.8296
KRBA1	-0.9455
UBXD6	-0.163
HOXB7	-0.625785714285714
C7orf23	-0.7915
UNQ338	2.072
STAB2	2.621
CDC20B	-0.260333333333333
IRF9	1.822
CENTG1	0.842833333333333
TNPO2	-0.802
MCPH1	0.009125
BMS1P5	-1.2785
SLC26A7	0.921666666666667
HIST1H3J	0.54075
C9orf3	0.0309
LBH	1.084
MYO1D	0.649375
PTDSS2	0.519
NFU1	0.76425
DEPDC4	-1.2885
WNT7B	1.4783
GLP2R	-0.466833333333333
SETD4	-0.6734
DYNLT3	0.9231
FKBP11	-0.273833333333333
SESTD1	0.151333333333333
FLII	-0.2375
RPS16	0.4066
