Hybridization REF	TCGA-BH-A0H3-01A-11R-A12P-07
ODC1	-2.8421
ADORA2B	-3.14483333333333
NR2F6	0.537
ZFYVE16	-0.346055555555556
SYNJ2BP	0.1151
POLE	-0.82775
E2F2	-0.917375
THRA	1.4985
PTGES2	-0.817833333333333
HIP1R	0.805666666666667
TMUB1	0.637
ENO3	-2.20475
RSPH10B	0.106
CXorf39	1.04025
IRGC	0.23625
GPR109B	-0.81275
FLJ13305	-1.832
LCE3A	0.0535
TNFRSF18	-0.264666666666667
DET1	0.126
TRPM3	-0.167166666666667
C16orf79	-0.9165
FECH	-0.528
RAP2A	-0.156666666666667
CRIP1	3.76833333333333
AZIN1	-0.74175
SLC7A7	3.44725
IL10RA	0.9849
TMEM64	-2.9675
CDC42EP4	0.7651
C16orf58	0.2853
ARG2	-3.48975
POU5F1P4	-4.5685
FAM62B	-0.411375
DNAH8	-1.782
ASH2L	-0.4145
TSLP	-3.82233333333333
CNTNAP5	-0.1005
TMEM16C	-0.8265
IFNA14	-0.294
SLC1A3	0.110875
CABYR	2.37275
BCL7B	-0.0896
NUDT13	-1.51
C13orf28	0.60225
C1orf53	0.656
ARL6IP4	0.6886
RPL35A	-0.211
EMR3	-0.3565
RAB40C	1.06991666666667
SLC41A1	-0.622166666666667
LRCH1	-0.22125
LY6G5B	-0.74
FAM124A	-0.258642857142857
MGC10981	-3.5985
CLIP3	0.9479
MAP4K2	0.859166666666667
CHIC1	-0.14825
SULF1	3.678
C20orf30	-0.4155
PRDM5	-0.237375
ELOVL1	0.00449999999999999
C11orf48	-0.290375
SLC39A10	-0.79075
KCNV1	-0.004
ACP1	-1.28283333333333
ZMYM2	-0.458375
B3GNT6	0.4255
C9orf69	0.3555
C2orf15	1.35375
C20orf166	0.7455
HSP90AA6P	-0.865
EDG7	-0.8
NEURL	0.690125
LPL	0.717666666666667
CLEC2D	-0.327785714285714
GRRP1	2.1425
CD8B	-2.3498
HIST1H3D	1.30116666666667
SLC6A12	0.595625
FAM27L	0.2935
CD84	1.355
RASA1	-0.014
PHKG1	-0.31
MAGEA11	-0.9225
IMPA1	-1.7698
NPM3	-1.02725
RARRES1	1.95525
SH3BP1	0.396125
B3GNTL1	0.044
ARPC5L	-0.555333333333333
KLHL26	0.8965
SIM2	-0.80475
GJC1	0.707
C20orf194	0.347
EXO1	-3.44975
SLC2A2	-1.7876
LOC285074	-0.709
LRG1	-1.39625
KIRREL	0.51
PIK3R1	0.562571428571429
C4orf34	0.9155
MAF	-0.776666666666667
ADCY4	3.97516666666667
ZMIZ2	0.8677
SLC46A3	1.48116666666667
STAMBP	-0.815166666666667
CCDC16	0.73
MS4A12	0.4915
TCF20	-0.18275
LRRC46	2.586
C20orf152	0.53675
MRPS6	-0.859375
ABCB11	-0.105
KCNC2	5.63216666666667
CDH19	-2.2425
C9orf123	0.0195
SSH3	1.404875
LDLRAD1	-1.85725
CCBE1	-0.8965
ZNF135	1.35725
TAAR1	0.534
WFDC12	0.339
CCDC42	0.4585
FLJ12529	0.0135
PER1	0.152666666666667
TIMM50	-0.0125
SMARCAD1	-0.704833333333334
FAM26C	0.1695
TP53TG3	-1.76933333333333
SH3RF1	2.5232
LMCD1	2.32325
GPR63	0.2555
FLJ21986	-2.346875
AIFM3	-0.15125
MICAL1	0.2085
BLZF1	0.370833333333333
IQCA	2.35133333333333
PCDHGC3	-0.197
SAC	0.16425
BCL6B	2.52083333333333
DDO	0.01725
MARCO	1.295
DCHS1	2.02166666666667
C1orf170	2.04983333333333
CD200R1	0.761833333333333
C22orf15	0.187
SEPT11	0.2825
ADNP	-0.57225
UST	-0.2889
C13orf34	-1.06983333333333
RFFL	1.02535714285714
APBA3	0.242
C2orf60	-0.93475
CUTL1	0.5822
PMS1	-1.694625
ZNF689	0.4275
EIF3E	-1.54866666666667
IL9	0.4305
RPL31	-0.567875
LY9	0.632666666666667
ATP2B3	0.195
KDELR2	0.652875
TFCP2	-0.019125
NLRP12	0.841625
FLJ45422	-0.011
TLE4	-0.4775
ZNF570	0.135
FLJ43806	0.0865
TLK2	-0.137125
CIR	1.09675
MARS2	-0.3965
COL24A1	1.04425
SDF2L1	0.2945
HIBADH	-1.22733333333333
IGFBP3	-2.16871428571429
C12orf23	1.161625
PSPC1	0.58525
C20orf43	-0.336
TRAV20	0.214
ARHGAP24	0.859375
KIAA1975	-1.2925
C1QA	3.7555
DNTT	-4.877
C10orf6	-0.3495
C11orf41	0.111
HNRPF	0.3485
COL11A1	6.92483333333333
UBAP2	-0.5085
CDKN2AIPNL	-0.5815
C20orf174	3.56625
SPRED2	0.08575
PLA2G12A	-0.0551666666666667
ICEBERG	-1.7575
SCN10A	0.302
C11orf65	0.04875
GBP5	5.4265
PITPNC1	-1.1705
POU3F3	2.1595
NCOA7	-0.89525
LIN7C	-0.4042
LOC348840	-1.035
NKX2-2	-2.9335
ANKRD13D	0.45975
LOC123688	0.3335
FUT2	1.337
TAAR8	0.455
FZD4	-0.222916666666667
PNMA3	0.490333333333333
OR4L1	0.2425
WIT1	-2.182
EXOC3L	1.844
ATPBD4	-0.1077
KRBA1	-0.974
UBXD6	-0.9435
HOXB7	0.884214285714286
C7orf23	-0.6795
UNQ338	0.67675
STAB2	0.89225
CDC20B	0.19375
IRF9	3.284
CENTG1	1.20275
TNPO2	-0.68825
MCPH1	0.244375
BMS1P5	-1.59525
SLC26A7	0.55225
HIST1H3J	1.36975
C9orf3	0.0615
LBH	2.00975
MYO1D	0.702375
PTDSS2	0.291
NFU1	0.335
DEPDC4	-1.529
WNT7B	-0.1263
GLP2R	-0.7265
SETD4	-0.3985
DYNLT3	-0.9198
FKBP11	0.391666666666667
SESTD1	-0.292666666666667
FLII	-0.4575
RPS16	-0.5296
CHPF	1.03583333333333
CSNK2A1	-0.2195
SUMO1P1	-0.86725
FKBP6	-0.5335
ZNF214	0.911666666666667
TWIST1	0.773833333333333
DDX56	-0.970333333333333
TRAM1L1	0.9697
EPO	-2.54833333333333
MRPS18B	-0.291
ZNF682	-0.0625
RPL14	-0.608166666666667
MAFF	-0.455
LOC51136	-1.6815
LY96	0.40275
DDX20	-0.0855
ABTB1	0.915833333333333
ARL5A	-0.1335
CCT6A	-1.92175
HEPACAM	-0.704166666666667
EHHADH	-1.346
RBAK	-0.6905
CGB1	1.75475
ITGB5	1.5243
YIPF3	0.973
FKBP2	1.396
NR1D1	1.3833
TMEM110	-0.0015
NEK2	-2.73316666666667
PRAMEF8	-2.752
C20orf52	0.297
PCDHGA3	1.6025
VWA3B	0.1325
NDUFA5	-0.041375
THAP9	-1.0245
FLVCR2	-0.385666666666667
AP1S1	-1.3345
SMAD6	-0.8755
SAV1	0.33625
SAT1	0.508
ZNF251	0.345625
ADAMTS7	0.6209
RPP38	0.16575
C1orf211	0.7715
YPEL2	1.3155
RBMS1	-0.482
ZNF445	-0.234166666666667
NRXN2	0.958666666666667
PGBD4	-0.263
UGT2B28	-2.33975
WBSCR16	-0.4998
NLRC3	1.199125
ASTL	0.41325
ST6GALNAC1	-1.976
ZADH2	-0.02275
MLLT4	0.2775
ARL6	-0.796666666666667
MEF2C	0.31225
CBFA2T3	1.837
AFF3	1.76542857142857
COG7	0.513333333333333
MYB	-0.184
PLXNA3	0.501
XRCC2	-2.6
MMS19	-0.757
ST8SIA5	-0.532875
CHPT1	-1.36233333333333
KIAA1712	-0.479125
OR6X1	0.546
ACTR3	-0.56025
UGCG	1.55216666666667
OR4P4	0.4605
ZAP70	-2.30225
LPP	1.247375
ZNF485	-1.27975
PTPRCAP	0.98025
IL12RB1	0.4575
ATRX	-0.3812
CHST8	3.431375
C14orf109	-0.9025
ARV1	-0.4605
NMB	-0.141428571428571
COX5A	-0.852
EIF6	-0.16825
MPPED2	0.194333333333333
SEMG1	-1.6495
CHRDL1	0.237
TRAF3IP2	0.37875
WNK2	0.23325
LILRA4	3.36566666666667
LAMA2	4.782
PXT1	0.5105
RLBP1	-2.63475
CD300C	0.42225
SLTM	-0.239125
FLJ10404	0.4645625
APOBEC3D	-1.6895
RENBP	0.905
ATXN7L1	0.393625
NID1	0.9295
TUBGCP3	-0.55625
ITIH5	0.884611111111111
CCDC110	2.5345
C8A	-2.2285
MGC87042	-2.80975
HOXC13	0.94975
TFDP2	-1.57375
HCP5	2.19875
POLI	0.868
UCN	-0.738666666666667
ZNF764	0.401333333333333
C8orf45	0.31375
FHL3	0.358
SPATA5L1	-1.2675
MMRN2	3.14066666666667
NDST1	1.16466666666667
COL20A1	0.101
ZNF248	-0.864833333333333
PELP1	0.133333333333333
MBL2	-2.19566666666667
RNF41	0.4295
C5orf24	1.01825
THOC5	-1.18825
SERINC3	-0.302083333333333
RP11-151A6.2	0.5665
CDCP2	-0.0475
HIST1H2AA	0.61375
C11orf75	0.160666666666667
FKBP7	0.5775
DDOST	-0.23425
GPNMB	0.7715
TTF2	-1.53066666666667
KCNT1	0.0273333333333334
SLC39A14	-1.098875
NGRN	0.3095
GPR137B	1.455
MECP2	0.713625
PSMA1	-0.81425
C16orf73	-3.92975
TMEM60	-0.105333333333333
CSN3	0.313
NOS1	0.550833333333333
RAB7L1	-0.639
YBX2	-0.5975
KIAA1166	-0.09725
FUBP3	-0.295333333333333
ABCG1	2.3825
ACACA	0.0415
ARL11	-0.0158
ATOH1	0.5595
ODF1	0.330333333333333
CREB3L3	-1.20166666666667
TMEM127	1.1875
DSCAML1	2.03675
PLN	2.9045
LYPLA1	-1.51966666666667
PRDM9	-1.30875
SASP	0.83325
PLUNC	0.268
INTU	-0.0365
HISPPD1	-1.64175
LNPEP	-0.257
YARS2	-1.04183333333333
APCDD1L	-1.098
ZCCHC4	-0.9265
FBXO22	-1.18766666666667
TTLL13	-0.227
ZNF669	-0.839166666666667
PTGDR	1.459
DDX27	-0.4405
KIAA0409	-0.262333333333333
GJB6	0.69325
ASB8	0.85925
PLP2	0.0815
MEPE	0.71175
OR10J5	0.336
KRT222P	1.379
COQ7	0.587166666666667
C1orf101	1.13125
RERG	3.0884
CHMP5	-0.084
THAP11	-0.06225
ZNF43	0.285
ZRANB3	-1.1285
KRT13	-0.636375
MRPL19	-0.54625
RBBP9	-0.4825
SPATA17	0.839125
BXDC5	-0.4055
PAFAH1B1	-1.1195
MAGEE1	0.58275
OSTF1	0.704
KIAA0323	-0.08925
TXNDC13	-0.735
CNTN4	2.2275
LCE1B	-0.2605
UNQ501	0.91225
ZNF154	0.64275
C3orf64	-0.22225
SYT5	0.2688
PON1	-0.1265
FLJ10357	0.237
ATP4A	-0.7815
GNPDA1	-1.47233333333333
MGAT1	1.22583333333333
C14orf121	0.03675
SLC35B2	0.1235
MIER3	0.0953333333333333
CHEK1	-3.52875
ZNF8	0.135333333333333
TXNDC1	-0.7975
CKB	-0.3375
RTN3	1.01857142857143
FZD2	-0.1935
PART1	0.087875
PSMB6	-0.76375
PCDHB8	1.77
PHC3	-0.1287
PPP1R8	0.213166666666667
NOVA2	2.46316666666667
TNFRSF11B	-4.776
GOLPH3	1.09033333333333
UBLCP1	-0.54025
SUHW3	-0.94375
TTLL1	1.27075
OPN4	0.724
OR13G1	-0.0155
ZPBP2	0.7526
HSD17B11	-1.511125
C9orf50	-0.03
DHDDS	0.0890714285714286
CTSW	1.5481
NEFM	-1.1145
MRPL28	-0.3655
SYN1	1.07966666666667
PIGV	0.258666666666667
ZIM2	-0.5215
APBB1	0.272666666666667
SND1	-0.365
C1orf123	0.220833333333333
CHD3	0.275
BHLHB8	0.5325
RNASE2	-0.0151666666666667
BCAP31	0.560125
SLC25A44	0.470333333333333
CHD6	0.324
PIB5PA	1.31769230769231
SELS	0.268875
LOC541471	-0.16275
FAT2	0.2155
ZNF81	-0.6375
OR4C16	0.322
FLJ10081	-0.7222
LRRC4	3.0965
CS	-1.16283333333333
N4BP2	0.135
IGFBP7	2.6055
ZNF318	0.308666666666667
NDNL2	1.204875
ZNF609	1.336
SIRT4	0.59825
EXOSC10	-0.091
ECE2	0.12525
OVGP1	1.61925
GTPBP3	0.26075
PACS2	0.7763
C19orf36	-0.618333333333333
ARL4C	-0.707625
ATG4B	-0.07925
UBQLNL	0.6535
RHOXF2B	-3.735
PLEKHG2	-0.1195
GALR1	-0.249
AQP4	0.854166666666667
HDAC7A	0.668333333333333
DCUN1D3	0.387
OR8A1	0.3395
CCRN4L	1.058125
CBR4	-0.156
KIFC1	-1.87583333333333
SLC7A14	-1.138
LHX5	0.0770000000000001
TRPC7	-0.1455
LPXN	-0.5035
SERPINA1	-2.178875
RPS13	-0.9603
BPIL3	0.000999999999999999
PRKAA1	-1.48725
FADS2	0.6104
ENAH	-0.2431875
PRO1768	0.339
APBA2BP	0.62625
LIPH	2.94016666666667
C3orf33	-1.309
RCC2	0.715071428571429
ALDH1A2	-2.8954
RNF103	2.0175
AHCY	-1.12075
ALG12	0.9215
CCL17	1.83275
ZNF543	1.252
ESRRG	2.057
CNGA1	-0.3505
RDH5	-0.386166666666667
OTX1	-0.6422
PTGFR	-2.38083333333333
CDR2	0.299125
SELE	4.624
NLGN2	-0.561
EXOSC9	-0.75225
ZNF566	-0.0741666666666667
KLRC2	-4.5175
GPR12	0.8545
KIAA0196	-0.46975
PDRG1	-0.12
SSR3	0.0665
MSI1	0.332
CST9	1.004
CC2D1A	0.61975
PLAGL1	-0.745555555555556
ZNF778	0.343
RNF2	0.713875
KLF6	0.718333333333333
THBD	2.05416666666667
tcag7.1314	0.53875
NR5A1	0.205166666666667
ABCD2	-0.10175
DNAJC7	-1.2845
CLEC4C	0.653
TM2D3	0.1745
CCDC4	-0.9835
PLAC2	1.27225
DCD	-0.4245
FAAH	1.979625
POLA1	0.0875
TM7SF2	-0.759625
FLJ39822	-0.104
FLOT2	0.57625
MAP4K1	-0.115333333333333
SRP68	0.082375
C21orf74	0.805
ARPC5	-0.003
LOC126075	2.73075
HECW2	0.620875
ZDHHC4	-0.66225
ANKRD42	1.4534
PDE9A	0.0426666666666667
ABCA8	0.567
NDUFS2	-1.13175
UBR5	-0.804625
BTBD16	-1.4645
LOC554174	-1.79
ZNF20	0.887
KIAA1843	0.2785
WDR17	-0.645714285714286
C15orf33	0.573
RNF113A	-0.07575
CAMKK1	-0.5213
CLCN2	0.02775
ANXA6	0.5425
LOC340069	0.4085
EMID1	0.810875
DPM3	0.410833333333333
ELA1	0.2225
SLC25A13	-1.6123
KRT24	0.723
SMPD1	0.2255
TH	0.18975
COL6A2	2.36342857142857
ANKS1B	1.00525
GPR126	-3.3771
ZC3H12A	0.3285
TMEM47	0.494
C2orf51	0.2435
C1orf88	1.70566666666667
HSF2BP	-0.674
AKAP10	0.13625
RPAP3	-1.2055
KLHDC8B	0.19575
STOM	0.382
MUPCDH	0.0820000000000001
C10orf72	0.0625
PLEKHA3	0.0839166666666666
TCP11L1	-0.1645
CWF19L1	-0.060625
SPEF1	1.14215384615385
YSK4	0.3955
ELN	3.2192
SAMD8	0.578333333333333
MPI	-0.392833333333333
MEPCE	0.076
ABCC3	-1.586625
NANOGP1	-2.887
KCNK17	1.582
HLA-DMB	4.31883333333333
RRAGA	0.6775
ANGEL1	-0.18825
RBM32B	0.3335
CPN1	-2.4835
MGC52282	0.1253
HLA-A	2.34475
OR9G4	0.397
EDNRB	-0.968125
SCD	-1.80678571428571
C14orf80	0.0746666666666667
BAGE2	0.9245
RABL4	0.840333333333333
RCVRN	-0.219
SHANK1	0.096
NLRP7	-2.90575
CD226	1.32075
STAT3	0.8269375
SYNJ2	-1.1706
TPCN2	0.183666666666667
WDR36	-1.30566666666667
MBD4	-0.12375
ROBO1	-0.2566
ST3GAL6	-2.9985
SLAMF8	2.84083333333333
ATN1	1.42033333333333
GPR141	0.97025
KRT36	0.3225
TPH1	0.5645
DDX52	-0.049
ZSCAN29	0.188833333333333
TRPT1	0.4835
DPEP3	0.75225
DENND4A	-1.02325
TSPAN16	-0.178
PTCHD2	-0.0415
LOC145814	0.28325
CAP1	0.202333333333333
EIF5A2	-0.3881
NT5DC3	-1.4335
SEPT9	-0.238375
SEZ6L2	1.516875
EGFLAM	3.37225
VPS11	0.6105
NDUFB5	-0.832166666666667
CIDEA	1.7755
IER5L	0.76025
N6AMT1	-0.000249999999999997
FAM83C	-0.3185
OXR1	0.0674166666666667
IRX1	0.472
DGKB	-1.11816666666667
GCN5L2	-1.68025
MIR16	0.601375
FBXW9	-0.14725
WDR4	-2.2685
PDC	-0.197
VPS33B	-0.2695
HEXB	-0.819
FLJ32214	1.09325
TCEB3	-0.62075
CRLF1	-2.30525
ABI3BP	1.722
C8orf22	-3.63675
PYCR1	-0.475375
KIAA1706	1.088
CDK5R2	0.890625
WAS	0.611
C12orf60	-0.3695
CCBL2	-0.43625
MADD	0.1375
C5orf34	-2.58725
WDR42A	-0.000700000000000001
KLF12	-0.58325
HSPA1A	0.946
ITM2C	-1.16083333333333
DAPK2	2.44833333333333
LOC442590	-0.5985
SUMF2	-0.257
CENPA	-2.70769230769231
TMED5	-0.94525
CDH6	0.0135
BRP44	-0.268875
THG1L	-0.5
GABRA2	-2.689
C14orf166	-0.16925
MYL1	-1.39183333333333
TNFSF18	1.3535
PAP2D	-0.716333333333333
PPIB	0.1285
KLHL4	-0.474875
SFN	0.873666666666667
CCDC127	0.71975
FRAP1	-0.87475
GOLGA5	0.89425
SDCCAG1	-0.1685
MGC21675	0.381166666666667
C10orf95	0.56425
KIAA1345	-0.1745
C1orf163	-1.0345
LACE1	-0.431833333333333
OR10K2	0.11
CENPN	-2.6228
TMED2	0.23275
UGT1A6	-0.305
ANG	0.4255
U2AF1	-0.837666666666667
CASC2	0.294333333333333
NMT2	-1.70516666666667
OSGEPL1	-0.82075
DFNB31	-0.1725
SLC6A20	0.626375
DKC1	-1.80125
FXYD4	-0.17025
WDR64	0.32125
MGC5590	0.661
CREBZF	-0.7715
DAZ1	-0.33025
PRPSAP1	-1.07425
GCHFR	-0.54075
TTC7A	-0.4665
LOC196993	1.85025
UBD	1.32283333333333
S100A1	0.519
RPL6	-0.1205
DNAJB6	0.54525
NAGS	0.881
C2orf58	0.3085
KERA	1.85416666666667
MT1X	-0.147
UBE2B	0.362
KEAP1	0.7205
MST1	-3.06
OMA1	-0.0385
ABLIM2	0.94625
BCL2L13	-0.48275
JAZF1	0.249
TMEM63B	2.479
S100A8	0.4552
ARFIP2	1.12975
UROS	0.0535
KHDRBS2	-0.2575
POLQ	-2.86575
SOAT1	-1.93875
SPAG4	-1.64925
MRPS30	-1.74933333333333
LOC494141	-0.739
OR2T11	0.6435
ORAOV1	-0.9101
ZNF184	-0.313
TCEB3B	-0.128
ADAM21	-0.1125
GDPD1	-0.23
SPINLW1	0.02375
PRR14	0.3895
KCTD9	-0.3687
NUDT3	0.56375
KIAA1822	1.1619
HIST1H4K	2.699
DFNA5	-1.9935
GABPA	-0.896
C14orf44	0.14875
POLB	-0.062125
PTAR1	-1.071
SEC31A	1.3198
TRIM58	-1.04575
TAS2R14	-0.572
VPS8	-0.20225
H1F0	1.91033333333333
PRKCB1	-2.35266666666667
UGT2A1	0.5805
TOR1B	-0.094
LSS	-0.965916666666667
C2orf19	0.491
HNRNPC	0.320428571428571
TMEM100	-0.6065
LOC116349	0.6745
OR51M1	0.1265
CCDC142	-0.5805
ISG15	4.216875
ZCCHC14	1.028375
CREBL2	0.51175
TGDS	-1.87525
DC2	-0.36125
CACNA2D3	-1.63757142857143
ZNF429	-0.245125
LYPD6	0.7505
SUCLG1	-0.924166666666667
OR51I1	0.639
MAGEH1	1.51875
PRPF40A	-0.004
SMR3A	0.7235
SPINK2	-0.5835
THAP2	-0.33325
NPY5R	-0.176125
IRF4	-1.921625
SPESP1	-0.4105
OR10S1	0.692
DTD1	-1.40875
TUBE1	-2.153
DDX19A	-0.1175
PDPN	0.06125
TMEM34	-0.336583333333333
MGAM	0.03375
COL3A1	6.305
GFM2	-1.0902
OR5A2	0.6795
PSG9	-0.17475
ARHGEF11	0.282333333333333
IVNS1ABP	-1.3711875
SIGIRR	1.944
DUSP19	-0.772125
DNAJC14	0.4176
ACSS1	0.77775
IL1RAPL2	0.4355
C4orf30	-1.12825
SEPT4	2.92025
LANCL3	-2.64875
SPAG17	3.27333333333333
PRDX3	-1.064375
HNF1A	-1.122625
P4HA2	-0.257
RFWD3	-0.607833333333333
MOV10	0.67575
DNAJA5	-0.0567142857142857
LOC729440	0.37975
LOC200383	0.851375
SMC2	-2.9195
MIXL1	-0.737833333333333
TMEM9	-0.04725
FAM86A	1.549
ZNF174	0.2587
MYH14	-1.27475
CCR8	0.779
VPS37C	1.4105
GPATCH1	0.255166666666667
B3GNT8	3.2405
TBX4	-0.20875
CNR2	0.631
PCDH1	1.4905
C5orf29	4.457125
OCIAD2	1.26725
PLCG2	0.9535
KIAA0247	2.112125
HRH3	0.1342
CAPN13	3.732
CCR1	0.1394
MGC15523	0.189444444444444
UVRAG	0.0436666666666667
DNAJA2	-0.3105
ITGA2B	-0.0903333333333333
CLDN5	3.75825
PTPRN2	-0.593357142857143
ZNF512	-0.464333333333333
PSAP	0.409642857142857
CCDC140	-3.423
LRRC55	0.12675
CYP26C1	0.198
C8orf47	-0.975
LYN	0.352875
DUSP6	-0.539833333333333
TGFB3	3.98706666666667
ELK1	-0.0961
PCDH11Y	0.114
HGD	-0.40625
C17orf58	0.819
MYO3A	-0.425
SERPINE2	-3.43766666666667
AARSD1	-0.2625
C14orf73	-0.504
ADAM33	0.3245
ZNF491	-0.082
MAPK6	-1.11883333333333
TCN1	3.49733333333333
SLC24A6	0.9645
UBE2R2	0.49725
H1FNT	0.51375
TATDN2	-0.216833333333333
LILRB1	2.34675
P2RY5	1.5015
NUCB2	2.66325
C2orf37	0.11175
SNX27	0.656333333333333
MTA3	1.031
FOXO4	0.341
ID4	0.293666666666667
SOX5	-2.3395
PXMP3	-0.102375
OR52M1	0.3775
SFT2D3	-0.06875
INA	-2.34933333333333
MCOLN1	0.7055
NFIX	1.1911
CLEC14A	5.77016666666667
HIBCH	-1.00533333333333
PLA2G5	1.0005
TIMM10	-0.402333333333333
MED17	-0.2673
COL4A4	-2.308
TPP1	0.4955
GJA3	-0.6355
TMPRSS5	-0.95725
AADACL3	0.8625
DNMBP	0.44125
ENPP5	3.11333333333333
NQO1	-1.4962
ZSCAN2	-0.350375
SEC24C	-0.279166666666667
GTF2A1L	-1.141
AXIN2	0.0304
FAM33A	-1.7245
C16orf13	0.65525
SPNS2	0.85
TAF1	-0.2965
AP1G2	0.905166666666667
RBM42	0.884666666666667
HCN2	1.31116666666667
EFHB	-0.829666666666667
RUSC1	0.249166666666667
GRIK5	0.3635
USP21	0.196
ATAD3C	2.0335
ORMDL2	0.75025
PRSS7	-3.31925
PSAT1	-5.33775
FLJ13195	-1.11666666666667
TBC1D1	0.27
IFNG	1.61025
OTOS	0.670666666666667
ZNF773	0.632333333333333
EMD	-1.07625
RETN	1.35675
CCL8	4.724
APH1A	0.29
COX18	-0.447375
GTF2IRD2	0.16025
CCDC82	-1.64458333333333
PAFAH2	-0.1468
NPEPL1	-0.3108
RP11-114G1.1	0.2035
TP53INP1	0.292625
ZNF300	-1.80866666666667
FOXL2	-3.0635
LARP2	0.0934166666666667
LATS1	-0.4675
HTR6	0.485
SPOCK2	1.41583333333333
RNF144B	1.94533333333333
HTATIP2	-1.05075
MGC10334	0.614333333333333
CENTA2	2.604
FGF2	-1.651
FXYD7	0.37525
PHYHIPL	-2.22971428571429
GPR34	3.75025
DDX6	-0.158333333333333
OR10W1	1.0045
LHFPL1	-1.028
ZNF313	-0.943928571428571
VPS28	1.32275
AP3M1	-0.7644
AKR1CL2	-0.917
TRAF4	0.32875
OR2B11	0.564
C19orf12	-0.145833333333333
AKAP9	-0.215
C1orf62	-0.5725
SLC20A1	-1.1151
FAM112A	0.36375
LDB2	1.197125
MRPS23	-1.57275
KLK5	2.002
SPTB	-0.5521
EFEMP2	1.21575
EFNB2	0.90675
PCM1	-0.182285714285714
NMNAT3	1.761
TSG101	0.368
C8orf40	-0.00066666666666667
NOB1	-1.5035
ABHD3	-1.34825
GTF3C4	0.097125
PIGN	1.01583333333333
GALNTL1	0.1665
AEBP1	3.042625
OR9Q1	0.7535
ANKRD2	0.4505
CCL28	-0.1
TRIM38	0.561333333333333
TMCC1	0.250916666666667
SMG5	0.18475
LRRC7	-0.331
NCAPD2	-1.71916666666667
C6orf153	-0.4095
C1orf74	-0.1445
OTUD6A	0.337
DCP2	-0.732333333333333
TMEM24	0.649
RPL18	-0.211333333333333
TMEM177	-0.35
LRRC37A3	0.70525
C1D	-0.197833333333333
LDHC	0.2125
UBE4B	-0.0206666666666667
NIT1	0.473
BTN3A3	1.132625
RASD1	0.911875
COMMD3	0.089
SHFM1	0.2695
BIRC8	0.291
DUT	-0.39875
C12orf51	0.3095
LRRC59	0.0155
LY6H	1.35825
WDR22	0.714166666666667
EDEM1	-0.235928571428571
ADH1A	2.3105
PANX2	0.1675
CYP11B1	0.60975
CDC73	-1.05125
GPR172A	0.28175
GSTM3	1.96215384615385
KCNA5	0.645625
SERAC1	-0.532833333333333
NFATC2	0.1555
ANAPC5	-0.1994
C15orf24	0.12025
NFATC2IP	-0.970833333333334
TNRC6C	0.402833333333333
MGC102966	0.0581249999999999
FGD5	1.19683333333333
MED9	0.3135
RAB13	0.502166666666667
C15orf49	0.2855
CRYGS	-0.6175
C12orf53	-0.6923
LOC283693	-0.124
COX6B2	0.116625
PHF14	-0.20725
FAM3A	-0.09275
RPL13	0.3501
PRDX2	0.3142
FLJ34047	-1.53675
PRMT3	-1.769
KCTD19	-1.219
TRIM10	-0.251166666666667
MGC26597	0.2708
GCNT4	0.34275
GPRASP1	0.3365
CDKN1C	0.23525
RHBDL2	1.2577
HSPH1	-0.90475
AQP1	3.89525
COL17A1	1.5063
GFAP	0.390625
CDC16	-0.558
KIAA1614	-0.0825
C6orf118	-0.421666666666667
ZSWIM5	0.07425
FAM83F	3.0285
LYNX1	0.394375
SYNPR	-0.324
XG	4.14566666666667
PRSS16	-0.44325
KIF13B	1.47021428571429
PCDH9	-1.604875
HIST1H2AH	1.91733333333333
RBM18	-0.8195
ZNF626	0.679375
HEXIM2	0.826166666666667
ITFG1	-0.585
TUBG2	-1.067
SFRS7	-0.727916666666667
C9orf14	1.001
EXTL1	-0.432
GBP3	2.8485
WDR5	-1.29425
RARG	0.767833333333333
MYO7A	-0.218625
CECR6	0.28875
C13orf3	-1.792625
SFRS18	-0.849625
ACVR1B	0.522333333333333
PSMD1	-0.6513
C7orf31	0.0518333333333333
ILVBL	0.0695
IFNGR1	0.62775
RNF186	0.458
NOL9	-1.10125
MAGEL2	1.96175
SLC29A2	0.01475
NHSL1	-1.6465
RBMX	-0.8685
PSORS1C2	0.625625
RAD51L3	-0.0501666666666667
LCN6	1.59
ORAI2	-0.14525
BRUNOL6	0.4061
OR4K5	0.2235
CDC123	-1.0525
MSLN	-1.66266666666667
WWTR1	-0.96
ZNF700	-1.039
COBL	0.89325
PPP1R16B	0.160375
GAS7	0.9448
MDN1	-1.754625
HAAO	0.794
C9orf68	0.7015
TNFAIP2	0.7045
FOXN1	0.126
hCG_2033311	0.556833333333333
ATP6V0D2	0.7778
RPL41	0.075875
SLC38A1	0.206375
ARHGAP6	-0.883
ADAD2	0.45925
PHF20L1	-0.0574375
MCM3AP	-0.143333333333333
ST3GAL3	0.0531666666666666
SNX1	0.425666666666667
ELF5	0.065
PARP3	0.09875
RBM8A	-0.4945625
LINGO4	0.095
ITGA9	0.586
ZFR	-0.3575
ACSL6	-0.152
FLJ20699	-0.6499
DAOA	1.22275
FABP4	4.67875
KCNB1	-1.1425
CANX	-0.1409
SLC25A28	1.05583333333333
ADIPOR2	0.375125
ECHDC2	1.9705
SMA4	-0.24725
FRZB	3.98975
PABPC1	-1.055
