Hybridization REF	TCGA-AR-A1AY-01A-21R-A12P-07
BMS1P5	-1.27625
SLC26A7	2.9205
HIST1H3J	1.71275
C9orf3	-0.6285
LBH	0.036375
MYO1D	-0.303125
PTDSS2	-0.102
NFU1	-0.2245
DEPDC4	-0.454
WNT7B	-0.1488
GLP2R	-0.1285
SETD4	-0.141
DYNLT3	0.6881
FKBP11	-2.1705
SESTD1	0.592833333333333
FLII	0.28725
RPS16	-0.3714
CHPF	-0.735166666666667
CSNK2A1	-0.5305
SUMO1P1	0.61175
FKBP6	-1.7445
ZNF214	1.1865
TWIST1	1.12383333333333
DDX56	-0.3415
TRAM1L1	2.159
EPO	-2.79933333333333
MRPS18B	-1.33775
ZNF682	0.6775
RPL14	0.393333333333333
MAFF	-1.1435
LOC51136	0.248125
LY96	-0.924
DDX20	-0.7845
ABTB1	-0.323166666666667
ARL5A	-0.1636
CCT6A	0.27775
HEPACAM	-1.4342
EHHADH	-1.4485
RBAK	0.631666666666667
CGB1	-0.051
ITGB5	-1.6765
YIPF3	-1.111
FKBP2	-0.715
NR1D1	-1.1238
TMEM110	0.786
NEK2	1.0965
PRAMEF8	-4.455
C20orf52	-1.33833333333333
PCDHGA3	-1.536
VWA3B	1.8585
NDUFA5	0.733125
THAP9	-0.38175
FLVCR2	-0.95
AP1S1	-0.633625
SMAD6	-0.3405
SAV1	0.41975
SAT1	0.21675
ZNF251	1.80925
ADAMTS7	-0.4685
RPP38	1.476
C1orf211	-1.213
YPEL2	0.1209
RBMS1	0.3225
ZNF445	-1.5518
NRXN2	-1.12116666666667
PGBD4	-0.985428571428571
UGT2B28	-0.564
WBSCR16	-1.001
NLRC3	-0.343285714285714
ASTL	-0.56725
ST6GALNAC1	-3.6265
ZADH2	-0.114
MLLT4	0.94125
ARL6	1.4475
MEF2C	0.64575
CBFA2T3	-1.593
AFF3	-0.0456428571428571
COG7	-0.538
MYB	-2.19483333333333
PLXNA3	0.654
XRCC2	0.284333333333333
MMS19	-1.19875
ST8SIA5	-0.375
CHPT1	2.04966666666667
KIAA1712	-0.769125
OR6X1	1.89
ACTR3	0.53275
UGCG	-2.09233333333333
OR4P4	0.013
ZAP70	-3.5925
LPP	0.449875
ZNF485	0.79125
PTPRCAP	-1.73025
IL12RB1	0.3865
ATRX	0.5847
CHST8	-2.77425
C14orf109	-0.31425
ARV1	2.30925
NMB	-0.711714285714286
COX5A	-1.14916666666667
EIF6	-0.443
MPPED2	-1.99766666666667
SEMG1	-2.684
CHRDL1	-0.3035
TRAF3IP2	1.555
WNK2	-0.425857142857143
LILRA4	0.9165
LAMA2	4.6985
PXT1	0.715
RLBP1	-1.2985
CD300C	1.3875
SLTM	-0.27625
FLJ10404	-0.407933333333333
APOBEC3D	2.639
RENBP	-0.239833333333333
ATXN7L1	-0.530875
NID1	-0.9355
TUBGCP3	-0.299625
ITIH5	0.385555555555556
CCDC110	1.27775
C8A	-3.01275
MGC87042	1.632
HOXC13	0.43175
TFDP2	0.1455
HCP5	0.750625
POLI	1.78525
UCN	-2.86416666666667
ZNF764	0.105166666666667
C8orf45	1.4815
FHL3	-0.8865
SPATA5L1	-0.12925
MMRN2	1.66916666666667
NDST1	-0.235
COL20A1	-0.898333333333333
ZNF248	0.191
PELP1	-0.7455
MBL2	-1.8685
RNF41	0.22975
C5orf24	-0.642375
THOC5	0.236625
SERINC3	0.290166666666667
RP11-151A6.2	0.656
CDCP2	0.386
HIST1H2AA	0.14
C11orf75	1.409
FKBP7	0.15075
DDOST	0.17475
GPNMB	0.8075
TTF2	-1.50483333333333
KCNT1	0.404833333333333
SLC39A14	0.069125
NGRN	-0.1223
GPR137B	1.34025
MECP2	-1.03375
PSMA1	0.569
C16orf73	-5.6715
TMEM60	0.187166666666667
CSN3	1.3995
NOS1	0.419833333333333
RAB7L1	2.08916666666667
YBX2	0.3705
KIAA1166	0.4105
FUBP3	-0.559166666666667
ABCG1	-0.703
ACACA	-1.5415
ARL11	-0.5328
ATOH1	1.382
ODF1	0.125333333333333
CREB3L3	-1.96383333333333
TMEM127	-0.233714285714286
DSCAML1	-0.376
PLN	3.29383333333333
LYPLA1	1.39933333333333
PRDM9	-2.41833333333333
SASP	2.73175
PLUNC	0.1068
INTU	-0.45875
HISPPD1	0.3635
LNPEP	-0.4625
YARS2	-0.489
APCDD1L	-1.6255
ZCCHC4	-0.5492
FBXO22	-0.194666666666667
TTLL13	-0.3675
ZNF669	0.991
PTGDR	1.0235
DDX27	2.44775
KIAA0409	-0.336666666666667
GJB6	1.98125
ASB8	0.75475
PLP2	0.902333333333333
MEPE	0.018
OR10J5	-2.536
KRT222P	0.977
COQ7	-0.252333333333333
C1orf101	0.40725
RERG	0.2482
CHMP5	0.377125
THAP11	-0.710625
ZNF43	0.0923333333333333
ZRANB3	-1.04683333333333
KRT13	3.077375
MRPL19	0.400625
RBBP9	1.23
SPATA17	2.00371428571429
BXDC5	-0.159833333333333
PAFAH1B1	0.0114166666666667
MAGEE1	0.97775
OSTF1	-0.44825
KIAA0323	-1.21558333333333
TXNDC13	0.303666666666667
CNTN4	2.56175
LCE1B	1.2075
UNQ501	-0.51175
ZNF154	0.58675
C3orf64	3.0365
SYT5	-0.3006
PON1	0.0796
FLJ10357	-1.1835
ATP4A	-0.6245
GNPDA1	-0.112666666666667
MGAT1	0.3805
C14orf121	-0.42475
SLC35B2	-0.39175
MIER3	-1.35433333333333
CHEK1	0.261875
ZNF8	0.239166666666667
TXNDC1	-0.513833333333333
CKB	-2.573
RTN3	0.444285714285714
FZD2	-2.37816666666667
PART1	0.52525
PSMB6	-1.0295
PCDHB8	-2.0955
PHC3	-0.4714
PPP1R8	1.30466666666667
NOVA2	-0.251833333333333
TNFRSF11B	-2.92725
GOLPH3	1.38766666666667
UBLCP1	0.86625
SUHW3	-0.8355
TTLL1	0.1565
OPN4	0.1485
OR13G1	4.105
ZPBP2	0.281333333333333
HSD17B11	-2.013375
C9orf50	-0.332
DHDDS	0.353928571428572
CTSW	0.1364
NEFM	-1.91766666666667
MRPL28	-0.85225
SYN1	-0.0725
PIGV	-1.5275
ZIM2	-1.64275
APBB1	-0.914666666666667
SND1	-0.54
C1orf123	-0.160833333333333
CHD3	-0.826
BHLHB8	-0.11625
RNASE2	0.457333333333333
BCAP31	0.591375
SLC25A44	0.7105
CHD6	-0.8891
PIB5PA	-0.494692307692308
SELS	0.986375
LOC541471	-1.191375
FAT2	-0.023
ZNF81	-0.048
OR4C16	0.261
FLJ10081	-1.1109
LRRC4	-0.365
CS	0.399833333333333
N4BP2	-1.614
IGFBP7	0.132
ZNF318	0.350083333333333
NDNL2	0.819125
ZNF609	-1.614125
SIRT4	-0.0125
EXOSC10	-0.974
ECE2	0.0235833333333333
OVGP1	-1.076
GTPBP3	0.00125
PACS2	-0.2824
C19orf36	-0.857
ARL4C	-0.565875
ATG4B	-0.44275
UBQLNL	-2.91966666666667
RHOXF2B	-4.4245
PLEKHG2	-0.1335
GALR1	-0.984
AQP4	2.0324
HDAC7A	-1.287
DCUN1D3	-0.03675
OR8A1	-0.243
CCRN4L	0.282
CBR4	-1.54283333333333
KIFC1	-1.08333333333333
SLC7A14	-1.963
LHX5	0.1565
TRPC7	-1.598
LPXN	-0.99025
SERPINA1	-2.606
RPS13	0.2073
BPIL3	-0.269
PRKAA1	-0.365
FADS2	2.0955
ENAH	2.179125
PRO1768	0.616
APBA2BP	-1.8855
LIPH	0.164833333333333
C3orf33	-0.22225
RCC2	-0.624928571428571
ALDH1A2	-4.4601
RNF103	1.3655
AHCY	-0.86725
ALG12	0.463
CCL17	-0.64875
ZNF543	0.298
ESRRG	2.1942
CNGA1	2.0065
RDH5	-0.7205
OTX1	0.6996
PTGFR	-0.981
CDR2	0.529875
SELE	4.871
NLGN2	-1.3205
EXOSC9	0.13375
ZNF566	0.7178
KLRC2	-5.3485
GPR12	-0.07
KIAA0196	0.64425
PDRG1	-0.56475
SSR3	-0.0428571428571428
MSI1	-0.4085
CST9	0.317
CC2D1A	-0.498
PLAGL1	0.0678333333333333
ZNF778	0.2745
RNF2	0.629625
KLF6	1.27266666666667
THBD	0.578833333333333
tcag7.1314	1.08625
NR5A1	-0.203833333333333
ABCD2	0.724
DNAJC7	-0.74325
CLEC4C	0.8715
TM2D3	1.6685
CCDC4	-0.1855
PLAC2	0.46275
DCD	0.825
FAAH	0.117
POLA1	-0.9325
TM7SF2	-2.405625
FLJ39822	-1.7765
FLOT2	-0.114625
MAP4K1	-1.0595
SRP68	0.057375
C21orf74	1.8555
ARPC5	1.8515
LOC126075	0.43175
HECW2	1.108125
ZDHHC4	-0.84925
ANKRD42	0.4623
PDE9A	-0.319833333333333
ABCA8	-0.484
NDUFS2	1.19175
UBR5	0.468625
BTBD16	-2.6025
LOC554174	-0.45
ZNF20	0.3715
KIAA1843	-2.302
WDR17	0.9825
C15orf33	0.7575
RNF113A	-0.31925
CAMKK1	-1.563
CLCN2	-0.9195
ANXA6	0.809
LOC340069	0.852
EMID1	0.585625
DPM3	0.163666666666667
ELA1	-1.4775
SLC25A13	-0.938
KRT24	-0.7135
SMPD1	-0.208666666666667
TH	0.64625
COL6A2	1.04257142857143
ANKS1B	1.41375
GPR126	-1.4345
ZC3H12A	-0.0181666666666667
TMEM47	2.34916666666667
C2orf51	0.0443333333333333
C1orf88	0.272666666666667
HSF2BP	1.1165
AKAP10	-1.391
RPAP3	1.1315
KLHDC8B	0.251
STOM	0.3697
MUPCDH	-0.212625
C10orf72	0.305142857142857
PLEKHA3	0.204
TCP11L1	-0.11625
CWF19L1	0.21175
SPEF1	-0.2877
YSK4	1.87966666666667
ELN	2.1004
SAMD8	-0.017
MPI	-2.18283333333333
MEPCE	0.1206
ABCC3	-2.747125
NANOGP1	-0.7965
KCNK17	-0.170375
HLA-DMB	3.57666666666667
RRAGA	1.09875
ANGEL1	-1.66675
RBM32B	-0.985
CPN1	-4.12375
MGC52282	-0.7572
HLA-A	1.88925
OR9G4	0.2135
EDNRB	-1.588625
SCD	-0.949285714285714
C14orf80	-2.043
BAGE2	-0.533
RABL4	0.586333333333333
RCVRN	-1.321
SHANK1	0.528
NLRP7	-3.311
CD226	-0.32325
STAT3	0.3984375
SYNJ2	-0.724666666666667
TPCN2	0.0515
WDR36	-0.5605
MBD4	0.77925
ROBO1	1.1701
ST3GAL6	-0.69325
SLAMF8	4.30533333333333
ATN1	0.305833333333333
GPR141	0.0172499999999999
KRT36	0.156
TPH1	0.725
DDX52	0.29775
ZSCAN29	-0.264
TRPT1	-1.15216666666667
DPEP3	0.06325
DENND4A	-0.9235
TSPAN16	1.723
PTCHD2	0.665
LOC145814	-0.2555
CAP1	0.507333333333333
EIF5A2	-0.0211
NT5DC3	0.089625
SEPT9	-1.395625
SEZ6L2	-1.505625
EGFLAM	1.82775
VPS11	-0.130125
NDUFB5	-0.298166666666667
CIDEA	0.590833333333333
IER5L	-1.539
N6AMT1	0.65325
FAM83C	-0.60025
OXR1	0.440583333333333
IRX1	1.712
DGKB	-0.9616
GCN5L2	-2.884
MIR16	-0.039875
FBXW9	-0.33575
WDR4	-1.0355
PDC	0.1815
VPS33B	-0.54
HEXB	-0.146
FLJ32214	-0.51325
TCEB3	0.09475
CRLF1	-4.32725
ABI3BP	-0.3695
C8orf22	-0.884
PYCR1	0.237
KIAA1706	-0.32775
CDK5R2	0.163125
WAS	-0.193
C12orf60	-0.80875
CCBL2	0.327625
MADD	0.34575
C5orf34	-0.27825
WDR42A	0.8531
KLF12	-0.498
HSPA1A	2.04175
ITM2C	-0.21625
DAPK2	2.2235
LOC442590	-1.1995
SUMF2	0.759
CENPA	-0.971153846153846
TMED5	0.585625
CDH6	-1.6087
BRP44	1.8305
THG1L	-0.92525
GABRA2	-4.18
C14orf166	-0.39725
MYL1	-1.63025
TNFSF18	-0.0915
PAP2D	-1.2635
PPIB	0.26325
KLHL4	-0.790857142857143
SFN	-1.46366666666667
CCDC127	-0.18075
FRAP1	-0.79875
GOLGA5	0.0825
SDCCAG1	0.14475
MGC21675	-0.6665
C10orf95	-1.24475
KIAA1345	-0.682833333333333
C1orf163	-0.742
LACE1	0.618166666666667
OR10K2	-1.073
CENPN	-0.04792
TMED2	2.158
UGT1A6	-1.2865
ANG	-2.25925
U2AF1	0.973666666666667
CASC2	0.3705
NMT2	0.7755
OSGEPL1	-1.780875
DFNB31	-0.3865
SLC6A20	0.16275
DKC1	0.415
FXYD4	-1.08975
WDR64	0.224
MGC5590	-0.001
CREBZF	0.472
DAZ1	0.1495
PRPSAP1	-0.58925
GCHFR	-2.3155
TTC7A	0.110375
LOC196993	0.337
UBD	3.88233333333333
S100A1	1.748625
RPL6	0.7065
DNAJB6	0.6439
NAGS	0.2876
C2orf58	2.6715
KERA	-0.068
MT1X	-1.5936
UBE2B	1.2851
KEAP1	0.71425
MST1	-3.777375
OMA1	1.022
ABLIM2	0.6875
BCL2L13	0.488416666666667
JAZF1	0.639166666666667
TMEM63B	0.958
S100A8	2.5856
ARFIP2	-0.54475
UROS	-0.32325
KHDRBS2	-1.276
POLQ	-0.695625
SOAT1	0.853
SPAG4	-2.16025
MRPS30	-0.189666666666667
LOC494141	0.2455
OR2T11	-0.292
ORAOV1	0.561
ZNF184	1.55516666666667
TCEB3B	0.749333333333333
ADAM21	0.945
GDPD1	0.5465
SPINLW1	2.008
PRR14	-0.402333333333333
KCTD9	0.1799
NUDT3	0.96225
KIAA1822	0.739
HIST1H4K	-1.7135
DFNA5	-2.3465
GABPA	0.419
C14orf44	-0.982
POLB	2.14125
PTAR1	-0.06025
SEC31A	1.078
TRIM58	-2.591
TAS2R14	-0.3215
VPS8	0.2545
H1F0	-1.06333333333333
PRKCB1	-4.10316666666667
UGT2A1	0.2615
TOR1B	-1.31025
LSS	-0.838
C2orf19	0.37
HNRNPC	0.719
TMEM100	-2.588
LOC116349	-1.51775
OR51M1	-0.826
CCDC142	-1.57675
ISG15	-0.1986875
ZCCHC14	-0.161125
CREBL2	-0.322125
TGDS	0.0885
DC2	-0.4845
CACNA2D3	-0.997230769230769
ZNF429	-0.7545
LYPD6	-1.30683333333333
SUCLG1	0.589
OR51I1	-0.825
MAGEH1	0.9375
PRPF40A	-0.414
SMR3A	-0.2385
SPINK2	-2.40125
THAP2	1.656625
NPY5R	0.766125
IRF4	-3.735375
SPESP1	-1.26433333333333
OR10S1	0.326
DTD1	-0.20925
TUBE1	0.62425
DDX19A	-0.1775
PDPN	-0.018875
TMEM34	-0.73225
MGAM	1.47225
COL3A1	6.05338888888889
GFM2	-0.225
OR5A2	0.7615
PSG9	-1.3325
ARHGEF11	1.62633333333333
IVNS1ABP	0.83325
SIGIRR	-0.5385
DUSP19	-0.767
DNAJC14	0.6426
ACSS1	-0.59025
IL1RAPL2	0.256
C4orf30	-0.43675
SEPT4	1.0755
LANCL3	-0.37225
SPAG17	-0.1468
PRDX3	0.931625
HNF1A	-1.9895
P4HA2	-0.11925
RFWD3	0.0725
MOV10	-1.317
DNAJA5	1.005
LOC729440	-0.16475
LOC200383	0.329833333333333
SMC2	-0.232
MIXL1	0.0706
TMEM9	0.9035
FAM86A	0.873
ZNF174	0.2712
MYH14	-0.9805
CCR8	1.0805
VPS37C	0.852333333333333
GPATCH1	0.145833333333333
B3GNT8	-0.5015
TBX4	0.3275
CNR2	0.265666666666667
PCDH1	0.92675
C5orf29	1.91925
OCIAD2	0.07125
PLCG2	0.45025
KIAA0247	1.41528571428571
HRH3	-0.0924
CAPN13	-0.631125
CCR1	0.1529
MGC15523	-0.343444444444444
UVRAG	0.5775
DNAJA2	0.276
ITGA2B	-1.35366666666667
CLDN5	2.189875
PTPRN2	-2.287
ZNF512	-0.207
PSAP	1.78964285714286
CCDC140	-0.7075
LRRC55	-0.40375
CYP26C1	0.0205
C8orf47	0.00675000000000003
LYN	-0.619125
DUSP6	-1.93316666666667
TGFB3	1.03033333333333
ELK1	0.2233
PCDH11Y	2.0246
HGD	-5.519
C17orf58	-1.153
MYO3A	0.872
SERPINE2	-3.028
AARSD1	-0.497125
C14orf73	-0.94325
ADAM33	-0.01925
ZNF491	0.1455
MAPK6	-0.993333333333334
TCN1	4.78683333333333
SLC24A6	0.623
UBE2R2	0.576
H1FNT	-0.245
TATDN2	1.16833333333333
LILRB1	1.4315
P2RY5	1.2165
NUCB2	1.3075
C2orf37	0.3835
SNX27	0.0533333333333333
MTA3	-0.773
FOXO4	0.51225
ID4	3.10166666666667
SOX5	-3.3004
PXMP3	0.484625
OR52M1	0.0075
SFT2D3	-0.319875
INA	-4.4635
MCOLN1	0.608
NFIX	0.7904
CLEC14A	4.60833333333333
HIBCH	-0.185833333333333
PLA2G5	-0.32325
TIMM10	-0.456
MED17	0.8114
COL4A4	1.338
TPP1	0.092
GJA3	-2.12566666666667
TMPRSS5	0.601
AADACL3	0.283
DNMBP	-2.95225
ENPP5	2.115
NQO1	-1.5557
ZSCAN2	-1.07125
SEC24C	-0.1985
GTF2A1L	-0.4585
AXIN2	-0.6479
FAM33A	-0.6
C16orf13	-0.09325
SPNS2	0.66025
TAF1	-0.0345
AP1G2	-1.59483333333333
RBM42	-0.764666666666667
HCN2	-1.05183333333333
EFHB	-0.0443333333333334
RUSC1	0.296666666666667
GRIK5	-0.204
USP21	-0.0465
ATAD3C	-0.0495
ORMDL2	0.276
PRSS7	-3.138
PSAT1	-2.034
FLJ13195	-1.0435
TBC1D1	0.994166666666667
IFNG	0.70775
OTOS	-0.0348333333333333
ZNF773	-1.335
EMD	-0.88675
RETN	-0.54475
CCL8	5.186
APH1A	2.339125
COX18	-1.20875
GTF2IRD2	-0.0835
CCDC82	1.08266666666667
PAFAH2	0.1934
NPEPL1	-1.4935
RP11-114G1.1	-0.0665
TP53INP1	0.339375
ZNF300	1.03033333333333
FOXL2	-4.194
LARP2	0.997916666666666
LATS1	-0.5255
HTR6	0.0185
SPOCK2	0.381333333333333
RNF144B	2.117
HTATIP2	0.367625
MGC10334	-0.300916666666667
CENTA2	0.951
FGF2	-0.4565
FXYD7	-0.08
PHYHIPL	-1.196
GPR34	4.12766666666667
DDX6	-0.743333333333333
OR10W1	-0.179
LHFPL1	-1.236
ZNF313	0.287071428571429
VPS28	-0.60825
AP3M1	0.0383
AKR1CL2	2.158
TRAF4	0.67925
OR2B11	0.0895
C19orf12	-0.0733333333333333
AKAP9	-0.151333333333333
C1orf62	0.31925
SLC20A1	-1.8917
FAM112A	0.226
LDB2	0.214875
MRPS23	0.0715
KLK5	2.996625
SPTB	-0.767444444444444
EFEMP2	0.214
EFNB2	1.4375
PCM1	1.01835714285714
NMNAT3	0.828625
TSG101	0.317833333333333
C8orf40	0.744333333333333
NOB1	-0.9805
ABHD3	-0.42
GTF3C4	-0.7135
PIGN	2.31783333333333
GALNTL1	-1.77775
AEBP1	1.039625
OR9Q1	0.405
ANKRD2	-0.533625
CCL28	-1.88875
TRIM38	1.26266666666667
TMCC1	1.17383333333333
SMG5	0.47175
LRRC7	-0.034
NCAPD2	-1.004
C6orf153	-0.2895
C1orf74	0.96275
OTUD6A	0.13
DCP2	-1.34883333333333
TMEM24	0.10325
RPL18	-0.6825
TMEM177	-1.3995
LRRC37A3	-0.4395
C1D	0.789833333333333
LDHC	3.0595
UBE4B	0.317833333333333
NIT1	-0.4245
BTN3A3	-0.1925
RASD1	1.579125
COMMD3	0.691
SHFM1	0.0705
BIRC8	0.726666666666667
DUT	-0.885
C12orf51	-0.303
LRRC59	0.771
LY6H	-0.0755
WDR22	-0.257666666666667
EDEM1	-0.587928571428571
ADH1A	3.757
PANX2	-0.1937
CYP11B1	0.24225
CDC73	1.173
GPR172A	1.048
GSTM3	-2.25853846153846
KCNA5	-0.406125
SERAC1	0.6015
NFATC2	-2.498
ANAPC5	1.1083
C15orf24	-0.1545
NFATC2IP	-0.172
TNRC6C	0.146333333333333
MGC102966	2.81325
FGD5	0.1715
MED9	-1.3715
RAB13	0.613
C15orf49	-0.81
CRYGS	-1.23566666666667
C12orf53	-1.17
LOC283693	0.012
COX6B2	-0.693375
PHF14	1.15125
FAM3A	-0.784625
RPL13	-2.0612
PRDX2	0.5794
FLJ34047	-2.12375
PRMT3	0.839
KCTD19	-2.766
TRIM10	-0.841
MGC26597	0.426833333333333
GCNT4	0.3955
GPRASP1	-0.7145
CDKN1C	-1.03208333333333
RHBDL2	3.1985
HSPH1	1.16525
AQP1	2.097875
COL17A1	0.0718
GFAP	0.430125
CDC16	1.2275
KIAA1614	0.351
C6orf118	2.12266666666667
ZSWIM5	-3.838
FAM83F	2.40875
LYNX1	0.130666666666667
SYNPR	-1.055
XG	1.649
PRSS16	2.18475
KIF13B	0.0812142857142857
PCDH9	-0.895714285714286
HIST1H2AH	-0.0226666666666667
RBM18	-0.9605
ZNF626	0.79575
HEXIM2	-1.885
ITFG1	-0.837
TUBG2	-0.666
SFRS7	0.41025
C9orf14	-0.609
EXTL1	-1.00275
GBP3	0.124833333333333
WDR5	-0.21075
RARG	0.415
MYO7A	-1.1565
CECR6	-0.6885
C13orf3	0.186875
SFRS18	-0.48925
ACVR1B	0.2618
PSMD1	-0.5675
C7orf31	0.0873333333333333
ILVBL	-1.55225
IFNGR1	1.978
RNF186	-0.5935
NOL9	0.00900000000000001
MAGEL2	-0.4505
SLC29A2	-0.6505
NHSL1	0.533
RBMX	-0.754
PSORS1C2	0.209125
RAD51L3	-0.0150833333333333
LCN6	0.28975
ORAI2	-0.78025
BRUNOL6	-0.3799
OR4K5	-0.532
CDC123	2.4635
MSLN	-0.538833333333333
WWTR1	0.211166666666667
ZNF700	-1.461
COBL	0.25125
PPP1R16B	-0.4695
GAS7	-1.7602
MDN1	-0.45725
HAAO	0.7145
C9orf68	-0.58725
TNFAIP2	2.3985
FOXN1	0.7715
hCG_2033311	-0.398666666666667
ATP6V0D2	1.096
RPL41	-0.356625
SLC38A1	0.96725
ARHGAP6	-2.01554545454545
ADAD2	-0.68575
PHF20L1	1.0590625
MCM3AP	-0.919
ST3GAL3	-0.2865
SNX1	-0.304833333333333
ELF5	6.08825
PARP3	0.08625
RBM8A	1.207625
LINGO4	0.618
ITGA9	1.8474
ZFR	0.21025
ACSL6	1.59971428571429
FLJ20699	-1.1218
DAOA	0.462333333333333
FABP4	4.51175
KCNB1	-0.931
CANX	0.000100000000000006
SLC25A28	-0.0516666666666667
ADIPOR2	-1.022
ECHDC2	1.0325
SMA4	-3.96975
FRZB	2.236625
PABPC1	0.794666666666667
DMRTB1	-0.238285714285714
APOBEC3G	-1.1145
CATSPER2	-1.59716666666667
CUEDC1	-0.116666666666667
STARD9	-1.630625
CLDN8	5.466125
LOC23117	-0.561
E2F6	-0.942833333333334
TMEM126B	0.0411666666666667
DPY19L4	1.84975
GIMAP5	2.5435
NDUFA9	0.0905
FAM77C	-2.717
CTPS2	1.2075
LOC51035	-1.183875
WDSOF1	1.56525
EGLN3	-0.896625
PITX3	0.0748333333333333
OR52E8	0.505
GRM4	0.1615
KLK1	-2.51166666666667
GPM6B	1.17425
RRAGD	-0.283666666666667
PAGE5	-4.98375
UCHL5	1.40916666666667
ULK3	-1.18283333333333
AIM2	0.845
PNO1	0.545666666666667
OR2F2	-0.103
GNAT2	0.0765
SIX1	-3.954
ST13	1.02333333333333
ZBTB44	0.18475
TIMP2	-1.456
ZMAT4	-3.144
GTF2IRD1	0.604333333333333
ZNF19	0.570666666666667
ZNF714	-0.48225
RSC1A1	-1.55775
C9orf80	-0.07425
PSMA8	1.23333333333333
TMEM141	-1.52975
COX4I1	-0.290571428571429
CTAGE1	0.4275
DTWD1	1.527
HSD11B1	2.713
KRT6B	6.6055
ARID4B	1.648
LHFPL3	0.506
WWP2	0.34525
ZNF326	0.839
RGPD1	-0.864
CTSH	-0.161333333333333
FASTKD1	-0.820625
PAF1	0.0152
TTC9C	-0.2995
IFT57	1.2374
PRSS36	0.4065
IL20RB	-1.187
ZNF592	-0.536166666666667
DCTD	0.1129
CFP	-0.0045
MFNG	-1.9685
JMJD2B	-0.607
ALDH3B1	-1.089875
THSD4	-1.87983333333333
KCNJ5	0.74
LMNA	-0.00166666666666667
TBCD	0.257
ZNF250	0.819166666666667
CASQ2	0.257
PEG10	-1.11141666666667
PRAME	-3.0584
NP	-0.550625
TRIM59	1.46483333333333
ZNF12	0.127625
XTP3TPA	0.995
SIGLEC7	-0.8066
PANK4	-0.9785
FAM70A	-2.47416666666667
SNED1	-1.1465
HIP1	-0.5147
RAET1E	-1.93683333333333
AMAC1L2	-0.603
AHNAK2	-1.93016666666667
TOE1	-0.179166666666667
RECQL4	-1.06675
SPRYD3	0.71575
DPAGT1	0.2335
MAGED2	0.1461
ANKRD55	-0.374333333333333
TRPS1	4.95675
DOK7	-2.37175
TFPI2	-4.4315
GTF2H3	0.204666666666667
CYP4F11	-0.531125
LHX2	-2.61233333333333
ATG16L1	-0.767
ASB12	0.0955
C1orf116	3.514625
NF2	-0.31225
POM121	0.037
PHYHD1	-0.9372
TXNDC17	-0.488166666666667
DKFZp779O175	0.49875
NUP62	0.618285714285714
MYO18B	-0.28475
PRAMEF1	1.079
TCBA1	2.0632
TMEM168	1.81075
FJX1	-0.595666666666667
CLCF1	-1.09575
SEPN1	-0.110875
IGSF2	0.77425
NUDCD1	1.48033333333333
TFF3	-2.07916666666667
NDFIP1	0.270428571428571
CHCHD4	0.11975
TNR	0.284
CUTA	-0.148333333333333
USP44	-4.369
DPP10	-0.239166666666667
IWS1	-0.364833333333333
PCGF1	0.48525
SULT1C4	0.113
NTF5	-0.638
PTPN13	-1.45425
SSTR5	-0.8935
SFRP1	2.4915
IDH3B	-1.077125
SUOX	0.557833333333333
TMCO5	0.88025
GOLT1B	1.09875
MIB1	0.500071428571429
PCDHGB1	0.3255
SUSD1	-0.85325
ICAM5	-2.6926
PAPOLB	-2.485
URM1	-1.375
TMEM106B	0.1655
LRIG2	-1.399
SLC27A5	-1.03325
CLIC6	1.0777
ZNF420	1.36533333333333
SCN9A	-1.7857
KIAA1909	1.42725
ELMOD1	-0.80925
PRKAG1	1.35525
FAM64A	0.610333333333333
EEF1G	-0.6889
SMAD5	-0.2175
INCENP	-2.34125
WASF2	0.598
GARS	-0.1103
CDK10	-0.4084
HLX	-1.32016666666667
MDM4	-0.13925
ZNRF1	-0.756714285714286
HHATL	-1.88766666666667
FAM21C	-0.6823
HIST2H3C	-0.024
PFDN2	2.0575
ZNF200	-0.1235
NDN	-1.6575
HBA2	-3.39033333333333
FBLN5	1.64625
PUM1	0.995571428571429
TNNT1	-1.9345
C19orf59	0.615166666666667
HNRPH2	0.124333333333333
RAB7A	0.321666666666667
PMS2	0.3105
BIRC3	1.86416666666667
NRSN2	-0.097875
OR52K2	-0.301
SPOCK1	-0.169642857142857
H2AFY	0.93125
RXRB	0.44875
ZNF638	-0.311666666666667
ANKRD45	3.0235
ACTN4	-0.171166666666667
FXC1	0.92175
EIF2B5	-0.4085
VPS33A	-0.193
PINK1	-0.133375
FAM106A	-0.857
SKIP	0.817133333333333
GAPDHS	2.19225
MUM1L1	2.093
PSTPIP1	-0.5805
CNTNAP1	-2.1515
CYP26A1	-3.38325
APOL2	-0.7393
TACC2	0.191
COX7A2L	0.531214285714286
HSD17B1	0.334875
ARRB2	-0.68775
SLC7A6	-0.1945
HSD17B10	-0.18525
RBJ	-0.76675
NUP155	0.06475
MRPL10	-2.08316666666667
CYCS	-0.277333333333333
CCDC46	-0.5235
TECTA	-0.218
GNAL	-0.10275
LPO	0.3625
PEBP4	0.609
DDX11	-0.66125
C18orf12	0.375
TAF9B	0.0348333333333333
IMP4	-0.578
RPA4	-0.951833333333333
NDUFS1	-0.88
UPK1A	-1.08866666666667
ARRDC2	-0.457666666666667
C18orf20	0.427
AES	1.27935714285714
CD2BP2	-0.0451666666666667
C16orf54	1.105
