Hybridization REF	TCGA-AR-A1AK-01A-21R-A12P-07
LOC389073	-0.594
FAM80B	0.252833333333333
PSMB1	0.243125
TXN	-0.782333333333333
VIPR1	1.3606
WBSCR18	0.2508
EXOSC6	-0.6455
ACTA2	4.21166666666667
SP5	-2.42975
ANKRD1	-3.52
DDR1	1.1482
ATP6V1D	-0.93775
PTGS1	0.542
RNF157	-1.208
DCC	-0.101
SPAG7	0.23475
FBXO18	0.12625
UBE3C	-0.8074
HOXC6	0.64225
LRP2BP	-0.0518333333333333
MYST2	0.1325
PDSS2	-0.28125
ATE1	-0.18775
ARAF	-0.25425
KLF10	0.86275
PLA2G2E	-0.46875
ASCL1	-1.8045
TSNAXIP1	1.8845
FAM131B	-0.125875
IFNA10	0.552
NUP43	-0.811125
FAM44B	0.78325
L1TD1	-5.35566666666667
NMD3	-1.23675
C18orf54	-1.3057
PHOSPHO1	0.0135
RAG2	-1.656
EMILIN3	-0.229
METTL3	-0.9255
VPS13C	1.25125
REXO2	-1.3045
ANXA4	-0.64675
CA1	-1.8775
DCP1B	0.7445
TULP3	-0.957
ATP2A2	-0.0786428571428571
ATIC	-0.6335
ADAM15	-0.16175
NPL	1.5275
LGR4	-0.837625
UEVLD	0.411333333333333
GAB1	0.7845
SNAI2	-0.576
ZGPAT	0.2971
SNF1LK	0.7105
DLEU1	-1.80725
UBE2Q1	0.47225
ZMYM6	0.285375
JPH3	-1.7625
FAM38A	-0.6385
PXK	0.485333333333333
DENND2D	2.1655
BAX	-0.370666666666667
CP	-2.81445454545455
RPL37	-0.1069
G6PC3	1.3955
NCOA4	-0.656833333333333
LRRC14	0.4495
GORASP1	0.24
FCHO2	1.1635
CYP24A1	-2.2737
FXYD3	3.085125
SMARCAL1	0.22225
ABCB8	0.3055
CCDC44	0.63725
PRDM7	-4.1165
USH1C	-1.445
DNAH5	1.15316666666667
SRF	0.04725
MAL2	2.7775
PGPEP1	0.625416666666667
SIN3B	-0.6815
SEMA3C	-0.0476666666666667
GRAMD3	2.22675
FBXO10	-0.3775
OR5D13	0.857
FLJ31818	0.0795
CACNA1I	1.280875
S100A13	1.5595
TP63	3.50064285714286
ANXA11	0.4495
WDR66	1.908625
CSF2RB	0.4615
IFI44	3.03875
DACT1	1.71233333333333
ANKRD23	-1.464875
ATP5G1	0.307166666666667
C21orf70	-0.563
PPWD1	-0.49175
DNAJC13	-0.49375
PAH	-3.72766666666667
PTCH2	0.731
TRMU	-0.9565
CCDC9	0.416
USP3	-0.6839
DCLRE1C	0.4641
FAM55C	1.82775
FRMD4B	1.32075
CYP2R1	0.28875
RFPL1	-0.5967
XPO5	-0.891
ARL6IP2	-0.8255
OSBPL5	1.50825
MMP9	3.08463636363636
KIAA0802	-0.81125
DHRS2	-2.847
SGEF	-0.142625
TXNDC10	-0.536
EXOC6	0.661
RPS27	1.17666666666667
PNCK	-1.41383333333333
FSTL1	-0.848
AACS	0.3025
SLMAP	0.275833333333333
SAMD4A	-0.2117
ABRA	0.73125
SMARCD3	1.43275
PKNOX2	-2.11816666666667
A4GNT	0.6045
C9orf39	-0.295
RALYL	-0.64875
MGC33556	-1.611
C10orf25	-1.458
BBOX1	6.31475
NHEDC1	1.0035
XDH	-0.237
GCSH	-1.52
EDN1	2.65733333333333
MTERF	-0.18625
CLK4	1.378875
ZNF799	0.988333333333333
KCNG1	-2.22925
CXCR4	0.934166666666667
PTPRR	-2.07925
IRAK1	-0.503625
LOC401397	-0.594
TMSB10	0.258214285714286
CXCL3	-1.4628
TMC4	1.95
OR7A10	0.1905
STYK1	1.55425
CHRNA10	-0.417
CCNI	0.303
EP300	0.181428571428571
LOC165186	0.412166666666667
HIC2	-2.75775
SDR-O	0.1495
OR2W1	0.589
KCNA6	-0.549
TRIM74	-1.66675
REEP6	-0.93425
ATP5G2	0.6655
ERG	1.314625
TMEM42	0.06075
PARN	-0.138166666666667
SOD2	0.6824375
DIRAS1	-0.562166666666667
PNPT1	-0.679
JOSD3	-1.535
hCG_40738	-1.0575
PDE1C	-1.99175
SEMA4D	0.76575
AGPAT1	0.170666666666667
NOSTRIN	0.534
MAP3K3	0.4395
MAX	1.03414285714286
CAPS	3.24266666666667
SERPINA12	-0.6645
OSBPL8	-0.2325
RICS	0.2167
NR4A2	2.65566666666667
PPCS	1.39183333333333
LONP1	-1.2185
SCYL3	1.68525
HERC2P2	-1.518
FIBCD1	-0.984
C15orf41	-0.25325
DMC1	-1.03316666666667
C20orf27	-1.33375
RPS6KA5	-0.2742
FAHD1	-0.086
SLC12A4	0.1655
BRCA1	-1.128
GBL	-0.0595
SLK	-0.125
NUDT9P1	-0.478
NOXO1	2.5125
USP52	-0.656
BAZ1B	0.3695
SLCO2B1	3.98025
BBS12	1.5765
LRGUK	0.417333333333333
TERF2IP	0.20075
COL1A1	3.778
KIAA0090	0.017
GRK5	0.0346666666666667
AP1S2	-0.5448
TMEM52	0.106833333333333
CA11	-0.192125
OR4A15	0.254833333333333
ACBD3	1.7131
SPAG11B	-0.376375
PRDM2	0.9606
FOXP3	0.53675
SMYD3	-0.2475
LOC389199	0.506
LGI2	1.3645
NAPE-PLD	-1.2686
ANKRD6	1.1795
WDR45	0.642166666666667
SHROOM1	-0.38625
PSCD3	-0.2445
PYY	0.9035
KCNC1	-1.653
ARHGEF9	-0.1979
OR8J1	0.4345
GPR55	0.141666666666667
NS3BP	-2.334
C10orf22	0.177166666666667
NAT8L	0.20025
DUSP4	-0.391833333333333
FOXM1	-1.303
GRAMD2	1.6771
ZBTB48	0.3785
BUD31	-0.433
PABPC5	2.345
CCDC41	-0.67875
FBXO11	-0.154583333333333
C6orf148	-0.51975
RFXAP	-0.88675
C6orf15	0.6675
CDK8	-1.1845
C6orf70	0.607375
TESSP2	0.9225
ALG2	0.40825
PPP1R3D	0.50675
TPM3	0.637111111111111
SYT13	2.649
EPB42	-0.582333333333333
CETN3	-0.14475
PRY	0.233
NTHL1	0.887833333333333
POLR2B	-0.2555
RPS28	0.8135
P2RX3	0.352
LYZL4	-0.067
WBP4	-0.231
PMM1	-0.05875
C11orf79	0.42275
CBLL1	-0.51525
IL1F10	1.547
VAX2	1.2345
SETDB1	0.0405
LRAP	-0.424333333333333
GCLM	-0.325
CPEB3	1.55475
PPM1A	0.158375
INTS1	-0.4775
CAMTA1	0.21075
SAMSN1	-0.3635
LOC158830	-0.278833333333333
GMPPA	-0.533625
AIPL1	0.201
IL24	0.95075
BDKRB1	-0.428833333333333
MLF1	1.1754
TAF12	-0.013
ID1	-1.698
THADA	-0.61475
PIK3CB	-0.51025
OR4N5	0.615
TBC1D17	-0.1585
COX8A	-0.331
CDCA4	-1.07725
C2orf44	-0.3005
ZNF534	-0.82125
IMMP1L	0.43325
NIPSNAP3B	0.618125
FTMT	0.23725
PWP2	-0.959166666666667
MMP15	-1.1452
DNAH11	-0.59075
MTMR14	-0.167
DNAL4	1.03925
IPP	-0.60475
TMEM59	0.925875
C1orf157	0.343
RGS4	1.19983333333333
DDX18	-0.867333333333333
SNX6	0.31825
ZNHIT2	0.106333333333333
NCDN	0.026
FLJ33534	1.53425
RAG1	-1.7675
OR4D10	0.2485
PTPN5	-0.514833333333333
POMT1	0.292875
LRRC8A	-0.385
CYP1A1	-1.17
CAPN1	-0.803166666666667
DDHD2	-0.54675
GRIK2	-0.09025
GNRHR	0.577666666666667
PPBP	0.201
HTR3A	-0.701
SLITRK4	-0.56
ANKRD49	-0.13625
BTF3	0.1279
SARS	-0.141
C13orf18	0.984166666666667
CACNB1	0.125769230769231
QKI	0.620863636363637
SETMAR	0.405125
MAN2B1	1.26566666666667
EML3	-0.534
ACADL	0.3075
OFD1	-0.362625
DEFB114	-0.3635
CGA	-3.01388888888889
PEX16	0.202
LRRC10	-0.0245
GNG12	-0.815
C1orf152	0.205166666666667
CHRM1	0.3955
CD53	1.552875
DBH	-0.88325
TFAP2B	3.113
HIST1H2BJ	-1.16483333333333
FAM46D	0.266
TMEM11	0.0175
C3orf32	-2.343
PCCB	-0.98425
IPO13	0.1605
C6orf105	-3.3795
COMMD5	1.05125
SUV420H1	-0.0902
LTBR	0.6505
ARHGAP15	0.3745
HDHD2	0.1185
TDRKH	0.382666666666667
LOC401052	1.72
PSG4	0.21675
GNB4	0.1223
SPATA4	3.57
SLC9A3	-0.868
OSBP	-0.563166666666667
NBPF3	-0.76625
DOCK11	-0.065
SLC39A5	-1.45233333333333
PRR5	1.1073
C10orf63	3.09325
SMTNL2	-1.07375
ADRA1A	-0.220666666666667
ASAH1	2.3535
DOM3Z	0.0356
GIPR	0.351166666666667
AHI1	-0.167916666666667
NADSYN1	-0.921
RGS14	-0.2513
IL18BP	1.6358
RTN4RL1	1.88191666666667
ARMC6	-0.19025
PSMD5	-0.772333333333333
HK3	1.5798
OR4S1	2.0535
RSU1	0.6997
MAD2L1	-2.25322222222222
EIF4A3	0.02175
DLEC1	0.576
E4F1	0.798
CHMP2B	0.5229
CAMSAP1	-0.42825
RPS21	0.328
ARID5A	1.445
UBE2N	0.2972
IGSF8	0.946333333333333
MAGEB6	-1.839
ACAD11	-1.2079
MGC4172	0.17075
LMO4	-0.7705
KLKB1	-0.02975
HP	-0.6705
HDAC3	0.0385
SCHIP1	1.101
CLCA1	-0.688
OLFML2A	1.47425
C1orf112	-0.77125
KIF19	2.19225
HAPLN4	-0.5611
CXCR7	0.468666666666667
GOT2	-0.5103
RAB38	-0.3775
DCX	0.3495
PPM1H	0.22725
NFYC	0.6905
KIN	0.737875
ZNF228	0.88575
PLSCR4	3.166
HIG2	-0.24575
FAM79B	6.597
C21orf86	-0.5358
KCNK10	1.49025
ZNF738	-1.000125
FSTL5	-2.151
OR6A2	0.1015
OTOA	0.893166666666667
EXOC1	0.259875
AHRR	-3.6115
PDAP1	-1.95758333333333
C19orf6	-0.51625
ZAN	0.325
LY6G6E	0.1815
EIF4E2	-0.6895
C20orf198	1.42625
ZNF324	0.38725
CYP3A5	-3.781
ENTPD7	0.764666666666667
MBOAT5	0.0316666666666667
GJB5	0.91975
TTC13	0.55825
S100Z	-0.7335
KIAA0664	-0.913833333333333
PDGFRB	2.06466666666667
IL17D	-0.4855
OR56B4	0.7
RDX	-1.411
SLC34A3	0.432
IL28B	0.711
JUND	2.7815
CHRNB1	0.677
CAMK2B	1.06825
FETUB	-1.68425
CXorf23	0.839
MRTO4	-1.01075
TTC3	-0.6389
NDUFB8	-0.0351666666666667
EDG2	-0.27
SEMA3G	2.1545
IL23A	-0.5545
GRHL1	0.2831
LOC441054	-0.9195
WDR65	1.58033333333333
PSTK	-0.4055
STOML3	-0.650666666666667
R3HDM2	0.2297
C5	-2.1375
SLC2A10	1.04383333333333
C3orf22	0.302
PAQR3	-1.35161538461538
ANKRD26	0.315166666666667
HCRTR1	0.057
LOC399947	-0.92825
PSD2	0.12225
TIGD2	-0.045
SCRN1	-0.8305
COQ10A	0.55025
DDI2	-1.014
METTL7B	-0.8635
UCN2	0.41025
FAM92A3	-0.95775
WDR16	3.49675
ZNF511	-0.572833333333333
ZMYM5	-0.726
POLR3G	-3.128
ZNF586	0.137
C1orf49	0.3875
TANK	0.362
RCAN1	2.65433333333333
PELI3	2.00016666666667
LIMD2	0.227333333333333
TMEM189	0.0615
NTN4	0.81
LOC151300	-0.312
CLEC2A	-1.9055
GPR135	-0.01775
DPYSL4	-2.0833
JAK2	0.302666666666667
TSHZ1	0.517166666666667
TM9SF4	-0.707875
ZNF264	0.231833333333333
SIRPG	2.2735
BICD1	-1.12375
HERC6	4.01133333333333
METTL5	-0.7055
CASP1	2.10425
PRRT1	0.0131666666666667
PLA2G4C	2.637
ICA1L	-0.0233571428571429
TPTE2	-1.13866666666667
OTUD7A	1.32916666666667
AQP11	-2.219
APOA2	-3.93
KALRN	-0.3643
SECTM1	2.02341666666667
IFNAR1	0.12975
TALDO1	-0.514
RAB11FIP4	0.185833333333333
EIF5A	-1.416
FAM49A	2.29975
NEGR1	0.330166666666667
YTHDC2	-0.04225
EHD2	-0.164875
NCF1	3.2507
SCRT2	1.4875
HOXA5	0.1935
NUP133	0.2285
FGF12	-0.77625
SLMO2	0.24725
SNTA1	1.11975
CACNG2	-0.0885
GCM1	0.515125
ELF1	-0.064
TLR5	3.66875
TCFL5	-0.671
RBMY2FP	-1.078
LOC100125556	0.5665
FAM129B	0.037
MAP3K7IP1	0.14225
NCK2	-0.568
OXA1L	-0.2535
FMO9P	0.213
ZSCAN12	0.21975
PSMD12	0.00025
HSCB	0.134
CLDN10	-2.3575
MGC13053	-0.45275
HPCAL4	-0.369333333333333
ASZ1	-1.464
MEX3D	-0.190333333333333
NFAT5	-1.2475
CSPG4LYP1	-0.0843333333333333
FBXO3	0.5438
DVL1	-0.676833333333333
CMKLR1	1.88016666666667
TYMS	-2.92525
PEF1	1.102
ZNF750	1.559
MCM5	-0.6101
MEGF11	-1.4925
KCNK7	-0.057
PTP4A3	0.5765
C1QTNF2	-1.001
OR6S1	0.5265
FAM122B	-1.44675
ZNF551	-1.0765
HBQ1	-2.487
GEMIN6	0.03925
ARSK	0.62925
RBP7	3.42483333333333
CPNE9	0.4945
DSC1	2.6225
LOC730112	-0.1735
MAP2K4	1.130375
HS3ST5	3.9895
EPB41L3	1.20325
TEKT2	2.88125
CDKN2B	0.549833333333333
ZNF480	-1.26575
MAP3K6	0.5812
MAP6	2.11133333333333
HN1	-0.375
OR2L13	1.61133333333333
SLC16A11	0.84325
FAM96A	-0.16925
APOL1	0.6375
C5orf32	0.4945
RTP1	-0.243666666666667
RNF175	0.822625
ZBTB41	1.381125
AHCTF1	-0.407
SAE2	-0.954
ITGA2	-0.5395
MME	-0.0305
CCDC14	-1.26275
MAST4	1.87785714285714
KRT33B	-0.971
KCTD2	0.3745
WDR26	0.7725
MFI2	0.591875
NR4A3	1.500875
ARSA	0.7235
UNKL	-0.530333333333333
SULT6B1	-0.091
CCNA2	-2.593
SOX15	0.2165
PPAPDC1B	-0.278333333333333
C19orf44	1.3785
MCAT	0.76
ARID1B	-0.265625
OR52N1	0.055
C12orf48	-1.72075
MAGI1	0.232125
NIPA2	-0.08325
GBX2	-1.9605
RSHL3	2.602125
RAVER1	0.167833333333333
C15orf17	-0.3705
SLC30A2	1.163625
ZNF518	-0.652
PCYT1B	-2.24575
C10orf114	-1.13775
EIF3H	0.69925
SLC25A39	-0.234166666666667
KIF1B	-0.8375
AMOTL2	1.4695
C6orf120	0.397625
PSRC1	-1.4645
PLA2G10	4.36775
KIF5C	2.311875
MRPL37	-0.8835
C17orf62	1.00183333333333
C9orf135	-1.912
DUSP10	0.3493
CLCNKB	0.2185
PSMA5	-0.366125
C8orf53	0.5355
AMPD3	1.7245
PIAS1	-0.61025
ADCYAP1R1	0.21
GYLTL1B	-0.3985
CDH20	0.0705
FBXO7	0.01225
TMEM134	0.0788333333333333
FLJ14213	0.912833333333333
ZNF3	-0.787
LRRFIP1	0.39475
CNOT2	0.27825
ABI3	3.3885
ALDH5A1	-0.589833333333333
HNT	2.3237
SERPINA4	-1.9705
TK2	0.606916666666667
STMN1	-1.13522222222222
GUCA2A	-0.00999999999999999
GALNT10	0.591571428571429
DPP6	-0.7452
C9orf93	-0.708
PRELID2	-1.09225
STK39	0.524
SFTPA1	-1.96125
CKS2	-1.74666666666667
RHO	0.392142857142857
C20orf135	0.20475
XKR3	-2.2585
CR1	0.2545
RPS6KA2	0.673285714285714
C20orf112	0.827
MRPL22	0.3605
C4orf23	0.109833333333333
GADD45B	1.54275
KLHDC1	1.98283333333333
C2orf48	-1.7375
ZNF287	1.3335
DAAM2	-0.512
DPPA2	-3.16133333333333
TCTN3	0.595666666666667
DNAJB11	-0.25975
FPR1	4.20125
DEFB4	-0.137
PTCD2	-0.5014
SMOC2	4.86083333333333
CABP7	2.50025
SERPINB11	0.4125
MAGEF1	0.79975
NDE1	-0.239
ITGA10	0.1615
FSHB	-0.2555
ANXA2	0.710125
HORMAD2	-0.3035
HLCS	0.21975
MCF2L	1.12233333333333
FH	0.07125
TBC1D24	0.3305
KIAA1505	2.4125
LGALS2	2.04225
CNBD1	-0.3185
SYNPO2L	1.59825
PTPN23	-0.0916428571428571
C1orf183	-0.561
MAGEA8	-3.29975
DGCR8	-1.216625
GSR	-1.297
PAQR7	0.28525
ZNF676	-1.16425
CACNA1C	0.4829
SP7	-0.6945
PDCD6	-0.163
NRN1L	-0.9035
BRI3BP	-0.815833333333333
KIAA1183	1.0825
ASB4	-0.02675
CCL23	2.2399
OBSL1	-0.148875
SLC12A7	0.535333333333333
KIAA0240	1.0335
CD1B	-2.67566666666667
FCGR2A	2.818125
MDC1	-1.06275
HTR1A	0.0115
OCEL1	1.84
ATP11B	-1.34975
FBXO34	0.185166666666667
PCDH12	3.71233333333333
RPE	-0.9665
C17orf74	0.1085
CSDC2	1.01733333333333
PET112L	0.383
TMBIM1	0.7085
P2RXL1	0.06725
TCHP	-1.0045
TRMT1	-0.378833333333333
F2RL2	1.90725
LRRC32	3.17266666666667
IMPG2	-0.076
BGLAP	-0.09175
LOC493869	-1.17533333333333
MRAS	1.49825
SLC35F5	0.15
CBWD1	0.016
AXL	-0.826125
ATP2C2	0.36175
TELO2	-0.0725
PNPLA3	1.8045
PCDHB14	0.658
CD276	-0.077
KRT80	-0.899625
DUSP28	0.221
CSNK1E	-0.376666666666667
SRP14	1.2495
KCNQ4	-0.42
KRT72	0.0556666666666667
CCDC117	0.4045
C6orf89	0.0212222222222222
TUBB2B	-2.1115
RTN4IP1	-0.59775
CR1L	-2.84766666666667
CEND1	0.12175
C12orf41	-0.301833333333333
RNF31	0.49475
UBN1	-0.073
C17orf32	1.698
SLC5A7	0.31025
GPR92	2.26783333333333
ESAM	2.8861
CTNNA1	0.382416666666667
HRBL	0.1583
CBX4	0.37025
TMEM182	0.1195
SH3TC2	-0.840666666666667
IL10	1.93066666666667
PXMP4	1.4895
RNF167	0.3254
PAK7	3.48983333333333
ETV3	-0.5255
ATPIF1	0.214
LOC554207	-1.774
OR8H1	0.02625
WDFY3	0.774625
DPM1	-0.11825
GPSM1	-0.141
WDR92	-0.1889
LRP1	0.544833333333333
ANKH	-0.866375
THUMPD3	-1.33375
POLR1B	-0.76975
OLFM4	5.26166666666667
RAD9B	1.1
TSPY2	-3.798
PAX6	-1.9798
SCG2	-2.229375
SLC17A6	0.2365
FMO3	4.475875
PADI4	0.18
TUBB4	-0.8249
NLK	-0.006
POU4F3	0.0285
SDF4	-0.357
ITGBL1	2.59583333333333
NETO1	-2.244125
TAP2	0.5285
ABBA-1	-0.3085
GNAI1	0.19975
VPS4B	0.634
NOPE	-0.0146
GALNT6	2.718
SESN1	0.535625
GBE1	-1.98
CLASP1	-0.2145
RASGEF1B	1.820125
ACOT11	-0.0159285714285714
AFAP1	0.193
OR2H2	0.058
DPY19L2P1	0.22
DZIP1	-2.16025
SEC22C	-0.392416666666667
GPR161	0.1445
RNF146	0.5945
WDR74	-0.650125
GALP	-0.476
PURA	0.0965
DNPEP	0.23925
RP11-78J21.1	-1.31
ERBB2	1.88625
FANCM	-0.768833333333333
NEO1	-0.141166666666667
DDX3Y	-5.1464
RPS3A	-0.059875
MXRA7	0.127928571428571
LGALS3	-0.189333333333333
GLT8D1	-0.45975
CFL2	-1.29633333333333
UPB1	0.558
NAP1L5	-0.23875
CLDN14	-0.50075
DHX38	-0.78825
BTBD1	0.18275
TARS2	0.0831666666666667
ABCF1	-0.473
FCF1	-0.1795
LRRC49	0.728
GUCY1B2	-1.798
C1orf177	0.929333333333333
SMARCA4	-0.127
LRP8	-2.416
TAGLN3	-1.24675
MRPL14	-0.00275
TTRAP	0.0475
ZDHHC20	-0.40475
NFE2L3	-1.519
KIAA1377	0.577125
PALMD	1.3043
TMEM43	-0.31975
TTL	-1.17725
STAT5B	-1.67783333333333
SSB	-0.5095
OR10H5	-0.128
SLC22A13	-0.397
AKAP3	0.53875
TIMM23	-0.329333333333333
OAS2	3.59766666666667
KIAA0423	0.34425
TRIM11	0.695666666666667
GLIS3	0.319625
TMEM50B	0.9465
ARHGEF4	-0.416125
DEGS1	0.740636363636364
TBL1XR1	0.4406
G6PD	-2.1845
SP140	0.8587
MUC17	0.112357142857143
NUDC	-0.2171
DNAJC5B	2.57283333333333
SCARA3	-0.6515
CPA3	6.47816666666667
BCAT2	-0.31525
MFN1	-0.6127
NRG3	-0.211
SNX11	0.94225
PLEKHH1	-0.541833333333333
GPR177	-0.9055
HCFC2	0.5565
TCAP	0.56375
MOCOS	-1.30375
C14orf93	-0.213
PRDM10	-0.509
SLC16A4	0.981416666666666
SRGAP1	-0.5725
VIP	0.7745
DUSP27	1.12816666666667
LILRA1	1.7098
MC2R	0.304
MGC24103	-2.253
MBTD1	-1.735
FUT11	-0.452833333333333
USP33	0.1067
C15orf39	-0.88375
MAP3K12	0.811
PAAF1	-1.06916666666667
BARHL1	-0.0265
FLJ16165	-0.625
PIWIL2	-3.086
SYNE1	0.608416666666667
CMTM4	-0.756875
TSPYL1	1.0731
GUF1	-0.444
TMEM157	2.0045
WDR44	0.46975
HIST1H3C	0.272
DKFZp666G057	1.89975
RNPEP	-0.01575
GAS2L2	0.4795
ADH4	-3.8405
GRPR	4.079
FBXL17	1.283
ZBTB10	-0.241583333333333
Gcom1	0.695388888888889
HTRA1	1.5744
ZNF585A	-0.2545
SLC26A2	-0.538357142857143
OTOP3	0.128666666666667
WISP1	2.05433333333333
ATP2B4	-0.139416666666667
FLJ10769	-0.23425
CRAMP1L	-0.492375
CHST12	-0.40625
RAB22A	0.530333333333333
TARDBP	-0.152071428571429
STAU1	0.30275
CRB3	1.80683333333333
MIG7	-1.83675
CHMP1A	-0.383166666666667
ZNF160	-0.30425
B3GALT6	-0.057625
BARX1	-2.15333333333333
C6orf167	-2.0564375
NXNL1	0.2335
DHX29	0.360625
HADHB	-0.066
PLXNB2	0.4245
ILDR1	-1.078
SLC15A3	3.39325
GAS2	-2.8185
C20orf69	-0.591
NUMB	-0.0605
TNIP1	0.0575
MESP1	1.95566666666667
PSKH1	-0.59375
NSFL1C	0.136625
RHOG	0.71475
HEY1	-1.409
KNG1	-2.249125
ITGAX	2.345
LIN9	-0.0326666666666667
CANT1	1.117625
XRN1	0.0372142857142857
CCDC96	1.3382
HEATR6	-0.8605
GNG7	0.313333333333333
RUNX2	0.9993125
SOX1	0.381833333333333
FCRL5	0.1953
ZNF99	-0.257375
FAM9A	0.951
SNX22	0.162666666666667
MBNL3	-2.49483333333333
ODC1	-2.0691
ADORA2B	-1.7015
NR2F6	1.41925
ZFYVE16	0.0103888888888889
SYNJ2BP	-0.4815
POLE	-0.894625
E2F2	-0.995875
THRA	1.4395
PTGES2	-0.488833333333333
HIP1R	0.216333333333333
TMUB1	-0.672666666666667
ENO3	-2.36125
RSPH10B	-0.5525
CXorf39	0.835
IRGC	0.1655
GPR109B	-0.32575
FLJ13305	-1.457
LCE3A	-0.608
TNFRSF18	1.13866666666667
DET1	0.22475
TRPM3	-0.3475
C16orf79	-0.9535
FECH	-0.0353333333333333
RAP2A	0.0626666666666667
CRIP1	3.47683333333333
AZIN1	-0.132125
SLC7A7	4.0465
IL10RA	1.9802
TMEM64	-1.56225
CDC42EP4	1.5604
C16orf58	0.151
ARG2	-2.71475
POU5F1P4	-4.576
FAM62B	-0.48125
DNAH8	-1.9518
ASH2L	-0.50925
TSLP	-0.885
CNTNAP5	-0.9056
TMEM16C	0.1665
IFNA14	0.302
SLC1A3	1.46325
CABYR	1.6825
BCL7B	-0.0619
NUDT13	-0.917166666666667
C13orf28	0.4535
C1orf53	-0.204
ARL6IP4	0.4384
RPL35A	0.076
EMR3	0.83625
RAB40C	0.465166666666667
SLC41A1	0.375166666666667
LRCH1	-0.4905
LY6G5B	-0.3585
FAM124A	-0.0301428571428571
MGC10981	-4.02966666666667
CLIP3	0.5545
MAP4K2	-0.659833333333333
CHIC1	0.46075
SULF1	2.55066666666667
C20orf30	0.260785714285714
PRDM5	-0.547625
ELOVL1	0.28425
C11orf48	-0.245
SLC39A10	-1.083
KCNV1	-0.4115
ACP1	-0.694333333333333
ZMYM2	-1.297875
B3GNT6	-0.0978333333333333
C9orf69	-0.12075
C2orf15	1.242
C20orf166	-0.5385
HSP90AA6P	-1.317
EDG7	-1.255
NEURL	2.581375
LPL	1.90633333333333
CLEC2D	0.348785714285714
GRRP1	2.6125
CD8B	-1.992
HIST1H3D	-1.12316666666667
SLC6A12	0.403
FAM27L	0.0525
CD84	2.1016
RASA1	-0.2205
PHKG1	-0.054
MAGEA11	-1.925
IMPA1	-0.2891
NPM3	-1.56825
RARRES1	4.966
SH3BP1	0.334125
B3GNTL1	0.0285
ARPC5L	-0.3175
KLHL26	0.62425
SIM2	-2.5275
GJC1	0.431
C20orf194	-0.0165
EXO1	-2.251
SLC2A2	-2.7785
LOC285074	-0.71725
LRG1	1.1035
KIRREL	-1.2395
PIK3R1	2.19914285714286
C4orf34	1.1225
MAF	0.0975555555555556
ADCY4	4.4195
ZMIZ2	0.2511
SLC46A3	1.63566666666667
STAMBP	-0.8975
CCDC16	0.96425
MS4A12	0.317
TCF20	-0.02
LRRC46	2.4245
C20orf152	1.23025
MRPS6	-0.333125
ABCB11	-0.237
KCNC2	1.4685
CDH19	-1.985
C9orf123	-0.00549999999999999
SSH3	1.857
LDLRAD1	0.234
CCBE1	-0.76775
ZNF135	1.565875
TAAR1	-0.1065
WFDC12	0.6245
CCDC42	0.9055
FLJ12529	-0.734
PER1	0.251166666666667
TIMM50	-0.577333333333333
SMARCAD1	-0.2535
FAM26C	0.6675
TP53TG3	-2.27233333333333
SH3RF1	0.6724
LMCD1	2.908
GPR63	-0.457
FLJ21986	-1.60875
AIFM3	0.5675
MICAL1	0.224833333333333
BLZF1	0.863333333333333
IQCA	2.82583333333333
PCDHGC3	-0.538
SAC	2.447
BCL6B	2.9685
DDO	1.0885
MARCO	2.67125
DCHS1	1.747
C1orf170	0.412833333333333
CD200R1	2.86883333333333
C22orf15	-0.617
SEPT11	-0.737666666666667
ADNP	-0.4425
UST	-0.1707
C13orf34	-1.51783333333333
RFFL	1.03442857142857
APBA3	-0.866
C2orf60	-0.30125
CUTL1	-0.6498
PMS1	-0.83925
ZNF689	0.022
EIF3E	-0.667166666666667
IL9	-0.118
RPL31	0.19125
LY9	1.17
ATP2B3	-0.10375
KDELR2	-0.121333333333333
TFCP2	-0.303375
NLRP12	0.297125
FLJ45422	-0.574
TLE4	-0.2526
ZNF570	0.1085
FLJ43806	0.0165
TLK2	-0.303125
CIR	0.78525
MARS2	-0.341
COL24A1	-0.71425
SDF2L1	0.0475
HIBADH	-0.454666666666667
IGFBP3	-2.12471428571429
C12orf23	1.04375
PSPC1	-0.484
C20orf43	0.4995
TRAV20	0.5735
ARHGAP24	2.059625
KIAA1975	0.172375
C1QA	3.7602
DNTT	-5.12166666666667
C10orf6	-0.498916666666667
C11orf41	-0.441375
HNRPF	0.000249999999999972
COL11A1	1.712
UBAP2	-0.946
CDKN2AIPNL	-0.833
C20orf174	5.174
SPRED2	-0.08575
PLA2G12A	-0.0673333333333333
ICEBERG	-1.98416666666667
SCN10A	-0.77
C11orf65	0.496
GBP5	5.5485
PITPNC1	-0.870666666666667
POU3F3	1.611
NCOA7	1.61725
LIN7C	-0.3132
LOC348840	-2.1885
NKX2-2	-2.80775
ANKRD13D	0.814625
LOC123688	-0.35475
FUT2	1.6255
TAAR8	0.5255
FZD4	0.138583333333333
PNMA3	-0.686666666666667
OR4L1	-0.1975
WIT1	-3.3035
EXOC3L	1.93
ATPBD4	0.0494
KRBA1	-0.70925
UBXD6	-1.2125
HOXB7	-1.29735714285714
C7orf23	-0.4085
UNQ338	1.81425
STAB2	2.197
CDC20B	1.1065
IRF9	2.78375
CENTG1	1.04558333333333
