Hybridization REF	TCGA-BH-A0BT-01A-11R-A12P-07
RAI1	-0.01
RPS20	-0.4991
LAMB1	-2.61925
ADM2	1.69
ZNF229	0.16125
DKFZp434K1815	-1.11425
EPN3	2.68483333333333
CLIC3	1.06325
MEIG1	0.847
HMGB4	0.097
STARD10	2.16625
KLF8	3.3415
EPB41L2	-2.3565
JMJD6	-0.492375
CTSL1	-1.64883333333333
GPR27	0.8075
ELAVL4	0.472375
MMP21	0.349
PPM1B	0.555
SUV39H1	-0.933
AAMP	0.6355
TUSC4	1.00116666666667
MBD6	0.19225
KLK13	-0.557625
FMNL3	0.322
TRIM13	0.337166666666667
C15orf5	-2.5295
IQCF1	0.323875
CACNG8	1.0715
SLC35D3	0.336166666666667
ZDHHC9	0.309
ODF3L1	0.3075
C9orf86	-0.0929
TSEN2	-1.4375
C17orf64	-0.3985
SEPX1	0.4847
TSPO	2.05433333333333
SYMPK	-1.8265
ADORA1	0.01625
TSPAN10	1.890625
SEMA6C	0.027
RTTN	-0.9049
IL2	0.2484
ARRDC3	-0.205333333333333
TBPL1	-0.913833333333333
STX12	1.25975
MRPL39	-0.38175
OR8H3	0.5235
IFIT5	1.58
CASC5	-3.453125
FAM46A	-2.532
HPCAL1	-0.621375
CYLC1	1.045
VGLL2	-0.020125
C20orf191	0.411
CDH1	2.76058333333333
ITPA	0.0025
CCDC101	-0.4385
D15Wsu75e	0.3915
EDA	-1.86975
CREG1	0.03225
OR7G2	0.318
SAP18	0.771083333333333
IFIT1	0.9835
CALML3	0.555833333333333
FLJ37440	2.437
FNDC5	-0.906
SERPINB6	1.12142857142857
JUNB	1.1657
SYS1	1.635
SCN2A	-0.2365
ZKSCAN5	-0.7754
WNT7A	0.524666666666667
TSHZ3	0.749
RNF148	1.06375
H6PD	-0.290875
CAD	-0.9765
ZNF449	-0.121
DOCK10	-1.2145
FAIM2	0.351833333333333
HEXDC	0.8485
PRB1	0.8945
C14orf148	-0.3645
ETHE1	1.5775
IRF5	0.5268
GNMT	1.83316666666667
MGC16291	-2.097125
RPAIN	-1.13421428571429
CAGE1	0.4195
CNTNAP3	-3.20275
ACTR1B	0.0755
EEF1E1	-1.894
MSX1	-1.054
ESF1	-1.386
HSPC171	-0.09375
MRPL2	-0.307166666666667
RDH12	-0.130833333333333
CELP	1.259
METRNL	-0.634
C10orf116	4.04283333333333
C19orf48	-1.94375
ZNF346	-0.105375
NCR1	-2.163
C10orf64	1.0865
CD52	-0.65125
VPS18	0.141
AP4S1	-0.267666666666667
NPBWR1	2.6885
TPK1	0.4645
UBA52	-0.186444444444444
RIPK1	0.784333333333333
CPNE3	1.8458
HSPC159	0.831875
C8orf38	0.47725
LRRC4B	0.2145
PARP10	1.6489
ANKRD50	0.8195
CXCL9	3.74825
FGF18	-1.04845454545455
EIF2A	-0.615375
SLC20A2	1.38
KIAA1549	-0.229083333333333
SPINT1	2.6009
ZNF584	-0.227
CRBN	0.472666666666667
ABCF3	0.396666666666667
NCBP1	-0.462
PLA2G4F	1.5035
PCDH10	-1.765375
TTC21A	0.62725
C20orf144	0.809
FGFR1OP2	-0.627
SLC9A1	1.0466
CHRND	0.5975
FOXF1	-1.77675
KIAA1467	1.764
TPO	0.694166666666667
LTF	4.367
DNAJB9	1.98525
MRPS27	-0.78575
bA16L21.2.1	-0.12375
WBP2	0.462833333333333
MRGPRX3	-0.759333333333333
PRPF18	0.393
C10orf58	0.7605
SMOC1	-2.5567
ADAT3	1.384
TMEM138	-0.1415
TMEM131	-0.045
TIMM8B	0.741
MYH7	-0.392666666666667
ST6GAL2	-0.62625
KIF1C	0.42675
SUHW2	-1.3615
PAPSS1	0.90475
CABP2	0.3315
HOXA4	-1.6945
ELF2	-0.15525
SEMA3D	-0.2831
MC5R	1.196
OGFR	1.1015
FLJ30092	-0.2355
TGFA	-1.0274
MMP17	1.6495
KIF15	-3.1695
CHIA	0.863
CATSPER3	0.17975
CEACAM7	1.66291666666667
PADI2	0.77675
HOXA9	-0.184833333333333
LNX2	1.54783333333333
TMEM144	3.322
HIF1AN	0.9905
METTL7A	-1.066
C6orf165	3.44316666666667
KIAA1468	0.400625
DSG3	0.7965
ZNF180	0.124166666666667
EIF4E3	2.172875
SLC46A1	0.509875
DKK1	-6.072
ZNF205	1.318
LOC162073	1.05572222222222
COX7A1	4.51725
MAGEA1	-5.14233333333333
NEDD8	0.30175
KLHDC5	-0.08
C3orf19	-0.6045
MRPS2	-0.7725
POLR3H	0.534357142857143
ABHD11	0.9778
TMEM17	0.937
PAIP2B	-0.373
MAT1A	-3.98025
LGI3	0.34025
THUMPD2	-0.923
TKTL2	-0.76175
XAGE3	-2.72516666666667
CALM3	0.48425
C6orf136	-0.502
KCNC4	0.764333333333333
RGS9	0.03
ACIN1	-1.43216666666667
SPATS1	-0.05
XKR8	0.175
FAM84A	1.19108333333333
MS4A7	4.39909090909091
AGXT2L2	-0.07175
OR1F1	-0.00749999999999999
SMAP1L	0.191166666666667
IPO11	0.7005
ZC3H11A	-0.1493125
C1orf151	0.590625
RNASEH2A	-1.3875
CCR10	-0.3275
TXNDC11	0.41425
TMEM112	1.28675
MAP1B	-1.55257142857143
NVL	0.28125
PKM2	-0.4313
ARC	-0.19475
NUP54	-0.4655
PPFIBP2	2.39883333333333
STAT2	0.844375
PTAFR	1.1605
ROBO2	0.1455
RNF40	0.514333333333333
CCDC135	-0.318666666666667
IFT81	-0.3465
MORF4	-0.33725
TM7SF3	0.627375
OR10H3	0.507
ABP1	-0.251
CHRD	0.17675
PLEKHA8	-1.18433333333333
NCALD	0.870666666666667
OR5AK2	0.19675
ACCN1	0.243166666666667
SLITRK1	1.145
ARMET	0.625
C9orf52	1.08575
REEP4	-0.258
MTSS1	1.329
ADH1B	2.98683333333333
DLD	-0.2875
CDK5	-0.00925
PPFIA1	-0.5436875
WFDC3	1.064
DNAJB12	1.08992857142857
RANGRF	-1.128
MLANA	-4.315
AMY2B	-1.655
KIAA0319	-1.72728571428571
RPS7	-1.043
JAK3	-0.1776
ARFGEF1	0.8115
CXCL5	0.037
TRAPPC4	0.0445
CETN2	1.25875
HSPC111	-1.69625
RHOBTB3	-1.1319
PHLPP	-0.6815
RGS10	2.02375
TMEM58	1.2065
CHERP	-0.707
HSP90AB3P	-1.74
FSTL3	0.239666666666667
PEX11A	0.6275
OR5V1	0.82
FCN3	2.88275
PTPN3	1.113625
NPTX1	-5.249625
C21orf84	-2.84525
C11orf51	0.341125
ZBED2	-1.22625
FLJ90757	0.66375
NPY2R	3.115
PLD3	0.98725
SYT17	2.96966666666667
SGSM2	0.351
OR1A2	0.383
FOXP1	0.083375
SLC5A1	5.398
POFUT1	-0.6656
EPHB6	-2.60733333333333
MYO1G	-1.853375
STAC	-2.2824
KLHL17	0.121666666666667
RGMA	-0.4819
TJP2	-0.575
FAM114A1	0.66
SERINC1	1.93241666666667
SLC9A8	0.1715
PEX19	1.04725
EDN2	4.054
PSMD7	-1.46677777777778
C3orf41	1.12125
UQCR	0.498
PPP1R3C	0.572
LRP4	-2.49616666666667
TM2D1	0.92025
TTC17	0.258
C4BPB	-3.75825
CCL25	0.21625
ZNF253	-0.0145
CHRNA9	-3.315
SOX11	-0.991625
HIVEP3	0.81
CGN	2.65716666666667
C3orf35	-0.397875
PKD2L1	1.94775
SYVN1	0.199125
PDE8B	-2.439
LOC439951	2.404
LTC4S	2.429
MIF4GD	0.929833333333333
SMARCA2	1.9595625
TUBGCP6	0.534333333333333
CABLES1	0.126375
C16orf77	1.45
ZNF791	0.119
FUT5	-0.6995
ADH6	-2.2935
P4HB	1.0295
CLDND2	-0.86325
ALKBH8	0.07925
PLAC4	-1.8495
F11R	0.9705
MGC35295	0.288
PDZD4	0.302
LOC389073	-0.60625
FAM80B	0.0616666666666667
PSMB1	0.291875
TXN	-0.4385
VIPR1	2.6084
WBSCR18	0.1815
EXOSC6	-0.479
ACTA2	3.77433333333333
SP5	1.72508333333333
ANKRD1	-3.33933333333333
DDR1	1.781
ATP6V1D	0.09075
PTGS1	-0.360916666666667
RNF157	-1.522
DCC	-0.1045
SPAG7	1.1405
FBXO18	-0.164
UBE3C	0.2908
HOXC6	0.26975
LRP2BP	0.135
MYST2	0.083
PDSS2	-0.02975
ATE1	0.087
ARAF	0.5535
KLF10	-0.01
PLA2G2E	0.17025
ASCL1	-1.38066666666667
TSNAXIP1	1.14575
FAM131B	0.151625
IFNA10	-0.015
NUP43	-0.625625
FAM44B	-0.715625
L1TD1	-4.72983333333333
NMD3	-0.968416666666667
C18orf54	-1.4636
PHOSPHO1	-0.0205
RAG2	-2.08
EMILIN3	0.2415
METTL3	-0.76325
VPS13C	2.052375
REXO2	-0.872
ANXA4	0.34725
CA1	-0.3075
DCP1B	0.61375
TULP3	-1.666
ATP2A2	-0.149785714285714
ATIC	-0.75025
ADAM15	0.395083333333333
NPL	0.5005
LGR4	-2.148625
UEVLD	1.24183333333333
GAB1	1.2455
SNAI2	-1.52066666666667
ZGPAT	0.4398
SNF1LK	0.715
DLEU1	-0.82375
UBE2Q1	0.30675
ZMYM6	0.111125
JPH3	-2.14733333333333
FAM38A	-0.0579166666666667
PXK	-0.16
DENND2D	2.93075
BAX	-0.7435
CP	-3.86681818181818
RPL37	-0.6406
G6PC3	1.281
NCOA4	0.377666666666667
LRRC14	0.647125
GORASP1	0.62525
FCHO2	0.878875
CYP24A1	-2.4467
FXYD3	2.577875
SMARCAL1	0.42575
ABCB8	1.12766666666667
CCDC44	-0.14
PRDM7	-3.34925
USH1C	-1.15075
DNAH5	1.5125
SRF	-0.301083333333333
MAL2	2.47183333333333
PGPEP1	0.625583333333333
SIN3B	-0.32975
SEMA3C	1.26483333333333
GRAMD3	1.2335
FBXO10	-0.4445
OR5D13	-0.0425
FLJ31818	-0.312875
CACNA1I	1.277625
S100A13	1.1985
TP63	1.36021428571429
ANXA11	0.647
WDR66	2.045125
CSF2RB	0.389
IFI44	-0.73475
DACT1	0.0823333333333333
ANKRD23	-2.028875
ATP5G1	-0.148
C21orf70	-0.521833333333333
PPWD1	-1.67125
DNAJC13	-0.148
PAH	-5.9345
PTCH2	0.71675
TRMU	-1
CCDC9	0.952
USP3	0.0503
DCLRE1C	-0.8599
FAM55C	0.94075
FRMD4B	2.0545
CYP2R1	0.41925
RFPL1	-0.3721
XPO5	-0.978
ARL6IP2	0.115
OSBPL5	2.011
MMP9	2.61981818181818
KIAA0802	0.0585
DHRS2	-4.17566666666667
SGEF	1.07925
TXNDC10	-0.1286
EXOC6	1.39825
RPS27	0.490833333333333
PNCK	-1.12683333333333
FSTL1	-1.64675
AACS	0.96425
SLMAP	0.551
SAMD4A	-0.954
ABRA	0.32225
SMARCD3	1.683
PKNOX2	-2.74683333333333
A4GNT	0.4255
C9orf39	-2.92883333333333
RALYL	0.3035
MGC33556	-2.4485
C10orf25	-0.627
BBOX1	6.2865
NHEDC1	0.4765
XDH	0.0955
GCSH	-1.9205
EDN1	1.022
MTERF	-0.69125
CLK4	-0.69675
ZNF799	0.765
KCNG1	-2.180125
CXCR4	-0.455
PTPRR	-2.33075
IRAK1	-0.18025
LOC401397	-0.5845
TMSB10	1.08178571428571
CXCL3	-3.6816
TMC4	3.442
OR7A10	0.093
STYK1	2.29925
CHRNA10	-0.92325
CCNI	0.68975
EP300	0.168571428571429
LOC165186	-1.5175
HIC2	-3.14975
SDR-O	-0.377
OR2W1	1.44
KCNA6	0.21
TRIM74	-1.7025
REEP6	2.2505
ATP5G2	0.57075
ERG	0.387625
TMEM42	0.24375
PARN	-0.0951666666666667
SOD2	-0.679625
DIRAS1	-0.334666666666667
PNPT1	-1.6765
JOSD3	-2.46225
hCG_40738	0.1635
PDE1C	-1.8825
SEMA4D	-0.384875
AGPAT1	-0.219166666666667
NOSTRIN	1.712375
MAP3K3	-0.783333333333333
MAX	0.578428571428571
CAPS	2.84516666666667
SERPINA12	0.238
OSBPL8	-0.1445
RICS	2.0149
NR4A2	1.89266666666667
PPCS	1.31933333333333
LONP1	-0.934
SCYL3	1.24275
HERC2P2	-3.01283333333333
FIBCD1	-0.502
C15orf41	-1.631
DMC1	-0.91
C20orf27	-1.30325
RPS6KA5	0.382
FAHD1	0.0441666666666667
SLC12A4	0.1705
BRCA1	-1.67908333333333
GBL	0.33725
SLK	-0.164333333333333
NUDT9P1	-1.9915
NOXO1	2.672
USP52	-1.11225
BAZ1B	0.746875
SLCO2B1	2.10125
BBS12	1.6965
LRGUK	0.193166666666667
TERF2IP	-0.411
COL1A1	3.4115
KIAA0090	0.84375
GRK5	0.243166666666667
AP1S2	-2.191
TMEM52	0.0725
CA11	1.103875
OR4A15	0.683666666666667
ACBD3	1.6677
SPAG11B	0.4365
PRDM2	0.9955
FOXP3	-0.0595
SMYD3	-0.0181
LOC389199	1.839
LGI2	-0.645166666666667
NAPE-PLD	0.0736
ANKRD6	0.35
WDR45	1.09016666666667
SHROOM1	0.0285
PSCD3	-0.9135
PYY	0.476
KCNC1	-0.7505
ARHGEF9	-0.0799
OR8J1	1.46525
GPR55	0.4795
NS3BP	-1.7465
C10orf22	0.559
NAT8L	-2.093
DUSP4	1.54833333333333
FOXM1	-2.154
GRAMD2	1.2947
ZBTB48	0.319333333333333
BUD31	-0.471
PABPC5	0.656
CCDC41	-0.87125
FBXO11	0.134166666666667
C6orf148	-0.5195
RFXAP	-1.14275
C6orf15	0.0861666666666667
CDK8	-0.6455
C6orf70	0.792375
TESSP2	0.5075
ALG2	0.9275
PPP1R3D	0.23375
TPM3	0.991666666666667
SYT13	-3.7795
EPB42	0.203333333333333
CETN3	-0.535
PRY	0.2925
NTHL1	0.671666666666667
POLR2B	-0.0495
RPS28	0.36325
P2RX3	0.90775
LYZL4	0.58825
WBP4	-0.3133
PMM1	0.5355
C11orf79	0.50175
CBLL1	-1.03225
IL1F10	0.250666666666667
VAX2	1.8645
SETDB1	0.0433333333333333
LRAP	-3.29983333333333
GCLM	-0.599
CPEB3	2.12525
PPM1A	0.828625
INTS1	0.15075
CAMTA1	1.86708333333333
SAMSN1	-2.879
LOC158830	-3.17466666666667
GMPPA	0.566375
AIPL1	0.22875
IL24	-0.249166666666667
BDKRB1	-1.69283333333333
MLF1	0.3254
TAF12	-0.624
ID1	-2.8505
THADA	-0.000750000000000015
PIK3CB	0.055
OR4N5	1.032
TBC1D17	0.028
COX8A	0.67075
CDCA4	-0.58025
C2orf44	-0.80525
ZNF534	-0.9755
IMMP1L	0.4965
NIPSNAP3B	1.13925
FTMT	0.726
PWP2	-0.693166666666667
MMP15	0.0247
DNAH11	-1.3315
MTMR14	0.074875
DNAL4	1.2895
IPP	-0.672
TMEM59	2.585875
C1orf157	0.746
RGS4	0.0731666666666667
DDX18	-0.468833333333333
SNX6	0.91225
ZNHIT2	1.24166666666667
NCDN	0.503666666666667
FLJ33534	0.33675
RAG1	-1.550375
OR4D10	0.46
PTPN5	0.187666666666667
POMT1	1.061375
LRRC8A	-0.6172
CYP1A1	-0.53725
CAPN1	1.06333333333333
DDHD2	0.115625
GRIK2	-0.0835
GNRHR	-0.50425
PPBP	0.2405
HTR3A	-0.60175
SLITRK4	-2.59675
ANKRD49	-0.4035
BTF3	0.2924
SARS	0.2715
C13orf18	-1.034
CACNB1	-0.169642857142857
QKI	-0.578818181818182
SETMAR	0.46425
MAN2B1	0.519
EML3	-0.27025
ACADL	-0.116
OFD1	-0.38325
DEFB114	0.623
CGA	-3.3291
PEX16	0.654333333333333
LRRC10	-0.337
GNG12	1.4865
C1orf152	0.8135
CHRM1	0.4595
CD53	-0.824375
DBH	-0.24325
TFAP2B	0.38575
HIST1H2BJ	-0.742333333333333
FAM46D	0.9465
TMEM11	-0.09175
C3orf32	-2.09475
PCCB	0.54125
IPO13	0.7735
C6orf105	-5.007
COMMD5	0.81975
SUV420H1	-0.6062
LTBR	0.59575
ARHGAP15	-1.78
HDHD2	0.6325
TDRKH	0.0828333333333333
LOC401052	1.4915
PSG4	-0.92275
GNB4	0.2488
SPATA4	4.12975
SLC9A3	-0.261
OSBP	0.6515
NBPF3	-0.48
DOCK11	-2.01
SLC39A5	-1.006
PRR5	1.0763
C10orf63	-0.29925
SMTNL2	-1.44725
ADRA1A	0.501
ASAH1	2.6803
DOM3Z	0.1321
GIPR	0.657
AHI1	-0.522666666666667
NADSYN1	0.339
RGS14	0.6758
IL18BP	0.7296
RTN4RL1	3.01633333333333
ARMC6	0.261
PSMD5	0.561666666666667
HK3	0.6539
OR4S1	-0.1825
RSU1	0.1697
MAD2L1	-2.80544444444444
EIF4A3	-0.40375
DLEC1	1.49166666666667
E4F1	0.374166666666667
CHMP2B	0.2401
CAMSAP1	-0.732
RPS21	-0.978333333333333
ARID5A	1.3675
UBE2N	0.4836
IGSF8	2.36666666666667
MAGEB6	-1.746
ACAD11	-1.8121
MGC4172	-0.36525
LMO4	0.113
KLKB1	0.14775
HP	-0.497
HDAC3	0.21
SCHIP1	-0.048
CLCA1	-0.3415
OLFML2A	1.72325
C1orf112	-1.1795
KIF19	0.0776666666666667
HAPLN4	0.0865
CXCR7	-0.727166666666667
GOT2	0.0337
RAB38	1.86425
DCX	-0.82825
PPM1H	1.89991666666667
NFYC	1.18133333333333
KIN	-0.271375
ZNF228	1.1475
PLSCR4	2.06266666666667
HIG2	-0.12925
FAM79B	6.891
C21orf86	-0.9816
KCNK10	0.62825
ZNF738	-1.02575
FSTL5	-1.08633333333333
OR6A2	-0.191
OTOA	0.6035
EXOC1	0.147625
AHRR	-3.738
PDAP1	-2.19025
C19orf6	-0.10925
ZAN	0.5075
LY6G6E	0.468
EIF4E2	-0.0105
C20orf198	-0.36675
ZNF324	0.32775
CYP3A5	-3.786
ENTPD7	1.21666666666667
MBOAT5	1.47933333333333
GJB5	-1.664
TTC13	0.0645
S100Z	-1.50166666666667
KIAA0664	-0.351333333333333
PDGFRB	1.68416666666667
IL17D	-2.0805
OR56B4	0.342
RDX	-1.14866666666667
SLC34A3	1.028
IL28B	1.245
JUND	1.655
CHRNB1	0.658
CAMK2B	0.09125
FETUB	-1.021
CXorf23	0.70525
MRTO4	-1.577625
TTC3	-0.5048
NDUFB8	0.306166666666667
EDG2	-0.42975
SEMA3G	0.578
IL23A	-2.8715
GRHL1	1.9924
LOC441054	-0.5765
WDR65	1.274
PSTK	-0.128
STOML3	-0.00416666666666663
R3HDM2	-0.4566
C5	-2.34225
SLC2A10	0.381166666666667
C3orf22	0.80125
PAQR3	-0.569692307692308
ANKRD26	-1.09241666666667
HCRTR1	-0.025
LOC399947	-0.6925
PSD2	-1.40575
TIGD2	-0.955666666666667
SCRN1	-1.87075
COQ10A	-1.36025
DDI2	-0.0995
METTL7B	-0.182166666666667
UCN2	1.068
FAM92A3	-0.0985
WDR16	0.121
ZNF511	0.294
ZMYM5	-0.52525
POLR3G	-3.79275
ZNF586	0.2625
C1orf49	0.5825
TANK	0.131166666666667
RCAN1	-0.755666666666667
PELI3	0.689666666666667
LIMD2	-0.678666666666667
TMEM189	-0.4455
NTN4	2.6965
LOC151300	0.471
CLEC2A	-3.0895
GPR135	-1.316
DPYSL4	-3.2132
JAK2	-0.357
TSHZ1	-0.0425
TM9SF4	-0.364
ZNF264	0.8325
SIRPG	0.10425
BICD1	-1.72575
HERC6	-1.35683333333333
METTL5	-0.067
CASP1	0.89575
PRRT1	-0.0278333333333333
PLA2G4C	1.48916666666667
ICA1L	0.00514285714285715
TPTE2	-0.512333333333333
OTUD7A	1.89816666666667
AQP11	-0.414
APOA2	-3.7405
KALRN	-0.956
SECTM1	1.40441666666667
IFNAR1	0.557
TALDO1	0.0455
RAB11FIP4	0.574916666666667
EIF5A	-0.9375
FAM49A	0.6075
NEGR1	-0.372666666666667
YTHDC2	-0.74825
EHD2	0.228625
NCF1	1.3044
SCRT2	2.281
HOXA5	-0.290666666666667
NUP133	0.27975
FGF12	-1.427
SLMO2	0.038375
SNTA1	1.671
CACNG2	0.8145
GCM1	0.889625
ELF1	0.517666666666667
TLR5	2.86
TCFL5	-0.8895
RBMY2FP	-0.524
LOC100125556	0.459125
FAM129B	0.97975
MAP3K7IP1	0.102875
NCK2	0.197
OXA1L	-0.4555
FMO9P	0.3905
ZSCAN12	0.03375
PSMD12	-0.7285
HSCB	0.13225
CLDN10	-2.552
MGC13053	0.03375
HPCAL4	-0.605666666666667
ASZ1	-0.484
MEX3D	1.09891666666667
NFAT5	-2.2361
CSPG4LYP1	0.0813333333333333
FBXO3	1.4807
DVL1	-0.285666666666667
CMKLR1	0.532833333333333
TYMS	-3.23775
PEF1	1.4995
ZNF750	2.34733333333333
MCM5	-0.5051
MEGF11	-1.02
KCNK7	0.1245
PTP4A3	0.6035
C1QTNF2	-0.2635
OR6S1	0.78
FAM122B	-1.4725
ZNF551	-0.313
HBQ1	-1.3625
GEMIN6	-0.45775
ARSK	0.133
RBP7	1.67116666666667
CPNE9	0.32725
DSC1	0.622
LOC730112	-0.2055
MAP2K4	1.19425
HS3ST5	-2.47
EPB41L3	-2.05325
TEKT2	-0.0405
CDKN2B	0.0399166666666667
ZNF480	-0.8395
MAP3K6	1.3686
MAP6	0.646833333333333
HN1	-0.0202
OR2L13	0.682333333333333
SLC16A11	0.352
FAM96A	-0.75925
APOL1	-0.42425
C5orf32	0.8475
RTP1	-0.283333333333333
RNF175	-1.150125
ZBTB41	2.14825
AHCTF1	-0.6222
SAE2	-0.5896
ITGA2	-2.15391666666667
MME	-1.403
CCDC14	-2.17525
MAST4	1.65864285714286
KRT33B	0.0265
KCTD2	0.310166666666667
WDR26	0.573916666666667
MFI2	0.475875
NR4A3	0.2175
ARSA	2.934
UNKL	-0.179666666666667
SULT6B1	0.7495
CCNA2	-2.3895
SOX15	-0.7795
PPAPDC1B	0.380916666666667
C19orf44	0.191
MCAT	1.33833333333333
ARID1B	0.011375
OR52N1	1.167
C12orf48	-2.213
MAGI1	-0.125
NIPA2	-0.08575
GBX2	-1.567
RSHL3	-0.217125
RAVER1	0.704666666666667
C15orf17	0.238
SLC30A2	0.955875
ZNF518	-0.1715
PCYT1B	-1.2585
C10orf114	-0.67975
EIF3H	1.11266666666667
SLC25A39	-0.386833333333333
KIF1B	-0.662375
AMOTL2	-0.5805
C6orf120	1.203625
PSRC1	-2.245
PLA2G10	1.364
KIF5C	1.5795
MRPL37	-0.4625
C17orf62	0.348333333333333
C9orf135	-1.3948
DUSP10	0.448
CLCNKB	0.5415
PSMA5	-0.038875
C8orf53	-0.209
AMPD3	0.435333333333333
PIAS1	-0.48775
ADCYAP1R1	0.207
GYLTL1B	0.38575
CDH20	0.0175
FBXO7	-0.0175
TMEM134	2.034
FLJ14213	0.258833333333333
ZNF3	-0.7225
LRRFIP1	0.729083333333333
CNOT2	-0.01725
ABI3	2.125
ALDH5A1	-0.284166666666667
HNT	1.4414
SERPINA4	-1.858
TK2	0.881916666666667
STMN1	-2.27866666666667
GUCA2A	0.330833333333333
GALNT10	0.986
DPP6	-0.6927
C9orf93	-1.1525
PRELID2	-0.244625
STK39	1.020125
SFTPA1	-1.483
CKS2	-2.11
RHO	-0.04525
C20orf135	-0.02725
XKR3	-1.6385
CR1	0.228125
RPS6KA2	-0.624857142857143
C20orf112	0.60775
MRPL22	0.08275
C4orf23	0.924
GADD45B	0.12225
KLHDC1	1.20333333333333
C2orf48	-1.84
ZNF287	1.371
DAAM2	-1.06125
DPPA2	-3.31616666666667
TCTN3	0.611166666666667
DNAJB11	0.46625
FPR1	3.51925
DEFB4	-0.0535
PTCD2	-0.7884
SMOC2	4.96133333333333
CABP7	0.20825
SERPINB11	0.54675
MAGEF1	-0.16025
NDE1	-0.1335
ITGA10	0.1805
FSHB	0.177
ANXA2	2.09475
HORMAD2	0.03725
HLCS	1.26625
MCF2L	2.05725
FH	0.44375
TBC1D24	1.2155
KIAA1505	0.9265
LGALS2	-2.658
CNBD1	-2.3715
SYNPO2L	-1.76425
PTPN23	0.800285714285714
C1orf183	-0.351833333333333
MAGEA8	-2.41375
DGCR8	-2.16775
GSR	-0.37975
PAQR7	0.63
ZNF676	-0.633
CACNA1C	0.9729
SP7	0.1715
PDCD6	-0.36625
NRN1L	-1.1615
BRI3BP	-0.394333333333333
KIAA1183	0.657
ASB4	-0.07325
CCL23	0.9153
OBSL1	-0.750875
SLC12A7	0.788833333333333
KIAA0240	0.795375
CD1B	-3.3755
FCGR2A	1.162625
MDC1	-1.2845
HTR1A	0.707833333333333
OCEL1	0.61325
ATP11B	-2.67886666666667
FBXO34	0.0548333333333333
PCDH12	3.62083333333333
RPE	-0.22625
C17orf74	-0.48
CSDC2	0.138833333333333
PET112L	0.15975
TMBIM1	1.130625
P2RXL1	0.36975
TCHP	-0.58675
TRMT1	-1.49366666666667
F2RL2	-0.121166666666667
LRRC32	2.84083333333333
IMPG2	0.763
BGLAP	0.10925
LOC493869	-1.58316666666667
MRAS	0.0275
SLC35F5	1.45875
CBWD1	0.3795
AXL	-1.797
ATP2C2	3.11475
TELO2	-0.34175
PNPLA3	-2.608
PCDHB14	0.6035
CD276	0.9845
KRT80	-1.928875
DUSP28	0.103
CSNK1E	-0.335333333333333
SRP14	0.9515
KCNQ4	-0.293
KRT72	0.473666666666667
CCDC117	0.832125
C6orf89	0.390833333333333
TUBB2B	-2.18083333333333
RTN4IP1	-0.808
CR1L	-3.51333333333333
CEND1	0.61475
C12orf41	-0.662333333333333
RNF31	0.43375
UBN1	-0.456166666666667
C17orf32	0.76475
SLC5A7	0.672
GPR92	0.592666666666667
ESAM	2.4359
CTNNA1	0.908583333333333
HRBL	-0.0369
CBX4	0.84525
TMEM182	-0.04
SH3TC2	-0.915333333333333
IL10	0.769333333333333
PXMP4	1.665
RNF167	0.1377
PAK7	0.641833333333333
ETV3	-0.102
ATPIF1	0.404833333333333
LOC554207	-1.50383333333333
OR8H1	0.679
WDFY3	1.05125
DPM1	-1.03125
GPSM1	0.5235
WDR92	-0.1908
LRP1	0.132166666666667
ANKH	-2.183625
THUMPD3	-0.8375
POLR1B	-1.1405
OLFM4	4.08266666666667
RAD9B	0.79575
TSPY2	-3.3245
PAX6	-2.24916666666667
SCG2	-3.83575
SLC17A6	0.18
FMO3	1.849875
PADI4	-0.36875
TUBB4	-0.307
NLK	-0.3065
POU4F3	-0.2205
SDF4	0.51825
ITGBL1	0.487666666666667
NETO1	-1.634625
TAP2	-0.17425
ABBA-1	-0.08225
GNAI1	-0.42075
VPS4B	1.1745
NOPE	-1.2524
GALNT6	1.94183333333333
SESN1	0.681375
GBE1	-1.46733333333333
CLASP1	0.245
RASGEF1B	0.929375
ACOT11	0.756285714285714
AFAP1	0.2965
OR2H2	0.553
DPY19L2P1	-1.90325
DZIP1	-3.59475
SEC22C	0.584916666666667
GPR161	-0.839
RNF146	0.08625
WDR74	-1.014
GALP	-0.717
PURA	0.27625
DNPEP	0.738083333333333
RP11-78J21.1	-1.07175
ERBB2	2.69825
FANCM	-1.73266666666667
NEO1	1.454
DDX3Y	-4.2627
RPS3A	0.545125
MXRA7	-0.900714285714286
LGALS3	0.009
GLT8D1	-0.059
CFL2	-2.01833333333333
UPB1	0.644
NAP1L5	-0.099875
CLDN14	-1.4305
DHX38	-1.19825
BTBD1	0.4355
TARS2	0.147166666666667
ABCF1	-0.2779
FCF1	-0.162333333333333
LRRC49	-0.261
GUCY1B2	-2.352
C1orf177	1.27216666666667
SMARCA4	-0.329142857142857
LRP8	-3.78383333333333
TAGLN3	-1.234
MRPL14	0.51275
TTRAP	0.11925
ZDHHC20	0.48525
NFE2L3	-0.20075
KIAA1377	0.529
PALMD	0.6137
TMEM43	-0.4015
TTL	-1.0565
STAT5B	-0.567
SSB	-1.192375
OR10H5	0.783
SLC22A13	-0.35225
AKAP3	-0.62725
TIMM23	0.654166666666667
OAS2	1.89891666666667
KIAA0423	1.36875
