Hybridization REF	TCGA-BH-A1ET-11B-23R-A137-07
MGC10981	-4.25583333333333
CLIP3	0.9882
MAP4K2	-0.0888333333333333
CHIC1	1.074
SULF1	1.876
C20orf30	0.0301428571428571
PRDM5	-0.043125
ELOVL1	0.29525
C11orf48	-1.03825
SLC39A10	-1.2775
KCNV1	0.28175
ACP1	-1.0915
ZMYM2	-0.572125
B3GNT6	-0.442333333333333
C9orf69	-0.164
C2orf15	0.4185
C20orf166	0.909
HSP90AA6P	-2.183
EDG7	-0.642
NEURL	-1.0815
LPL	5.7385
CLEC2D	-0.00935714285714283
GRRP1	3.5035
CD8B	-2.7985
HIST1H3D	-2.28866666666667
SLC6A12	0.702625
FAM27L	-0.492
CD84	0.4501
RASA1	-0.113
PHKG1	0.6925
MAGEA11	-2.5835
IMPA1	-0.0725
NPM3	-1.55275
RARRES1	4.75075
SH3BP1	-0.1265
B3GNTL1	-0.8535
ARPC5L	-0.6985
KLHL26	0.292
SIM2	-2.936375
GJC1	0.1985
C20orf194	0.93175
EXO1	-4.49575
SLC2A2	-3.4685
LOC285074	-0.10875
LRG1	-0.88575
KIRREL	-1.0075
PIK3R1	1.94085714285714
C4orf34	0.5015
MAF	1.04111111111111
ADCY4	5.39983333333333
ZMIZ2	0.5597
SLC46A3	1.413
STAMBP	-0.956666666666667
CCDC16	1.1815
MS4A12	-0.079
TCF20	-0.42025
LRRC46	-0.10025
C20orf152	0.0425
MRPS6	-0.286625
ABCB11	-0.1565
KCNC2	4.70983333333333
CDH19	-1.541
C9orf123	0.759666666666667
SSH3	0.8055
LDLRAD1	-3.912
CCBE1	0.62825
ZNF135	1.25625
TAAR1	0.4185
WFDC12	-0.028
CCDC42	-0.00633333333333333
FLJ12529	-0.8285
PER1	1.5425
TIMM50	-0.683666666666667
SMARCAD1	-0.0126666666666667
FAM26C	-0.0905
TP53TG3	-0.2715
SH3RF1	0.9464
LMCD1	2.79275
GPR63	-0.2265
FLJ21986	-0.609625
AIFM3	-0.6845
MICAL1	-0.627833333333333
BLZF1	0.325666666666667
IQCA	2.44116666666667
PCDHGC3	-0.467
SAC	0.27875
BCL6B	3.1195
DDO	0.957
MARCO	4.901
DCHS1	2.223
C1orf170	0.839333333333333
CD200R1	2.51066666666667
C22orf15	-0.623
SEPT11	-0.375666666666667
ADNP	-0.873
UST	0.7558
C13orf34	-1.12983333333333
RFFL	0.217
APBA3	-0.4385
C2orf60	-0.170375
CUTL1	-0.6067
PMS1	-0.236375
ZNF689	0.0545
EIF3E	0.0448333333333333
IL9	-1.03383333333333
RPL31	0.877625
LY9	0.514666666666667
ATP2B3	0.23825
KDELR2	-0.551458333333333
TFCP2	0.111625
NLRP12	-0.428375
FLJ45422	-1.2465
TLE4	0.131
ZNF570	0.186
FLJ43806	0.0995
TLK2	-0.959
CIR	1.05725
MARS2	-1.09
COL24A1	-0.28525
SDF2L1	-1.081
HIBADH	0.132666666666667
IGFBP3	-0.967071428571428
C12orf23	0.42825
PSPC1	-0.14425
C20orf43	-0.0065
TRAV20	0.7565
ARHGAP24	2.0575
KIAA1975	-0.215375
C1QA	4.1289
DNTT	-5.13516666666667
C10orf6	-0.936833333333333
C11orf41	-0.58525
HNRPF	0.4205
COL11A1	-0.4195
UBAP2	-1.2535
CDKN2AIPNL	-0.9605
C20orf174	5.253
SPRED2	0.0705
PLA2G12A	-0.471666666666667
ICEBERG	-1.82333333333333
SCN10A	0.0025
C11orf65	-0.42425
GBP5	4.19675
PITPNC1	-0.892833333333333
POU3F3	1.1015
NCOA7	1.238625
LIN7C	0.0207
LOC348840	-1.8175
NKX2-2	-3.8205
ANKRD13D	-0.02925
LOC123688	0.85975
FUT2	1.12666666666667
TAAR8	0.62
FZD4	1.412
PNMA3	0.155666666666667
OR4L1	-0.046
WIT1	-3.86425
EXOC3L	2.71125
ATPBD4	0.5745
KRBA1	-0.5245
UBXD6	-0.287
HOXB7	-0.436928571428571
C7orf23	0.0725
UNQ338	3.4525
STAB2	4.128
CDC20B	1.43725
IRF9	1.40075
CENTG1	0.668416666666667
TNPO2	-1.3885
MCPH1	0.206625
BMS1P5	-0.496
SLC26A7	1.098
HIST1H3J	-0.5445
C9orf3	0.6052
LBH	1.504875
MYO1D	0.08475
PTDSS2	-0.038
NFU1	1.17075
DEPDC4	-1.77425
WNT7B	-0.8448
GLP2R	-0.592333333333333
SETD4	-0.0923
DYNLT3	-0.2411
FKBP11	-1.04016666666667
SESTD1	0.800166666666667
FLII	0.19575
RPS16	0.3341
CHPF	-1.25866666666667
CSNK2A1	-1.25216666666667
SUMO1P1	-0.09175
FKBP6	-1.3235
ZNF214	1.45283333333333
TWIST1	1.85533333333333
DDX56	-1.31716666666667
TRAM1L1	2.0596
EPO	-3.214
MRPS18B	-0.19625
ZNF682	-0.697666666666667
RPL14	0.203833333333333
MAFF	1.12325
LOC51136	-0.5605
LY96	0.92875
DDX20	-0.348
ABTB1	1.574
ARL5A	-0.2017
CCT6A	-1.61225
HEPACAM	0.1655
EHHADH	-0.1175
RBAK	-1.37483333333333
CGB1	0.6695
ITGB5	0.3385
YIPF3	-0.53425
FKBP2	-0.388
NR1D1	1.0827
TMEM110	-0.7675
NEK2	-5.90366666666667
PRAMEF8	-3.19425
C20orf52	-0.867166666666667
PCDHGA3	-0.0045
VWA3B	-0.225
NDUFA5	0.447875
THAP9	-0.27775
FLVCR2	-0.874833333333333
AP1S1	-2.649625
SMAD6	-0.49475
SAV1	1.126375
SAT1	0.965
ZNF251	1.224625
ADAMTS7	-0.1411
RPP38	0.09675
C1orf211	-2.279
YPEL2	1.7073
RBMS1	0.73725
ZNF445	-0.663666666666667
NRXN2	0.775833333333333
PGBD4	-0.39625
UGT2B28	1.33525
WBSCR16	-0.4657
NLRC3	0.139375
ASTL	0.384
ST6GALNAC1	-0.9335
ZADH2	0.0195
MLLT4	0.986083333333333
ARL6	0.427333333333333
MEF2C	1.52975
CBFA2T3	0.244
AFF3	1.26785714285714
COG7	-0.1465
MYB	0.0386666666666667
PLXNA3	-0.3485
XRCC2	-2.89116666666667
MMS19	-0.30425
ST8SIA5	-1.465625
CHPT1	1.32366666666667
KIAA1712	-0.67475
OR6X1	0.0295
ACTR3	-0.9435
UGCG	-0.3225
OR4P4	0.594
ZAP70	-2.633
LPP	1.2625
ZNF485	-0.6135
PTPRCAP	0.01975
IL12RB1	0.2515
ATRX	0.1861
CHST8	0.108125
C14orf109	0.37775
ARV1	0.193
NMB	1.08114285714286
COX5A	-1.25216666666667
EIF6	-0.82525
MPPED2	1.36666666666667
SEMG1	-2.542
CHRDL1	3.337
TRAF3IP2	1.00025
WNK2	-0.015625
LILRA4	1.78533333333333
LAMA2	5.89175
PXT1	1.143
RLBP1	-3.27675
CD300C	0.1905
SLTM	0.22275
FLJ10404	-0.120875
APOBEC3D	-3.27033333333333
RENBP	0.218666666666667
ATXN7L1	-0.014125
NID1	0.4945
TUBGCP3	-0.76875
ITIH5	4.04505555555556
CCDC110	2.99525
C8A	-3.47
MGC87042	0.156
HOXC13	-3.4115
TFDP2	-1.49375
HCP5	1.855125
POLI	1.015
UCN	-0.9325
ZNF764	0.0606666666666667
C8orf45	0.3275
FHL3	-1.0155
SPATA5L1	-0.40775
MMRN2	4.65083333333333
NDST1	0.266833333333333
COL20A1	-0.487166666666667
ZNF248	0.216666666666667
PELP1	-0.706
MBL2	-3.251
RNF41	-0.1015
C5orf24	-0.20875
THOC5	-0.984125
SERINC3	0.74975
RP11-151A6.2	0.36375
CDCP2	0.497
HIST1H2AA	0.188
C11orf75	0.831833333333333
FKBP7	0.02075
DDOST	-0.75225
GPNMB	1.99566666666667
TTF2	-2.56216666666667
KCNT1	0.298
SLC39A14	-1.42075
NGRN	0.2092
GPR137B	1.5925
MECP2	-0.1265
PSMA1	-0.3465
C16orf73	-5.431
TMEM60	0.538
CSN3	4.1255
NOS1	0.249666666666667
RAB7L1	-0.162833333333333
YBX2	-0.863
KIAA1166	0.0125
FUBP3	-0.733333333333333
ABCG1	0.339
ACACA	-1.14925
ARL11	-0.0064
ATOH1	-1.1495
ODF1	-0.2826
CREB3L3	-1.16216666666667
TMEM127	1.13828571428571
DSCAML1	1.38575
PLN	4.96383333333333
LYPLA1	-1.10691666666667
PRDM9	-2.81725
SASP	1.54025
PLUNC	0.038
INTU	1.3105
HISPPD1	-0.04075
LNPEP	-0.573166666666667
YARS2	-0.895
APCDD1L	0.355
ZCCHC4	-0.1472
FBXO22	-1.05633333333333
TTLL13	-0.9925
ZNF669	-1.33366666666667
PTGDR	3.442
DDX27	-0.28875
KIAA0409	-0.257666666666667
GJB6	0.23225
ASB8	0.55775
PLP2	-0.151
MEPE	0.0485
OR10J5	0.325
KRT222P	1.7735
COQ7	-0.196666666666667
C1orf101	2.54175
RERG	3.0516
CHMP5	0.604875
THAP11	0.28575
ZNF43	-0.1025
ZRANB3	-1.613
KRT13	4.018375
MRPL19	-0.716625
RBBP9	-0.00612499999999999
SPATA17	-0.305625
BXDC5	0.344166666666667
PAFAH1B1	-0.557666666666667
MAGEE1	0.4395
OSTF1	0.233
KIAA0323	-0.008
TXNDC13	-0.631833333333333
CNTN4	2.82675
LCE1B	-0.369
UNQ501	0.21675
ZNF154	0.549
C3orf64	1.40525
SYT5	-0.183
PON1	-0.547333333333333
FLJ10357	0.63
ATP4A	-0.287
GNPDA1	-0.928333333333333
MGAT1	1.1775
C14orf121	0.17675
SLC35B2	-0.51775
MIER3	0.459166666666667
CHEK1	-5.216875
ZNF8	-0.918666666666667
TXNDC1	-0.593666666666667
CKB	-0.753
RTN3	0.202714285714286
FZD2	-1.77883333333333
PART1	0.795
PSMB6	-0.50175
PCDHB8	-0.99
PHC3	0.1097
PPP1R8	-0.876833333333333
NOVA2	2.76683333333333
TNFRSF11B	-3.189875
GOLPH3	0.610166666666667
UBLCP1	-0.19925
SUHW3	-0.782
TTLL1	0.99325
OPN4	0.505
OR13G1	-0.197
ZPBP2	0.6942
HSD17B11	0.71
C9orf50	-0.206
DHDDS	0.333357142857143
CTSW	1.3612
NEFM	-2.2255
MRPL28	-1.05225
SYN1	0.6855
PIGV	-0.0975
ZIM2	0.51825
APBB1	1.10366666666667
SND1	-1.255
C1orf123	0.542333333333333
CHD3	-1.12675
BHLHB8	-0.06775
RNASE2	-0.4085
BCAP31	0.271375
SLC25A44	-0.105333333333333
CHD6	-1.052
PIB5PA	2.32953846153846
SELS	0.328375
LOC541471	-0.8315
FAT2	2.7885
ZNF81	-0.742
OR4C16	0.5895
FLJ10081	0.2218
LRRC4	0.3875
CS	-1.428
N4BP2	-0.800625
IGFBP7	2.32375
ZNF318	0.111083333333333
NDNL2	0.538
ZNF609	0.02525
SIRT4	0.75925
EXOSC10	-0.17625
ECE2	0.370083333333333
OVGP1	0.4435
GTPBP3	-1.032
PACS2	0.5501
C19orf36	-0.330166666666667
ARL4C	-0.408875
ATG4B	-0.392875
UBQLNL	1.32125
RHOXF2B	-4.146
PLEKHG2	-0.7615
GALR1	1.298
AQP4	0.549
HDAC7A	0.843
DCUN1D3	1.0395
OR8A1	-0.3535
CCRN4L	-0.333
CBR4	-0.67
KIFC1	-3.86166666666667
SLC7A14	-2.15266666666667
LHX5	0.3535
TRPC7	-0.6875
LPXN	-1.0335
SERPINA1	-2.881875
RPS13	0.4035
BPIL3	0.04
PRKAA1	-0.74075
FADS2	-1.9463
ENAH	0.0603125
PRO1768	0.236
APBA2BP	-0.63775
LIPH	1.26833333333333
C3orf33	0.335
RCC2	-1.0825
ALDH1A2	-2.1344
RNF103	1.785
AHCY	-1.610875
ALG12	0.1955
CCL17	0.5385
ZNF543	1.219
ESRRG	2.2102
CNGA1	2.87375
RDH5	2.83366666666667
OTX1	-2.0422
PTGFR	-0.193833333333333
CDR2	-0.60625
SELE	7.45425
NLGN2	-1.11133333333333
EXOSC9	-0.63775
ZNF566	0.0906666666666666
KLRC2	-4.3145
GPR12	0.463
KIAA0196	0.08875
PDRG1	-0.4075
SSR3	-0.843785714285714
MSI1	-0.416
CST9	0.0795
CC2D1A	0.10475
PLAGL1	0.946444444444445
ZNF778	-0.239
RNF2	0.543125
KLF6	2.0735
THBD	3.98583333333333
tcag7.1314	1.60875
NR5A1	-0.3285
ABCD2	2.27225
DNAJC7	-1.0935
CLEC4C	0.102
TM2D3	1.18375
CCDC4	-1.5465
PLAC2	-1.30725
DCD	2.274
FAAH	0.9765
POLA1	-1.494
TM7SF2	-0.608125
FLJ39822	-1.22816666666667
FLOT2	0.199625
MAP4K1	-0.6915
SRP68	-0.083375
C21orf74	0.3595
ARPC5	-0.19375
LOC126075	1.3045
HECW2	0.65275
ZDHHC4	-0.287
ANKRD42	1.1954
PDE9A	1.09666666666667
ABCA8	3.885
NDUFS2	-0.55075
UBR5	-0.891375
BTBD16	-2.03225
LOC554174	-0.295
ZNF20	0.793
KIAA1843	-0.294
WDR17	-0.0174999999999999
C15orf33	0.659
RNF113A	-0.33975
CAMKK1	-0.6325
CLCN2	-1.204
ANXA6	0.2055
LOC340069	-0.8435
EMID1	0.183
DPM3	-0.4145
ELA1	-0.068
SLC25A13	-1.2881
KRT24	0.1335
SMPD1	0.101833333333333
TH	-0.088875
COL6A2	0.990857142857143
ANKS1B	1.36975
GPR126	-1.8057
ZC3H12A	0.829
TMEM47	2.20116666666667
C2orf51	-0.353333333333333
C1orf88	2.39316666666667
HSF2BP	-1.186
AKAP10	-0.033
RPAP3	-0.459
KLHDC8B	1.231125
STOM	1.5656
MUPCDH	0.205625
C10orf72	-0.436875
PLEKHA3	0.675583333333333
TCP11L1	-0.6265
CWF19L1	0.304625
SPEF1	0.555153846153846
YSK4	-0.2775
ELN	2.7927
SAMD8	0.5395
MPI	-1.09783333333333
MEPCE	0.0941
ABCC3	-0.8705
NANOGP1	-4.3695
KCNK17	2.8995
HLA-DMB	4.8365
RRAGA	1.23775
ANGEL1	-0.59675
RBM32B	-0.444
CPN1	-3.37425
MGC52282	0.5412
HLA-A	1.50766666666667
OR9G4	0.0525
EDNRB	1.630375
SCD	-1.96521428571429
C14orf80	-1.58283333333333
BAGE2	-1.7205
RABL4	0.836
RCVRN	1.129
SHANK1	0.3115
NLRP7	-3.46925
CD226	1.39975
STAT3	0.1668125
SYNJ2	-1.933
TPCN2	-0.00183333333333334
WDR36	-0.735083333333333
MBD4	-0.17425
ROBO1	-1.4147
ST3GAL6	-1.92825
SLAMF8	2.29983333333333
ATN1	0.508666666666667
GPR141	0.213
KRT36	0.8815
TPH1	0.0775
DDX52	-0.7305
ZSCAN29	-0.252
TRPT1	-0.539166666666667
DPEP3	0.77425
DENND4A	-0.7225
TSPAN16	-0.462
PTCHD2	-0.9365
LOC145814	-0.22875
CAP1	-0.392166666666667
EIF5A2	0.1827
NT5DC3	-0.7215
SEPT9	-1.391125
SEZ6L2	-0.925375
EGFLAM	5.014
VPS11	0.73675
NDUFB5	-0.1785
CIDEA	5.15566666666667
IER5L	-0.16625
N6AMT1	0.3005
FAM83C	-0.627
OXR1	0.67775
IRX1	1.6925
DGKB	-0.3355
GCN5L2	-1.6535
MIR16	-0.32325
FBXW9	-0.1645
WDR4	-2.26966666666667
PDC	-0.302
VPS33B	-0.4995
HEXB	0.15
FLJ32214	0.47575
TCEB3	-1.09975
CRLF1	-2.76775
ABI3BP	3.285
C8orf22	-3.92325
PYCR1	-2.43225
KIAA1706	2.30875
CDK5R2	0.517375
WAS	-0.156
C12orf60	-0.56875
CCBL2	0.02525
MADD	0.23725
C5orf34	-2.1295
WDR42A	0.4036
KLF12	0.675
HSPA1A	1.347
ITM2C	-0.9425
DAPK2	3.1085
LOC442590	1.9845
SUMF2	0.810375
CENPA	-3.55976923076923
TMED5	-0.028375
CDH6	-0.2405
BRP44	0.08825
THG1L	-1.23975
GABRA2	-0.73325
C14orf166	-0.16
MYL1	-2.09033333333333
TNFSF18	0.187
PAP2D	-2.38566666666667
PPIB	-1.422
KLHL4	0.99525
SFN	-0.775333333333333
CCDC127	0.48625
FRAP1	-0.603
GOLGA5	0.15725
SDCCAG1	0.574375
MGC21675	-0.359833333333333
C10orf95	-1.202
KIAA1345	-0.0341666666666667
C1orf163	-1.495
LACE1	-0.437833333333333
OR10K2	-0.3895
CENPN	-3.04632
TMED2	0.09475
UGT1A6	-2.195
ANG	0.91775
U2AF1	-0.592333333333333
CASC2	1.028
NMT2	1.05783333333333
OSGEPL1	0.174875
DFNB31	-1.0875
SLC6A20	0.1525
DKC1	-1.63025
FXYD4	-1.529
WDR64	0.82025
MGC5590	0.1375
CREBZF	-0.011
DAZ1	-0.48225
PRPSAP1	-0.2225
GCHFR	-0.95625
TTC7A	-0.453625
LOC196993	0.8355
UBD	0.5575
S100A1	0.53375
RPL6	0.4435
DNAJB6	0.5284
NAGS	1.1378
C2orf58	0.4755
KERA	1.13633333333333
MT1X	0.5795
UBE2B	1.4566
KEAP1	0.1935
MST1	-1.850375
OMA1	0.6515
ABLIM2	1.92475
BCL2L13	-0.602
JAZF1	0.6925
TMEM63B	-0.2425
S100A8	0.1738
ARFIP2	-0.2375
UROS	-0.3155
KHDRBS2	-0.154
POLQ	-4.384875
SOAT1	-1.467
SPAG4	-2.27075
MRPS30	-0.942166666666667
LOC494141	-0.7875
OR2T11	0.2
ORAOV1	-0.2656
ZNF184	-0.0263333333333333
TCEB3B	0.225833333333333
ADAM21	-0.7835
GDPD1	-0.455
SPINLW1	0.22425
PRR14	-0.589166666666667
KCTD9	0.1949
NUDT3	-0.53725
KIAA1822	0.4881
HIST1H4K	-0.4115
DFNA5	-0.907
GABPA	-0.5695
C14orf44	0.5785
POLB	0.45475
PTAR1	0.2035
SEC31A	0.4319
TRIM58	-1.7265
TAS2R14	-0.706
VPS8	-0.245875
H1F0	0.2195
PRKCB1	-2.5835
UGT2A1	0.2065
TOR1B	-0.51525
LSS	-1.06941666666667
C2orf19	0.4575
HNRNPC	-0.489785714285714
TMEM100	3.07566666666667
LOC116349	-0.1865
OR51M1	-0.6015
CCDC142	-0.6045
ISG15	-0.46025
ZCCHC14	0.31425
CREBL2	1.600875
TGDS	-0.45375
DC2	-0.74425
CACNA2D3	-0.5925
ZNF429	-0.274375
LYPD6	1.528
SUCLG1	0.294833333333333
OR51I1	-0.5495
MAGEH1	2.289
PRPF40A	-0.794
SMR3A	0.7515
SPINK2	0.6105
THAP2	0.73475
NPY5R	2.566625
IRF4	-1.43925
SPESP1	1.28066666666667
OR10S1	0.164
DTD1	-0.128
TUBE1	0.58475
DDX19A	-0.897
PDPN	0.112
TMEM34	0.327333333333333
MGAM	0.7345
COL3A1	5.16466666666667
GFM2	-0.4153
OR5A2	1.053
PSG9	-1.30075
ARHGEF11	-0.136333333333333
IVNS1ABP	-0.2913125
SIGIRR	0.7175
DUSP19	-0.014375
DNAJC14	-0.4714
ACSS1	0.079125
IL1RAPL2	0.527
C4orf30	-1.11225
SEPT4	3.8175
LANCL3	-2.389
SPAG17	1.817
PRDX3	0.225625
HNF1A	-1.314
P4HA2	-1.4465
RFWD3	-1.91083333333333
MOV10	-0.759
DNAJA5	-0.0535
LOC729440	0.2085
LOC200383	1.2535
SMC2	-2.53
MIXL1	-1.22833333333333
TMEM9	-0.556
FAM86A	0.08
ZNF174	-0.1714
MYH14	-0.79475
CCR8	-0.2105
VPS37C	0.523
GPATCH1	0.190666666666667
B3GNT8	2.6835
TBX4	-1.53475
CNR2	0.0376666666666667
PCDH1	1.26975
C5orf29	3.314125
OCIAD2	0.58775
PLCG2	1.91625
KIAA0247	1.849375
HRH3	0.2235
CAPN13	3.095625
CCR1	-1.2159
MGC15523	0.190222222222222
UVRAG	0.618166666666667
DNAJA2	-0.189166666666667
ITGA2B	-1.05533333333333
CLDN5	5.0525
PTPRN2	-0.755285714285714
ZNF512	-0.0158333333333333
PSAP	0.9295
CCDC140	-1.164
LRRC55	-0.13525
CYP26C1	0.0025
C8orf47	2.30975
LYN	-0.101875
DUSP6	1.681
TGFB3	2.21086666666667
ELK1	-1.2848
PCDH11Y	0.5825
HGD	-2.7585
C17orf58	0.39275
MYO3A	-0.9025
SERPINE2	-4.48866666666667
AARSD1	-0.7335
C14orf73	-1.9605
ADAM33	1.462
ZNF491	0.5875
MAPK6	-1.6485
TCN1	3.18883333333333
SLC24A6	0.838
UBE2R2	-0.636
H1FNT	-0.06025
TATDN2	-0.159666666666667
LILRB1	0.9955
P2RY5	3.2475
NUCB2	0.1795
C2orf37	-0.3425
SNX27	-0.2745
MTA3	-0.0495
FOXO4	1.379
ID4	3.31233333333333
SOX5	-1.56133333333333
PXMP3	1.110625
OR52M1	0.2615
SFT2D3	-0.16725
INA	-4.00433333333333
MCOLN1	1.01525
NFIX	0.9261
CLEC14A	6.41466666666667
HIBCH	0.414333333333333
PLA2G5	2.09425
TIMM10	-0.7255
MED17	0.72
COL4A4	-0.8645
TPP1	0.124
GJA3	-1.93866666666667
TMPRSS5	-0.24175
AADACL3	0.517
DNMBP	0.29
ENPP5	3.47416666666667
NQO1	-1.1777
ZSCAN2	-0.5195
SEC24C	-0.437166666666667
GTF2A1L	1
AXIN2	-0.2725
FAM33A	-1.88183333333333
C16orf13	-1.0025
SPNS2	1.833
TAF1	-0.837
AP1G2	-0.5955
RBM42	-0.484333333333333
HCN2	0.372833333333333
EFHB	0.2305
RUSC1	-0.738166666666667
GRIK5	0.3295
USP21	-0.515666666666667
ATAD3C	0.65925
ORMDL2	-0.16675
PRSS7	-4.24525
PSAT1	-4.1075
FLJ13195	-0.245833333333333
TBC1D1	0.305333333333333
IFNG	3.2635
OTOS	0.0573333333333333
ZNF773	-0.0055
EMD	-1.4855
RETN	-0.61325
CCL8	5.552
APH1A	-0.13575
COX18	-0.953625
GTF2IRD2	-0.08725
CCDC82	0.746166666666667
PAFAH2	0.0453
NPEPL1	-0.9423
RP11-114G1.1	0.2605
TP53INP1	0.71675
ZNF300	-0.211
FOXL2	-3.4155
LARP2	-0.06825
LATS1	0.40375
HTR6	-0.248
SPOCK2	0.2235
RNF144B	2.734
HTATIP2	-0.61625
MGC10334	-0.0268333333333333
CENTA2	2.4725
FGF2	1.972
FXYD7	-0.01125
PHYHIPL	-1.958625
GPR34	6.91175
DDX6	-1.32116666666667
OR10W1	-0.585
LHFPL1	-0.7735
ZNF313	-0.531
VPS28	0.46675
AP3M1	-0.2658
AKR1CL2	-0.83575
TRAF4	-0.72325
OR2B11	0.265
C19orf12	1.00916666666667
AKAP9	0.328666666666667
C1orf62	-0.462
SLC20A1	-2.065
FAM112A	0.28125
LDB2	3.457625
MRPS23	-1.05525
KLK5	4.6085
SPTB	-0.6615
EFEMP2	1.2805
EFNB2	1.392
PCM1	0.334785714285714
NMNAT3	2.153625
TSG101	0.449833333333333
C8orf40	0.495666666666667
NOB1	-1.0245
ABHD3	-0.79875
GTF3C4	-1.3415
PIGN	-0.0876666666666667
GALNTL1	1.686
AEBP1	1.456125
OR9Q1	0.1745
ANKRD2	0.17025
CCL28	1.1145
TRIM38	-0.434333333333333
TMCC1	0.22275
SMG5	-0.2685
LRRC7	-0.5455
NCAPD2	-2.39083333333333
C6orf153	-1.06825
C1orf74	-0.56025
OTUD6A	0.0315
DCP2	-0.6
TMEM24	-0.319
RPL18	0.2575
TMEM177	-1.18775
LRRC37A3	-0.04125
C1D	0.423666666666667
LDHC	-1.511
UBE4B	0.198833333333333
NIT1	0.292125
BTN3A3	0.879
RASD1	3.872375
COMMD3	0.413
SHFM1	-0.27075
BIRC8	0.35675
DUT	-0.762
C12orf51	-0.8715
LRRC59	-1.02066666666667
LY6H	-0.15625
WDR22	0.542833333333333
EDEM1	-0.103285714285714
ADH1A	4.8705
PANX2	-0.1271
CYP11B1	0.878
CDC73	-0.7315
GPR172A	-0.59725
GSTM3	2.93323076923077
KCNA5	1.3355
SERAC1	0.151166666666667
NFATC2	0.3045
ANAPC5	-0.4217
C15orf24	0.297
NFATC2IP	-1.40741666666667
TNRC6C	0.388166666666667
MGC102966	1.31375
FGD5	2.52366666666667
MED9	0.06275
RAB13	0.0615
C15orf49	0.525
CRYGS	0.5168
C12orf53	-0.4827
LOC283693	-1.0175
COX6B2	0.470125
PHF14	-0.241125
FAM3A	-0.46125
RPL13	0.4491
PRDX2	-0.744
FLJ34047	-2.212
PRMT3	-1.36675
KCTD19	-2.5065
TRIM10	-0.715333333333333
MGC26597	-0.5415
GCNT4	0.20875
GPRASP1	3.17675
CDKN1C	2.23791666666667
RHBDL2	-0.0591
HSPH1	-0.58575
AQP1	4.751875
COL17A1	3.2409
GFAP	1.029625
CDC16	0.117
KIAA1614	0.5275
C6orf118	-0.828166666666667
ZSWIM5	-0.71925
FAM83F	2.64525
LYNX1	1.4669375
SYNPR	-0.61475
XG	4.64766666666667
PRSS16	1.479125
KIF13B	1.33435714285714
PCDH9	1.57825
HIST1H2AH	-0.0425
RBM18	-1.16275
ZNF626	0.444125
HEXIM2	-0.312666666666667
ITFG1	0.3255
TUBG2	-1.5785
SFRS7	0.10175
C9orf14	-0.3275
EXTL1	-0.5565
GBP3	0.993166666666667
WDR5	-2.42925
RARG	-0.0911666666666667
MYO7A	0.679375
CECR6	-0.31325
C13orf3	-4.515875
SFRS18	0.074375
ACVR1B	-0.0638333333333334
PSMD1	-0.9997
C7orf31	0.675333333333333
ILVBL	-0.579
IFNGR1	2.24475
RNF186	5.471
NOL9	-1.3185
MAGEL2	0.2945
SLC29A2	-0.66875
NHSL1	-0.68025
RBMX	-0.8945
PSORS1C2	0.3095
RAD51L3	-0.409416666666667
LCN6	3.56775
ORAI2	-1.230125
BRUNOL6	0.3461
OR4K5	0.004
CDC123	-0.773625
MSLN	-2.85566666666667
WWTR1	-1.48583333333333
ZNF700	-0.892166666666667
COBL	-0.07475
PPP1R16B	1.486
GAS7	0.0267
MDN1	-1.21825
HAAO	0.4785
C9orf68	1.895
TNFAIP2	1.141
FOXN1	0.1695
hCG_2033311	0.325
ATP6V0D2	-1.826
RPL41	1.107875
SLC38A1	0.49075
ARHGAP6	-0.1965
ADAD2	0.8255
PHF20L1	-0.06525
MCM3AP	-0.171833333333333
ST3GAL3	0.356833333333333
SNX1	-0.2365
ELF5	5.203
PARP3	0.118125
RBM8A	-0.347875
LINGO4	-0.068
ITGA9	1.5155
ZFR	-0.71175
ACSL6	-0.231375
FLJ20699	0.5645
DAOA	0.5145
FABP4	7.651
KCNB1	1.92225
CANX	0.0552
SLC25A28	1.06116666666667
ADIPOR2	-0.274625
ECHDC2	2.3885
SMA4	-0.36275
FRZB	4.332
PABPC1	-0.977166666666667
DMRTB1	-0.585
APOBEC3G	0.58775
CATSPER2	0.529166666666667
CUEDC1	-0.343
STARD9	1.635375
CLDN8	7.27975
LOC23117	-0.114863636363636
E2F6	-0.509944444444444
TMEM126B	0.2215
DPY19L4	0.273
GIMAP5	4.5075
NDUFA9	-0.732666666666667
FAM77C	-2.6595
CTPS2	-1.061
LOC51035	0.496875
WDSOF1	-1.11225
EGLN3	-1.628375
PITX3	0.522333333333333
OR52E8	0.8745
GRM4	-0.5845
KLK1	-2.24133333333333
GPM6B	0.984875
RRAGD	-0.166666666666667
PAGE5	-3.342
UCHL5	-1.44166666666667
ULK3	-0.824666666666667
AIM2	-0.1575
PNO1	-1.20366666666667
OR2F2	-0.154
GNAT2	-1.746
SIX1	-0.512
ST13	0.1755
ZBTB44	0.29925
TIMP2	-0.1395
ZMAT4	-2.46375
GTF2IRD1	-1.01316666666667
ZNF19	0.3325
ZNF714	-1.309
RSC1A1	-0.3955
C9orf80	0.1115
PSMA8	1.0725
TMEM141	-0.47775
COX4I1	0.0360714285714286
CTAGE1	-0.6385
DTWD1	0.402
HSD11B1	4.29225
KRT6B	3.8805
ARID4B	1.042625
LHFPL3	0.03675
WWP2	-0.0955833333333333
