Hybridization REF	TCGA-BH-A0C3-01A-21R-A12P-07
TULP3	-0.225
ATP2A2	-0.387
ATIC	-0.887
ADAM15	0.101416666666667
NPL	0.9555
LGR4	-0.35675
UEVLD	0.7145
GAB1	1.8805
SNAI2	0.607166666666667
ZGPAT	0.5068
SNF1LK	0.14525
DLEU1	-1.234
UBE2Q1	0.015375
ZMYM6	0.029125
JPH3	-2.737
FAM38A	-0.425666666666667
PXK	0.474666666666667
DENND2D	2.17025
BAX	-1.35958333333333
CP	-3.426
RPL37	-1.0558
G6PC3	0.4605
NCOA4	0.6385
LRRC14	-0.86575
GORASP1	0.49575
FCHO2	0.833625
CYP24A1	-3.1861
FXYD3	2.21675
SMARCAL1	-0.3085
ABCB8	1.04
CCDC44	0.9555
PRDM7	-3.68025
USH1C	-1.23975
DNAH5	-0.194
SRF	0.578416666666666
MAL2	1.07883333333333
PGPEP1	0.211
SIN3B	0.61925
SEMA3C	0.6725
GRAMD3	1.66875
FBXO10	-0.25625
OR5D13	-1.069
FLJ31818	0.355875
CACNA1I	0.10275
S100A13	1.2305
TP63	0.160928571428571
ANXA11	0.446
WDR66	-0.72325
CSF2RB	0.52
IFI44	1.2875
DACT1	1.677
ANKRD23	-0.84175
ATP5G1	-0.1595
C21orf70	-0.624
PPWD1	-1.08025
DNAJC13	-0.3825
PAH	-4.74116666666667
PTCH2	0.83225
TRMU	-1.235
CCDC9	0.8325
USP3	0.1158
DCLRE1C	-0.0384
FAM55C	2.5315
FRMD4B	1.09125
CYP2R1	-0.79975
RFPL1	0.2377
XPO5	-1.83025
ARL6IP2	-0.5915
OSBPL5	0.852
MMP9	3.59827272727273
KIAA0802	-1.11975
DHRS2	-0.9955
SGEF	1.128625
TXNDC10	0.1484
EXOC6	1.05475
RPS27	0.683666666666667
PNCK	-1.70716666666667
FSTL1	0.61675
AACS	0.313
SLMAP	0.218833333333333
SAMD4A	-0.2739
ABRA	-0.77125
SMARCD3	0.6705
PKNOX2	-1.56433333333333
A4GNT	0.3525
C9orf39	-0.460666666666667
RALYL	0.434
MGC33556	-2.999
C10orf25	-0.3735
BBOX1	3.423
NHEDC1	0.10475
XDH	0.44125
GCSH	-1.0345
EDN1	1.64166666666667
MTERF	-0.34775
CLK4	0.798125
ZNF799	0.123333333333333
KCNG1	-2.546125
CXCR4	0.4385
PTPRR	-0.9975
IRAK1	-0.471
LOC401397	-0.234
TMSB10	0.502
CXCL3	-2.6182
TMC4	0.91025
OR7A10	0.5935
STYK1	2.9965
CHRNA10	-0.1595
CCNI	0.20475
EP300	-0.2155
LOC165186	-0.237166666666667
HIC2	-2.78275
SDR-O	0.034
OR2W1	0.172
KCNA6	0.72
TRIM74	-1.80975
REEP6	1.423
ATP5G2	-0.287
ERG	1.178
TMEM42	-0.22075
PARN	0.6335
SOD2	0.0705
DIRAS1	0.284666666666667
PNPT1	-0.75925
JOSD3	-1.2575
hCG_40738	-0.8455
PDE1C	-2.50825
SEMA4D	0.0445
AGPAT1	-0.3315
NOSTRIN	0.7
MAP3K3	0.0301666666666667
MAX	0.763142857142857
CAPS	1.4325
SERPINA12	-0.272
OSBPL8	0.068125
RICS	0.109
NR4A2	1.03383333333333
PPCS	1.37866666666667
LONP1	-0.9565
SCYL3	1.06025
HERC2P2	-0.957666666666667
FIBCD1	-0.482
C15orf41	-1.002
DMC1	-1.62383333333333
C20orf27	0.04725
RPS6KA5	-0.0523
FAHD1	0.346166666666667
SLC12A4	0.068
BRCA1	-1.63975
GBL	0.40425
SLK	0.731166666666667
NUDT9P1	0.3695
NOXO1	2.029
USP52	-1.6475
BAZ1B	-0.7335
SLCO2B1	3.11325
BBS12	1.45716666666667
LRGUK	-1.44983333333333
TERF2IP	0.1885
COL1A1	5.3055
KIAA0090	0.252375
GRK5	0.938833333333333
AP1S2	-0.7622
TMEM52	-0.3345
CA11	-0.232375
OR4A15	0.639
ACBD3	0.0509
SPAG11B	-0.3015
PRDM2	1.0024
FOXP3	-0.39475
SMYD3	0.4609
LOC389199	-0.225
LGI2	1.5285
NAPE-PLD	-0.2803
ANKRD6	1.038
WDR45	0.407833333333333
SHROOM1	-2.08525
PSCD3	0.484
PYY	0.4555
KCNC1	-3.6175
ARHGEF9	-0.0605
OR8J1	0.5545
GPR55	0.033
NS3BP	-0.835
C10orf22	0.0546666666666667
NAT8L	1.3915
DUSP4	-1.73833333333333
FOXM1	-2.05116666666667
GRAMD2	0.3373
ZBTB48	-0.0925
BUD31	-0.0065
PABPC5	0.74
CCDC41	-1.601
FBXO11	0.426333333333333
C6orf148	-0.8395
RFXAP	-0.92625
C6orf15	0.423333333333333
CDK8	-0.678666666666667
C6orf70	-0.128
TESSP2	0.5475
ALG2	-0.3235
PPP1R3D	0.8515
TPM3	0.585666666666667
SYT13	-0.58675
EPB42	0.510666666666667
CETN3	-0.4995
PRY	-0.7215
NTHL1	0.480166666666667
POLR2B	0.537
RPS28	-0.388083333333333
P2RX3	-0.15325
LYZL4	0.53575
WBP4	0.0438
PMM1	0.2385
C11orf79	-0.02525
CBLL1	-0.99375
IL1F10	1.2665
VAX2	-0.3725
SETDB1	1.12216666666667
LRAP	-0.219833333333333
GCLM	0.361333333333333
CPEB3	1.352
PPM1A	0.93
INTS1	-0.5665
CAMTA1	-0.55675
SAMSN1	-0.80475
LOC158830	-0.885666666666667
GMPPA	-0.163
AIPL1	0.12725
IL24	1.91075
BDKRB1	-1.43633333333333
MLF1	0.2761
TAF12	-0.4065
ID1	-1.8075
THADA	-0.269625
PIK3CB	-0.21075
OR4N5	-0.2215
TBC1D17	-0.128833333333333
COX8A	-1.12525
CDCA4	-0.69025
C2orf44	-0.877
ZNF534	-1.16475
IMMP1L	-0.8095
NIPSNAP3B	1.319125
FTMT	0.17975
PWP2	-0.849
MMP15	-0.3105
DNAH11	-1.3425
MTMR14	0.172125
DNAL4	0.57675
IPP	-0.8515
TMEM59	1.105375
C1orf157	0.4475
RGS4	1.063
DDX18	-0.438833333333333
SNX6	0.221
ZNHIT2	-0.237
NCDN	0.068
FLJ33534	-0.11975
RAG1	-2.43742857142857
OR4D10	0.1745
PTPN5	0.3525
POMT1	-0.00437499999999999
LRRC8A	-0.5623
CYP1A1	-0.83025
CAPN1	0.00216666666666666
DDHD2	-0.116125
GRIK2	-0.02725
GNRHR	-0.924666666666667
PPBP	0.241666666666667
HTR3A	-0.34175
SLITRK4	1.54225
ANKRD49	-0.474
BTF3	-0.7325
SARS	-0.4765
C13orf18	0.122166666666667
CACNB1	0.0266666666666667
QKI	0.5205
SETMAR	0.424125
MAN2B1	1.22316666666667
EML3	0.0075
ACADL	3.79233333333333
OFD1	-0.491875
DEFB114	1.01
CGA	-3.9844
PEX16	0.556
LRRC10	-1.789
GNG12	1.133
C1orf152	-0.425333333333333
CHRM1	0.4995
CD53	1.311
DBH	-1.1145
TFAP2B	-2.732375
HIST1H2BJ	0.259666666666667
FAM46D	-0.3045
TMEM11	0.70025
C3orf32	-2.49925
PCCB	0.454125
IPO13	-0.0835
C6orf105	-4.08175
COMMD5	0.386
SUV420H1	0.3903
LTBR	1.186
ARHGAP15	0.447
HDHD2	0.24875
TDRKH	1.697
LOC401052	2.6655
PSG4	0.25625
GNB4	0.3678
SPATA4	0.762
SLC9A3	-0.9225
OSBP	-0.0785
NBPF3	-0.03075
DOCK11	0.124
SLC39A5	-1.34116666666667
PRR5	0.6044
C10orf63	0.774625
SMTNL2	-1.481
ADRA1A	0.568
ASAH1	2.0188
DOM3Z	-0.5088
GIPR	0.378166666666667
AHI1	-0.91625
NADSYN1	0.323333333333333
RGS14	-0.1558
IL18BP	1.2952
RTN4RL1	1.05445454545455
ARMC6	-0.46
PSMD5	-0.633333333333333
HK3	1.5938
OR4S1	1.699
RSU1	1.0344
MAD2L1	-1.20511111111111
EIF4A3	-0.02925
DLEC1	-0.297333333333333
E4F1	0.674833333333333
CHMP2B	0.6787
CAMSAP1	-0.90925
RPS21	-1.13516666666667
ARID5A	0.15875
UBE2N	-0.3484
IGSF8	1.4355
MAGEB6	-0.908
ACAD11	-1.6332
MGC4172	-0.24975
LMO4	0.59725
KLKB1	-0.1045
HP	-0.855
HDAC3	0.146
SCHIP1	0.75725
CLCA1	0.193
OLFML2A	1.382625
C1orf112	-0.5915
KIF19	2.54625
HAPLN4	-0.2239
CXCR7	1.81916666666667
GOT2	-1.0017
RAB38	-3.11525
DCX	-0.523
PPM1H	0.234583333333333
NFYC	0.165833333333333
KIN	-0.0185
ZNF228	0.664
PLSCR4	3.271
HIG2	0.055
FAM79B	4.367
C21orf86	0.1565
KCNK10	0.004
ZNF738	-0.82775
FSTL5	-1.231
OR6A2	0.484
OTOA	1.2455
EXOC1	0.261375
AHRR	-3.10175
PDAP1	-1.35108333333333
C19orf6	-0.074375
ZAN	0.0705
LY6G6E	0.012
EIF4E2	-0.25075
C20orf198	0.02575
ZNF324	0.13975
CYP3A5	-1.48683333333333
ENTPD7	1.814
MBOAT5	1.13716666666667
GJB5	-2.122
TTC13	-0.08225
S100Z	-1.74366666666667
KIAA0664	0.124833333333333
PDGFRB	2.27116666666667
IL17D	0.67925
OR56B4	0.0845
RDX	-1.087
SLC34A3	-0.0875
IL28B	1.1705
JUND	0.56
CHRNB1	-0.279
CAMK2B	-0.76325
FETUB	-2.4075
CXorf23	0.653875
MRTO4	-0.759375
TTC3	-0.1841
NDUFB8	0.177166666666667
EDG2	-0.08
SEMA3G	2.44275
IL23A	-0.7565
GRHL1	0.8966
LOC441054	-2.1385
WDR65	0.778714285714286
PSTK	-0.14675
STOML3	0.339
R3HDM2	-0.1771
C5	-3.21075
SLC2A10	1.22483333333333
C3orf22	0.64475
PAQR3	-1.15215384615385
ANKRD26	-0.971833333333333
HCRTR1	0.0245
LOC399947	0.68175
PSD2	-0.67
TIGD2	-1.3575
SCRN1	-1.464375
COQ10A	-1.0315
DDI2	-0.34
METTL7B	-0.941166666666667
UCN2	-0.0565
FAM92A3	-0.81675
WDR16	0.3425
ZNF511	0.0596666666666667
ZMYM5	-0.291375
POLR3G	-2.533
ZNF586	-0.558
C1orf49	0.484333333333333
TANK	1.18166666666667
RCAN1	-0.202666666666667
PELI3	0.233666666666667
LIMD2	0.146166666666667
TMEM189	-1.195
NTN4	-0.987
LOC151300	1.5235
CLEC2A	-0.53
GPR135	-0.15725
DPYSL4	-3.2059
JAK2	-0.0808333333333333
TSHZ1	0.6615
TM9SF4	-0.281375
ZNF264	0.410833333333333
SIRPG	1.927375
BICD1	-0.79775
HERC6	1.524
METTL5	-0.758
CASP1	1.54625
PRRT1	-1.02683333333333
PLA2G4C	2.09716666666667
ICA1L	-0.227714285714286
TPTE2	-0.506833333333333
OTUD7A	0.388333333333333
AQP11	-2.25925
APOA2	-4.3033
KALRN	-0.4074
SECTM1	1.84575
IFNAR1	0.43
TALDO1	0.318125
RAB11FIP4	0.187333333333333
EIF5A	-2.031
FAM49A	2.8105
NEGR1	1.08833333333333
YTHDC2	0.1905
EHD2	0.20525
NCF1	2.7203
SCRT2	0.4555
HOXA5	0.083
NUP133	-0.1605
FGF12	-0.3705
SLMO2	-0.32625
SNTA1	0.20725
CACNG2	0.212875
GCM1	0.340625
ELF1	0.984666666666667
TLR5	1.902
TCFL5	-0.914916666666667
RBMY2FP	-0.344
LOC100125556	0.892375
FAM129B	-0.46225
MAP3K7IP1	-0.227
NCK2	0.7385
OXA1L	-0.448
FMO9P	2.11
ZSCAN12	0.094
PSMD12	0.0231666666666667
HSCB	-0.29225
CLDN10	-2.14825
MGC13053	-0.40875
HPCAL4	-0.322333333333333
ASZ1	0.132
MEX3D	0.12775
NFAT5	-1.0216
CSPG4LYP1	-0.184
FBXO3	0.7575
DVL1	-0.00183333333333333
CMKLR1	2.1555
TYMS	-2.73275
PEF1	1.2325
ZNF750	-2.203
MCM5	-1.2792
MEGF11	-0.81425
KCNK7	-0.127
PTP4A3	0.072
C1QTNF2	-0.201
OR6S1	0.2365
FAM122B	-0.39425
ZNF551	-0.91
HBQ1	-2.26
GEMIN6	0.087
ARSK	0.8855
RBP7	3.6835
CPNE9	0.85425
DSC1	0.5735
LOC730112	-0.9755
MAP2K4	0.406125
HS3ST5	-2.052
EPB41L3	0.7245
TEKT2	-0.9865
CDKN2B	0.848916666666667
ZNF480	0.54525
MAP3K6	0.8526
MAP6	1.82566666666667
HN1	0.6132
OR2L13	0.2095
SLC16A11	0.1145
FAM96A	-0.0315
APOL1	1.01725
C5orf32	0.661
RTP1	-0.841333333333333
RNF175	0.12275
ZBTB41	1.43325
AHCTF1	-0.681
SAE2	-0.0483
ITGA2	-1.22633333333333
MME	1.88133333333333
CCDC14	-1.56225
MAST4	1.48971428571429
KRT33B	-0.602
KCTD2	0.6825
WDR26	0.0618333333333333
MFI2	-0.362875
NR4A3	-0.516375
ARSA	1.5935
UNKL	0.148
SULT6B1	0.326
CCNA2	-1.81683333333333
SOX15	0.654
PPAPDC1B	-1.21883333333333
C19orf44	0.5805
MCAT	0.424166666666667
ARID1B	-0.233375
OR52N1	0.7985
C12orf48	-1.34475
MAGI1	0.123125
NIPA2	-0.06
GBX2	-2.00225
RSHL3	0.84925
RAVER1	0.122166666666667
C15orf17	0.3355
SLC30A2	-0.043875
ZNF518	-0.56425
PCYT1B	-2.1805
C10orf114	-1.07
EIF3H	-0.224833333333333
SLC25A39	-0.237333333333333
KIF1B	-0.08
AMOTL2	0.63275
C6orf120	0.363333333333333
PSRC1	-1.727
PLA2G10	0.756625
KIF5C	-0.32075
MRPL37	-0.6565
C17orf62	0.789
C9orf135	-1.5742
DUSP10	0.9889
CLCNKB	0.424
PSMA5	-0.459125
C8orf53	-0.59025
AMPD3	0.366666666666667
PIAS1	-0.476
ADCYAP1R1	0.1125
GYLTL1B	-0.253
CDH20	-0.2636
FBXO7	-0.7065
TMEM134	-0.0085
FLJ14213	1.461
ZNF3	-0.688
LRRFIP1	0.54525
CNOT2	-0.183
ABI3	2.53525
ALDH5A1	-0.0525
HNT	2.834
SERPINA4	-3.2975
TK2	1.1055
STMN1	-2.18711111111111
GUCA2A	0.095
GALNT10	0.871571428571429
DPP6	-0.5505
C9orf93	0.0186250000000001
PRELID2	-0.355375
STK39	-0.349125
SFTPA1	-1.768
CKS2	-2.42377777777778
RHO	0.064375
C20orf135	-0.416
XKR3	-2.8635
CR1	0.808125
RPS6KA2	1.02978571428571
C20orf112	0.45075
MRPL22	-0.16475
C4orf23	0.1145
GADD45B	1.8925
KLHDC1	1.4695
C2orf48	-1.5725
ZNF287	0.4615
DAAM2	0.198
DPPA2	-3.7032
TCTN3	-0.1125
DNAJB11	0.181125
FPR1	2.8835
DEFB4	0.0445
PTCD2	-0.4349
SMOC2	5.00133333333333
CABP7	2.382
SERPINB11	0.388
MAGEF1	-0.01875
NDE1	0.538
ITGA10	0.7525
FSHB	-0.936
ANXA2	0.877125
HORMAD2	0.23275
HLCS	0.1965
MCF2L	1.08291666666667
FH	0.14375
TBC1D24	1.77475
KIAA1505	1.799
LGALS2	0.66375
CNBD1	-0.665
SYNPO2L	1.5035
PTPN23	-0.103571428571429
C1orf183	-0.6045
MAGEA8	-3.2035
DGCR8	-1.43975
GSR	0.43125
PAQR7	0.20475
ZNF676	-0.5405
CACNA1C	-0.0488
SP7	0.1325
PDCD6	-0.31575
NRN1L	-1.4885
BRI3BP	-0.0428333333333333
KIAA1183	1.02075
ASB4	-0.30125
CCL23	1.644
OBSL1	-0.89075
SLC12A7	0.901666666666667
KIAA0240	0.469375
CD1B	-1.45266666666667
FCGR2A	0.58525
MDC1	-1.05075
HTR1A	-0.234333333333333
OCEL1	0.49775
ATP11B	0.0633125
FBXO34	0.120333333333333
PCDH12	3.6265
RPE	0.41275
C17orf74	-0.1305
CSDC2	0.114
PET112L	0.294
TMBIM1	1.36875
P2RXL1	-0.3985
TCHP	0.1845
TRMT1	-1.245
F2RL2	2.25408333333333
LRRC32	3.47483333333333
IMPG2	-0.111
BGLAP	-0.8045
LOC493869	-0.019
MRAS	2.604
SLC35F5	1.0835
CBWD1	0.507
AXL	-0.860375
ATP2C2	0.84825
TELO2	0.12375
PNPLA3	-2.136
PCDHB14	0.50575
CD276	1.58625
KRT80	-0.655875
DUSP28	0.337
CSNK1E	-0.771916666666666
SRP14	1.2155
KCNQ4	-0.0455
KRT72	-0.1662
CCDC117	0.470625
C6orf89	0.402666666666667
TUBB2B	-4.40216666666667
RTN4IP1	-1.14125
CR1L	-3.49716666666667
CEND1	0.11225
C12orf41	0.1285
RNF31	0.08125
UBN1	0.211
C17orf32	0.783875
SLC5A7	0.26125
GPR92	0.843833333333333
ESAM	2.6216
CTNNA1	0.595916666666667
HRBL	-0.2293
CBX4	2.002
TMEM182	0.5135
SH3TC2	-0.7805
IL10	1.70566666666667
PXMP4	-0.3985
RNF167	-0.6898
PAK7	0.0848333333333333
ETV3	-0.245
ATPIF1	-0.0691666666666667
LOC554207	-2.134
OR8H1	0.32725
WDFY3	0.926
DPM1	-0.463
GPSM1	-0.3525
WDR92	-1.0034
LRP1	1.24783333333333
ANKH	-1.166375
THUMPD3	-0.73025
POLR1B	-0.6485
OLFM4	4.62833333333333
RAD9B	-0.63975
TSPY2	-4.4975
PAX6	-2.21433333333333
SCG2	-1.8165
SLC17A6	-0.4545
FMO3	2.573375
PADI4	-0.689875
TUBB4	-0.3934
NLK	0.21225
POU4F3	-0.297
SDF4	0.0525
ITGBL1	2.24683333333333
NETO1	-2.026
TAP2	-0.374125
ABBA-1	-0.38725
GNAI1	2.13825
VPS4B	0.97325
NOPE	0.4464
GALNT6	1.0605
SESN1	1.29625
GBE1	-0.530333333333333
CLASP1	-0.60625
RASGEF1B	1.44575
ACOT11	-0.404928571428571
AFAP1	0.08575
OR2H2	0.382
DPY19L2P1	-1.093
DZIP1	-1.524
SEC22C	0.44125
GPR161	-0.82925
RNF146	0.3725
WDR74	-1.244375
GALP	-0.3895
PURA	0.9395
DNPEP	0.809083333333333
RP11-78J21.1	-0.16275
ERBB2	1.9715
FANCM	-0.834583333333333
NEO1	0.418166666666667
DDX3Y	-4.194
RPS3A	-0.03525
MXRA7	0.289857142857143
LGALS3	0.0963333333333333
GLT8D1	0.16075
CFL2	-0.4715
UPB1	0.39975
NAP1L5	0.066625
CLDN14	-0.90425
DHX38	-0.34975
BTBD1	-0.2745
TARS2	1.18
ABCF1	-0.4131
FCF1	0.269833333333333
LRRC49	0.12925
GUCY1B2	-1.9625
C1orf177	0.4945
SMARCA4	-0.0379285714285714
LRP8	-1.60366666666667
TAGLN3	-1.66675
MRPL14	-0.432
TTRAP	0.363
ZDHHC20	0.86825
NFE2L3	-1.684
KIAA1377	2.411875
PALMD	2.1692
TMEM43	-0.39075
TTL	-1.11275
STAT5B	0.173666666666667
SSB	-0.318625
OR10H5	1.04
SLC22A13	-1.01975
AKAP3	0.1715
TIMM23	0.713166666666667
OAS2	1.96172727272727
KIAA0423	0.49375
TRIM11	0.328833333333333
GLIS3	1.220625
TMEM50B	1.2375
ARHGEF4	-0.218875
DEGS1	0.531181818181818
TBL1XR1	0.825933333333333
G6PD	-0.43275
SP140	0.443
MUC17	-0.035
NUDC	0.2126
DNAJC5B	2.14
SCARA3	-0.594166666666667
CPA3	6.4595
BCAT2	-0.200625
MFN1	-0.0431
NRG3	0.2795
SNX11	0.8095
PLEKHH1	-1.4525
GPR177	-0.282166666666667
HCFC2	0.9875
TCAP	-0.595
MOCOS	-1.4775
C14orf93	-0.762
PRDM10	-0.618333333333333
SLC16A4	1.03241666666667
SRGAP1	0.217833333333333
VIP	1.193
DUSP27	0.495333333333333
LILRA1	0.9588
MC2R	0.361
MGC24103	-1.522
MBTD1	-1.334
FUT11	-0.472333333333333
USP33	0.5394
C15orf39	-0.94325
MAP3K12	-0.00437500000000003
PAAF1	-0.816666666666667
BARHL1	0.7395
FLJ16165	-0.097
PIWIL2	-2.8925
SYNE1	0.49525
CMTM4	-0.655875
TSPYL1	0.6328
GUF1	-0.6015
TMEM157	1.427
WDR44	0.066
HIST1H3C	0.6475
DKFZp666G057	1.44275
RNPEP	0.56625
GAS2L2	0.492833333333333
ADH4	-4.057
GRPR	3.01616666666667
FBXL17	0.399
ZBTB10	0.622416666666667
Gcom1	1.067
HTRA1	2.0271
ZNF585A	-0.456333333333333
SLC26A2	-0.3715
OTOP3	0.0721666666666667
WISP1	3.10622222222222
ATP2B4	-0.180916666666667
FLJ10769	0.48375
CRAMP1L	0.558625
CHST12	-1.04275
RAB22A	-0.0972499999999999
TARDBP	-0.333714285714286
STAU1	-0.45
CRB3	2.50016666666667
MIG7	-1.2585
CHMP1A	-0.215833333333333
ZNF160	0.02275
B3GALT6	-0.025375
BARX1	-2.15716666666667
C6orf167	-2.048
NXNL1	-0.0285
DHX29	-0.07275
HADHB	0.27925
PLXNB2	0.371714285714286
ILDR1	-1.13175
SLC15A3	2.6785
GAS2	-3.69183333333333
C20orf69	-0.42375
NUMB	-0.18725
TNIP1	0.447375
MESP1	0.526333333333333
PSKH1	0.08375
NSFL1C	0.554
RHOG	-0.32825
HEY1	-1.1685
KNG1	-1.76525
ITGAX	2.2759
LIN9	-0.921166666666667
CANT1	0.7635
XRN1	-0.0135
CCDC96	1.695
HEATR6	-1.06466666666667
GNG7	0.178083333333333
RUNX2	0.7259375
SOX1	0.885666666666667
FCRL5	0.4304
ZNF99	0.139875
FAM9A	1.117
SNX22	0.1925
MBNL3	-1.92033333333333
ODC1	-1.8207
ADORA2B	-3.35933333333333
NR2F6	0.627
ZFYVE16	-0.497944444444444
SYNJ2BP	0.5336
POLE	-0.892
E2F2	-0.800625
THRA	0.5105
PTGES2	-0.98
HIP1R	0.580166666666667
TMUB1	-0.786333333333333
ENO3	-2.17075
RSPH10B	-1.153
CXorf39	0.2565
IRGC	0.2775
GPR109B	1.67475
FLJ13305	-1.2425
LCE3A	-0.473
TNFRSF18	1.3785
DET1	-0.0605
TRPM3	-0.369666666666667
C16orf79	-1.697
FECH	0.726333333333333
RAP2A	0.0243333333333333
CRIP1	1.169
AZIN1	0.05075
SLC7A7	3.235
IL10RA	1.4747
TMEM64	-2.6995
CDC42EP4	0.6646
C16orf58	0.00949999999999999
ARG2	-2.157
POU5F1P4	-4.8085
FAM62B	0.11325
DNAH8	-2.2397
ASH2L	-0.920375
TSLP	-0.949333333333333
CNTNAP5	0.637166666666667
TMEM16C	2.90425
IFNA14	-1.114
SLC1A3	1.3155
CABYR	1.22725
BCL7B	0.3245
NUDT13	-0.7825
C13orf28	0.367
C1orf53	-0.2065
ARL6IP4	0.5172
RPL35A	-0.48725
EMR3	0.888
RAB40C	1.08325
SLC41A1	-0.0643333333333333
LRCH1	0.09725
LY6G5B	-1.999
FAM124A	-0.141230769230769
MGC10981	-4.159
CLIP3	0.3649
MAP4K2	-0.333833333333333
CHIC1	0.03875
SULF1	2.635
C20orf30	0.231928571428571
PRDM5	-0.556
ELOVL1	0.871
C11orf48	-0.615
SLC39A10	0.04125
KCNV1	-0.45425
ACP1	-0.367833333333333
ZMYM2	-0.2515
B3GNT6	-0.126166666666667
C9orf69	-0.28275
C2orf15	0.8135
C20orf166	1.666
HSP90AA6P	-0.236
EDG7	-0.962
NEURL	-0.815375
LPL	5.64583333333333
CLEC2D	0.333071428571429
GRRP1	2.273
CD8B	-2.5613
HIST1H3D	-0.177833333333333
SLC6A12	0.2705
FAM27L	0.913
CD84	2.3689
RASA1	-0.502
PHKG1	0.879
MAGEA11	-1.294
IMPA1	-0.5654
NPM3	-2.49
RARRES1	3.286
SH3BP1	-0.035
B3GNTL1	-0.081
ARPC5L	-0.267
KLHL26	0.0745
SIM2	-2.724625
GJC1	0.378
C20orf194	0.09175
EXO1	-2.2795
SLC2A2	-3.09516666666667
LOC285074	-0.94425
LRG1	1.05675
KIRREL	0.2855
PIK3R1	1.36971428571429
C4orf34	2.40925
MAF	-0.704722222222222
ADCY4	4.36516666666667
ZMIZ2	0.1469
SLC46A3	3.0105
STAMBP	0.129333333333333
CCDC16	0.4375
MS4A12	-0.113
TCF20	0.18275
LRRC46	1.83775
C20orf152	2.29425
MRPS6	-0.1325
ABCB11	-0.1705
KCNC2	0.0784
CDH19	-0.9635
C9orf123	0.0563333333333333
SSH3	-0.023625
LDLRAD1	-1.9805
CCBE1	0.8795
ZNF135	1.143375
TAAR1	0.596
WFDC12	-0.415
CCDC42	0.300666666666667
FLJ12529	-1.1985
PER1	0.384
TIMM50	-0.0523333333333333
SMARCAD1	-0.130666666666667
FAM26C	0.2715
TP53TG3	-0.365833333333333
SH3RF1	0.7133
LMCD1	2.61575
GPR63	0.0175
FLJ21986	-0.624625
AIFM3	-0.84575
MICAL1	-0.4525
BLZF1	1.12266666666667
IQCA	1.53283333333333
PCDHGC3	0.283
SAC	0.07525
BCL6B	2.69916666666667
DDO	1.53575
MARCO	3.91175
DCHS1	0.939166666666667
C1orf170	1.333
CD200R1	1.72216666666667
C22orf15	-0.9
SEPT11	0.6365
ADNP	-0.437
UST	0.0839
C13orf34	-0.963666666666667
RFFL	-0.0360714285714286
APBA3	-0.353
C2orf60	-0.421125
CUTL1	-0.8723
PMS1	-0.986125
ZNF689	0.9345
EIF3E	-0.520833333333333
IL9	-0.5554
RPL31	-0.744625
LY9	0.798666666666667
ATP2B3	0.4795
KDELR2	0.355333333333333
TFCP2	0.436
NLRP12	0.16025
FLJ45422	-0.38475
TLE4	-0.4946
ZNF570	0.0135
FLJ43806	-1.1145
TLK2	0.263625
CIR	0.908
MARS2	-0.3445
COL24A1	-0.23425
SDF2L1	-0.903
HIBADH	0.0896666666666667
IGFBP3	-2.083
C12orf23	0.889375
PSPC1	-0.0445
C20orf43	0.37025
TRAV20	0.1465
ARHGAP24	2.03175
KIAA1975	0.421
C1QA	3.3685
DNTT	-4.9105
C10orf6	-0.575666666666667
C11orf41	0.147375
HNRPF	0.250625
COL11A1	3.1075
UBAP2	-1.69066666666667
CDKN2AIPNL	-1.1845
C20orf174	4.0095
SPRED2	0.61575
PLA2G12A	0.4135
ICEBERG	-1.89133333333333
SCN10A	-0.463
C11orf65	-0.5905
GBP5	4.864
PITPNC1	-0.704666666666667
POU3F3	0.7085
NCOA7	-0.7045
LIN7C	0.0475
LOC348840	-1.0055
NKX2-2	-1.1955
ANKRD13D	-0.27125
LOC123688	0.22775
FUT2	0.4455
TAAR8	0.531
FZD4	0.599333333333333
PNMA3	-0.722
OR4L1	0.136
WIT1	-2.94175
EXOC3L	1.661
ATPBD4	-0.3344
KRBA1	-1.25325
UBXD6	0.682
HOXB7	0.217285714285714
C7orf23	0.091
UNQ338	1.76425
STAB2	3.07
CDC20B	0.286
IRF9	1.85625
CENTG1	0.98825
TNPO2	-0.8945
MCPH1	0.1595
BMS1P5	-1.01575
SLC26A7	1.478
HIST1H3J	0.16475
C9orf3	-0.052
LBH	0.762375
MYO1D	0.179875
PTDSS2	-0.5575
NFU1	0.3265
DEPDC4	-1.79175
WNT7B	1.1438
GLP2R	-0.636333333333333
SETD4	-0.2814
DYNLT3	0.8458
FKBP11	-0.781333333333333
SESTD1	0.947333333333333
FLII	0.234
RPS16	-0.1662
CHPF	0.248
CSNK2A1	0.0901666666666667
SUMO1P1	0.6165
FKBP6	-0.2075
ZNF214	0.498333333333333
TWIST1	2.17916666666667
DDX56	-0.2265
TRAM1L1	2.8408
EPO	-3.19833333333333
MRPS18B	-0.1385
ZNF682	-0.425166666666667
RPL14	-0.114166666666667
MAFF	-0.476
LOC51136	0.187625
LY96	0.46675
DDX20	-0.56725
ABTB1	0.982333333333333
ARL5A	0.2228
CCT6A	-1.279
HEPACAM	0.5175
EHHADH	-0.115166666666667
RBAK	-0.492833333333333
CGB1	3.39675
ITGB5	1.1762
YIPF3	-0.139
FKBP2	-0.62325
NR1D1	-0.0594
