Hybridization REF	TCGA-BH-A18F-01A-11R-A12D-07
CAD	-0.8685
ZNF449	0.12025
DOCK10	-1.416
FAIM2	0.156333333333333
HEXDC	-0.35325
PRB1	-0.01325
C14orf148	-0.9005
ETHE1	0.4915
IRF5	0.0714
GNMT	1.32
MGC16291	-1.68525
RPAIN	-0.813285714285714
CAGE1	1.0075
CNTNAP3	-1.391125
ACTR1B	0.05725
EEF1E1	-0.97275
MSX1	-0.117375
ESF1	-0.5402
HSPC171	-0.4135
MRPL2	-0.667666666666667
RDH12	-0.698833333333333
CELP	0.045
METRNL	-0.38975
C10orf116	3.341
C19orf48	-1.1125
ZNF346	-0.281
NCR1	-0.945
C10orf64	0.2405
CD52	1.934
VPS18	0.594
AP4S1	-0.0621666666666667
NPBWR1	0.5995
TPK1	1.1635
UBA52	-0.604888888888889
RIPK1	0.558
CPNE3	-0.0696
HSPC159	0.0445
C8orf38	0.32725
LRRC4B	-0.402
PARP10	0.4134
ANKRD50	0.98925
CXCL9	5.75325
FGF18	2.32381818181818
EIF2A	0.468375
SLC20A2	0.524166666666667
KIAA1549	-0.90425
SPINT1	1.4676
ZNF584	-0.6595
CRBN	0.526
ABCF3	-0.500166666666667
NCBP1	0.310833333333333
PLA2G4F	0.453
PCDH10	-0.987625
TTC21A	0.72675
C20orf144	-0.0495
FGFR1OP2	-0.128333333333333
SLC9A1	0.4397
CHRND	0.092
FOXF1	-1.94
KIAA1467	1.4545
TPO	1.95966666666667
LTF	3.28042857142857
DNAJB9	0.54325
MRPS27	-0.51075
bA16L21.2.1	0.83575
WBP2	-0.3375
MRGPRX3	-1.46283333333333
PRPF18	0.86275
C10orf58	1.319
SMOC1	-2.567
ADAT3	0.341833333333333
TMEM138	-0.085
TMEM131	0.184625
TIMM8B	-0.08175
MYH7	-0.123666666666667
ST6GAL2	1.303125
KIF1C	0.00225
SUHW2	-1.617
PAPSS1	0.6175
CABP2	-0.2195
HOXA4	-0.0235
ELF2	0.2845
SEMA3D	1.4958
MC5R	0.247
OGFR	0.09
FLJ30092	-0.342833333333333
TGFA	-0.2143
MMP17	0.338
KIF15	-1.2045
CHIA	0.421
CATSPER3	0.5885
CEACAM7	0.616083333333333
PADI2	2.685625
HOXA9	0.676666666666667
LNX2	0.766333333333333
TMEM144	1.67475
HIF1AN	0.89425
METTL7A	0.0926
C6orf165	2.93866666666667
KIAA1468	0.340875
DSG3	0.6165
ZNF180	0.718666666666667
EIF4E3	1.78275
SLC46A1	0.173
DKK1	-5.621
ZNF205	0.524833333333333
LOC162073	1.24555555555556
COX7A1	3.81075
MAGEA1	-4.37216666666667
NEDD8	-0.0406666666666667
KLHDC5	-0.0938333333333333
C3orf19	0.186
MRPS2	-0.39675
POLR3H	-0.185714285714286
ABHD11	1.3131
TMEM17	1.52525
PAIP2B	-0.7666
MAT1A	-3.75125
LGI3	0.03
THUMPD2	0.2
TKTL2	-0.3275
XAGE3	-1.45683333333333
CALM3	0.1925
C6orf136	-0.833
KCNC4	0.503333333333333
RGS9	0.465833333333333
ACIN1	-1.28983333333333
SPATS1	-0.1245
XKR8	-0.43625
FAM84A	0.908583333333333
MS4A7	4.26263636363636
AGXT2L2	-0.166
OR1F1	-0.0735
SMAP1L	-0.0881666666666667
IPO11	1.084
ZC3H11A	0.7395625
C1orf151	0.826125
RNASEH2A	-0.95475
CCR10	-0.7405
TXNDC11	0.14825
TMEM112	0.679875
MAP1B	-0.178857142857143
NVL	1.32475
PKM2	-1.75445
ARC	-0.042
NUP54	-0.221
PPFIBP2	2.3515
STAT2	1.068625
PTAFR	1.782
ROBO2	-0.812875
RNF40	-0.217333333333333
CCDC135	-0.500666666666667
IFT81	-0.108
MORF4	-0.10525
TM7SF3	0.189
OR10H3	0.0915
ABP1	-0.163
CHRD	0.99925
PLEKHA8	-0.0575
NCALD	1.62966666666667
OR5AK2	0.192
ACCN1	-0.219666666666667
SLITRK1	0.1805
ARMET	0.4235
C9orf52	1.9305
REEP4	-0.50875
MTSS1	-0.045375
ADH1B	4.29116666666667
DLD	-0.46925
CDK5	-0.68225
PPFIA1	-0.24275
WFDC3	0.507
DNAJB12	0.925357142857143
RANGRF	-0.3055
MLANA	-3.9175
AMY2B	-0.291
KIAA0319	-0.9995
RPS7	-0.703
JAK3	0.1862
ARFGEF1	0.79375
CXCL5	0.494666666666667
TRAPPC4	0.13375
CETN2	0.88925
HSPC111	-0.761
RHOBTB3	-1.6141
PHLPP	-1.6445
RGS10	1.37975
TMEM58	0.945
CHERP	-0.803875
HSP90AB3P	-0.946833333333333
FSTL3	0.0885
PEX11A	0.64725
OR5V1	0.5635
FCN3	1.738
PTPN3	1.466875
NPTX1	-4.664375
C21orf84	-1.07875
C11orf51	-0.14075
ZBED2	2.60825
FLJ90757	0.16425
NPY2R	0.851
PLD3	0.0185
SYT17	2.9895
SGSM2	-1.006
OR1A2	0.164
FOXP1	1.517375
SLC5A1	1.32725
POFUT1	-0.4434
EPHB6	-2.43483333333333
MYO1G	-1.44425
STAC	-1.2175
KLHL17	-0.437
RGMA	0.5949
TJP2	0.864
FAM114A1	-0.116166666666667
SERINC1	1.05741666666667
SLC9A8	-0.082875
PEX19	1.278
EDN2	3.3705
PSMD7	-0.942666666666666
C3orf41	-1.55625
UQCR	-0.24275
PPP1R3C	0.27575
LRP4	-1.86333333333333
TM2D1	0.55025
TTC17	-0.2256875
C4BPB	-3.580875
CCL25	0.20375
ZNF253	-0.13
CHRNA9	-3.30425
SOX11	-1.589
HIVEP3	0.535
CGN	2.19766666666667
C3orf35	-0.367375
PKD2L1	2.241
SYVN1	-0.111875
PDE8B	-0.23525
LOC439951	0.35225
LTC4S	2.23633333333333
MIF4GD	-0.373166666666667
SMARCA2	2.059875
TUBGCP6	-0.653666666666667
CABLES1	0.014875
C16orf77	2.084
ZNF791	-0.07875
FUT5	-1.2095
ADH6	-1.85516666666667
P4HB	-0.54825
CLDND2	-0.333
ALKBH8	0.63175
PLAC4	-1.5995
F11R	1.31921428571429
MGC35295	0.326166666666667
PDZD4	-0.53
LOC389073	-0.7525
FAM80B	-0.172
PSMB1	-0.70225
TXN	0.108833333333333
VIPR1	0.8002
WBSCR18	-0.1472
EXOSC6	-0.6885
ACTA2	3.49133333333333
SP5	-1.32191666666667
ANKRD1	-2.7605
DDR1	1.8641
ATP6V1D	0.1185
PTGS1	-0.128333333333333
RNF157	-1.16925
DCC	0.612333333333333
SPAG7	0.099
FBXO18	-0.0065
UBE3C	-0.4039
HOXC6	0.468
LRP2BP	-0.1665
MYST2	-0.7145
PDSS2	-0.55775
ATE1	0.62825
ARAF	-0.2205
KLF10	0.52825
PLA2G2E	0.02475
ASCL1	-0.262333333333333
TSNAXIP1	0.693
FAM131B	0.094625
IFNA10	-0.5785
NUP43	-1.0885
FAM44B	-0.21875
L1TD1	-4.688
NMD3	-0.750583333333333
C18orf54	-1.0311
PHOSPHO1	0.4505
RAG2	-2.459
EMILIN3	-0.3555
METTL3	-0.36025
VPS13C	0.297875
REXO2	-0.14525
ANXA4	0.2975
CA1	-0.8445
DCP1B	0.596
TULP3	-1.12016666666667
ATP2A2	-0.3415
ATIC	-0.22075
ADAM15	0.00633333333333335
NPL	1.36016666666667
LGR4	-0.69275
UEVLD	1.297
GAB1	1.22525
SNAI2	0.303833333333333
ZGPAT	-0.1518
SNF1LK	-0.00312500000000003
DLEU1	-0.9975
UBE2Q1	0.461625
ZMYM6	0.1570625
JPH3	-1.12333333333333
FAM38A	-0.594666666666667
PXK	0.265833333333333
DENND2D	2.4545
BAX	-0.7475
CP	-3.23
RPL37	-0.295
G6PC3	-0.091625
NCOA4	-0.145166666666667
LRRC14	-0.130625
GORASP1	0.084
FCHO2	1.1285
CYP24A1	-3.0409
FXYD3	1.905875
SMARCAL1	0.4
ABCB8	-0.723833333333333
CCDC44	-0.782
PRDM7	-3.21025
USH1C	-1.673
DNAH5	1.6455
SRF	0.713916666666667
MAL2	3.0795
PGPEP1	-0.436083333333333
SIN3B	-0.384
SEMA3C	1.6315
GRAMD3	1.546
FBXO10	-0.102875
OR5D13	0.2475
FLJ31818	0.040125
CACNA1I	0.204625
S100A13	1.099
TP63	2.13535714285714
ANXA11	0.5779
WDR66	-1.0345
CSF2RB	0.271
IFI44	0.67275
DACT1	2.19283333333333
ANKRD23	-1.515625
ATP5G1	-0.8595
C21orf70	-0.756666666666666
PPWD1	-0.59125
DNAJC13	0.166
PAH	-5.09333333333333
PTCH2	0.1085
TRMU	-1.153
CCDC9	0.2475
USP3	-0.8722
DCLRE1C	-0.2632
FAM55C	0.31825
FRMD4B	1.324
CYP2R1	-0.037
RFPL1	0.1234
XPO5	-1.0235
ARL6IP2	-0.217
OSBPL5	1.30975
MMP9	3.51118181818182
KIAA0802	-0.40425
DHRS2	-3.6835
SGEF	2.28875
TXNDC10	-0.4398
EXOC6	1.4625
RPS27	0.906666666666667
PNCK	-0.114166666666667
FSTL1	-0.0205
AACS	0.66925
SLMAP	0.197
SAMD4A	0.1438
ABRA	-0.06825
SMARCD3	0.8695
PKNOX2	-1.944
A4GNT	0.3185
C9orf39	-0.932333333333333
RALYL	0.0375
MGC33556	-2.4115
C10orf25	-0.443
BBOX1	4.5775
NHEDC1	-0.11625
XDH	-0.39275
GCSH	-1.37
EDN1	2.57966666666667
MTERF	-0.43025
CLK4	0.802875
ZNF799	0.485666666666667
KCNG1	-1.86825
CXCR4	1.38566666666667
PTPRR	-1.6695
IRAK1	-0.470625
LOC401397	-0.1985
TMSB10	1.329
CXCL3	-2.6873
TMC4	1.98975
OR7A10	0.4985
STYK1	3.138
CHRNA10	-0.462
CCNI	0.63525
EP300	0.0537857142857143
LOC165186	-0.333833333333333
HIC2	-2.695
SDR-O	0.095
OR2W1	0.3725
KCNA6	-0.07
TRIM74	-1.917
REEP6	1.162
ATP5G2	0.18325
ERG	0.952
TMEM42	0.0695
PARN	0.301333333333333
SOD2	-0.4170625
DIRAS1	-0.308833333333333
PNPT1	-1.14675
JOSD3	-1.1685
hCG_40738	-0.1305
PDE1C	-1.589
SEMA4D	0.188875
AGPAT1	0.117166666666667
NOSTRIN	1.95075
MAP3K3	-0.682166666666667
MAX	0.539714285714286
CAPS	0.263166666666667
SERPINA12	0.47
OSBPL8	0.053125
RICS	1.338
NR4A2	0.0491666666666667
PPCS	1.04116666666667
LONP1	-1.0905
SCYL3	1.932
HERC2P2	-1.98666666666667
FIBCD1	-0.959
C15orf41	-1.213
DMC1	-1.64633333333333
C20orf27	-1.3335
RPS6KA5	0.558
FAHD1	0.269833333333333
SLC12A4	0.14
BRCA1	-1.2195
GBL	-0.0965
SLK	0.370833333333333
NUDT9P1	-0.9915
NOXO1	0.1205
USP52	-1.851
BAZ1B	0.222875
SLCO2B1	2.5535
BBS12	1.13916666666667
LRGUK	-0.7665
TERF2IP	-0.14975
COL1A1	5.1545
KIAA0090	0.315375
GRK5	0.1265
AP1S2	-0.6648
TMEM52	-0.518833333333333
CA11	-0.333125
OR4A15	0.426
ACBD3	1.3197
SPAG11B	0.13925
PRDM2	0.9467
FOXP3	0.2945
SMYD3	-0.3826
LOC389199	0.495
LGI2	1.27466666666667
NAPE-PLD	-0.2756
ANKRD6	0.6875
WDR45	0.701333333333333
SHROOM1	1.69525
PSCD3	0.77
PYY	0.5515
KCNC1	1.795
ARHGEF9	0.8121
OR8J1	0.4455
GPR55	0.0113333333333333
NS3BP	-1.5355
C10orf22	0.704
NAT8L	0.12175
DUSP4	0.542333333333333
FOXM1	-1.32033333333333
GRAMD2	1.7421
ZBTB48	-0.195166666666667
BUD31	-0.366
PABPC5	1.1545
CCDC41	-0.29425
FBXO11	0.17025
C6orf148	-0.93425
RFXAP	-0.59425
C6orf15	0.829
CDK8	-0.119166666666667
C6orf70	-0.339875
TESSP2	0.515
ALG2	0.557
PPP1R3D	1.068
TPM3	1.34672222222222
SYT13	0.9325
EPB42	1.16683333333333
CETN3	-0.45825
PRY	-0.105
NTHL1	0.469833333333333
POLR2B	-0.3275
RPS28	-0.01075
P2RX3	0.28775
LYZL4	0.2045
WBP4	0.1976
PMM1	-0.694
C11orf79	0.57825
CBLL1	-0.988
IL1F10	0.440833333333333
VAX2	0.223
SETDB1	0.209666666666667
LRAP	-0.32
GCLM	-0.477833333333333
CPEB3	1.7665
PPM1A	0.6418125
INTS1	-0.94975
CAMTA1	0.945666666666667
SAMSN1	-1.21175
LOC158830	-0.989333333333333
GMPPA	-0.148
AIPL1	-0.206
IL24	0.937083333333333
BDKRB1	-1.592
MLF1	0.9961
TAF12	-0.35025
ID1	-1.9945
THADA	0.053375
PIK3CB	-0.717
OR4N5	0.13
TBC1D17	-0.631666666666667
COX8A	-0.038
CDCA4	-0.8575
C2orf44	-1.24575
ZNF534	-1.0475
IMMP1L	0.3895
NIPSNAP3B	1.9765
FTMT	0.441625
PWP2	-0.839333333333333
MMP15	0.1322
DNAH11	-1.17925
MTMR14	-0.253875
DNAL4	0.85125
IPP	-0.92425
TMEM59	1.2565
C1orf157	0.5745
RGS4	1.29666666666667
DDX18	-0.235
SNX6	0.32675
ZNHIT2	0.340333333333333
NCDN	0.138166666666667
FLJ33534	0.0935
RAG1	-1.591875
OR4D10	0.3155
PTPN5	-0.241333333333333
POMT1	0.375875
LRRC8A	0.705
CYP1A1	-1.1555
CAPN1	0.1185
DDHD2	-0.599625
GRIK2	-0.4305
GNRHR	0.13925
PPBP	0.53075
HTR3A	-0.642875
SLITRK4	1.36175
ANKRD49	0.2605
BTF3	0.2045
SARS	-0.519
C13orf18	0.0776666666666667
CACNB1	-0.247714285714286
QKI	0.210954545454545
SETMAR	0.295125
MAN2B1	0.4125
EML3	-0.95825
ACADL	2.57
OFD1	-0.003125
DEFB114	-0.145
CGA	-3.3332
PEX16	0.469666666666667
LRRC10	-0.1345
GNG12	0.2605
C1orf152	0.251666666666667
CHRM1	0.31
CD53	0.669125
DBH	-0.28375
TFAP2B	4.036625
HIST1H2BJ	0.821333333333333
FAM46D	1.301
TMEM11	-0.3205
C3orf32	-2.481
PCCB	-0.60425
IPO13	-0.396625
C6orf105	-2.625
COMMD5	0.622
SUV420H1	-0.1634
LTBR	0.127
ARHGAP15	-0.126875
HDHD2	0.6075
TDRKH	1.348
LOC401052	1.1475
PSG4	-1.632
GNB4	-0.5423
SPATA4	0.508
SLC9A3	-0.5215
OSBP	0.413833333333333
NBPF3	0.14075
DOCK11	-0.548
SLC39A5	-1.26866666666667
PRR5	0.5928
C10orf63	0.31125
SMTNL2	-1.617
ADRA1A	0.363
ASAH1	2.224
DOM3Z	-0.1833
GIPR	0.489333333333333
AHI1	-0.649666666666667
NADSYN1	-0.178166666666667
RGS14	0.6102
IL18BP	0.9435
RTN4RL1	1.04508333333333
ARMC6	-0.595
PSMD5	1.15483333333333
HK3	1.1618
OR4S1	0.63475
RSU1	0.6828
MAD2L1	-0.974333333333333
EIF4A3	-0.46275
DLEC1	-0.422
E4F1	0.749833333333333
CHMP2B	0.5386
CAMSAP1	-0.092
RPS21	-0.982833333333333
ARID5A	0.74
UBE2N	0.3525
IGSF8	1.23483333333333
MAGEB6	-1.478
ACAD11	-1.3583
MGC4172	-1.14475
LMO4	2.20775
KLKB1	-0.2185
HP	-0.549
HDAC3	-0.000999999999999999
SCHIP1	0.693
CLCA1	0.1945
OLFML2A	1.343625
C1orf112	-0.5765
KIF19	1.37466666666667
HAPLN4	-0.3335
CXCR7	0.686333333333333
GOT2	-0.4591
RAB38	-1.558875
DCX	1.81425
PPM1H	0.638833333333333
NFYC	0.409833333333333
KIN	0.00325
ZNF228	1.2725
PLSCR4	2.546
HIG2	-0.24775
FAM79B	3.7625
C21orf86	-0.5194
KCNK10	0.47925
ZNF738	-0.038625
FSTL5	-1.0945
OR6A2	0.4115
OTOA	0.981333333333333
EXOC1	0.305
AHRR	-2.5505
PDAP1	-1.86308333333333
C19orf6	-0.535625
ZAN	0.2475
LY6G6E	0.2345
EIF4E2	-0.34425
C20orf198	-0.08325
ZNF324	-0.284
CYP3A5	-3.19116666666667
ENTPD7	1.554
MBOAT5	0.441166666666667
GJB5	1.5255
TTC13	0.8695
S100Z	-1.415
KIAA0664	-0.318666666666667
PDGFRB	1.86666666666667
IL17D	0.68825
OR56B4	-0.134
RDX	-1.02
SLC34A3	0.3915
IL28B	0.2265
JUND	1.45025
CHRNB1	-0.386125
CAMK2B	0.899
FETUB	-1.065
CXorf23	1.876
MRTO4	-1.196875
TTC3	0.2993
NDUFB8	-0.0748333333333333
EDG2	0.44475
SEMA3G	2.0235
IL23A	-1.0095
GRHL1	1.4907
LOC441054	-1.626
WDR65	0.488625
PSTK	0.0335
STOML3	0.359166666666667
R3HDM2	0.0876
C5	-1.24225
SLC2A10	0.462333333333333
C3orf22	-0.005
PAQR3	-0.926153846153846
ANKRD26	-0.486583333333333
HCRTR1	0.167
LOC399947	-0.27175
PSD2	-0.22975
TIGD2	0.346
SCRN1	-1.882375
COQ10A	-1.094
DDI2	0.042
METTL7B	-0.749666666666667
UCN2	0.14775
FAM92A3	-0.6295
WDR16	1.082
ZNF511	0.0801666666666667
ZMYM5	0.405875
POLR3G	-2.742
ZNF586	-0.2065
C1orf49	0.434
TANK	1.14416666666667
RCAN1	0.770166666666667
PELI3	0.715833333333333
LIMD2	-0.412166666666667
TMEM189	-0.1825
NTN4	1.939875
LOC151300	-0.558
CLEC2A	-0.7315
GPR135	-1.048875
DPYSL4	-1.3147
JAK2	0.7555
TSHZ1	0.675333333333333
TM9SF4	-0.238875
ZNF264	0.524
SIRPG	1.80375
BICD1	-1.2835
HERC6	0.6015
METTL5	-0.831
CASP1	1.23075
PRRT1	-0.561666666666667
PLA2G4C	3.34233333333333
ICA1L	-0.759714285714286
TPTE2	-0.0371666666666666
OTUD7A	0.412333333333333
AQP11	-1.757
APOA2	-3.6588
KALRN	0.1323
SECTM1	0.21375
IFNAR1	0.179
TALDO1	-0.058875
RAB11FIP4	-0.0986666666666667
EIF5A	-2.115
FAM49A	2.2365
NEGR1	0.951666666666667
YTHDC2	-0.53325
EHD2	0.076875
NCF1	1.7236
SCRT2	0.262
HOXA5	-0.272
NUP133	1.266
FGF12	-0.7283125
SLMO2	-0.06875
SNTA1	0.1845
CACNG2	0.15475
GCM1	0.20225
ELF1	0.845166666666667
TLR5	2.9645
TCFL5	-0.544416666666667
RBMY2FP	-0.8245
LOC100125556	0.8125
FAM129B	0.352125
MAP3K7IP1	-0.264375
NCK2	0.3485
OXA1L	-1.15525
FMO9P	1.076
ZSCAN12	0.127
PSMD12	-0.803916666666667
HSCB	-0.911
CLDN10	-1.36575
MGC13053	-0.4495
HPCAL4	-0.211166666666667
ASZ1	-0.6815
MEX3D	0.587583333333333
NFAT5	-0.7798
CSPG4LYP1	-0.1685
FBXO3	1.2692
DVL1	-0.436666666666667
CMKLR1	1.619
TYMS	-1.395875
PEF1	0.52425
ZNF750	1.12366666666667
MCM5	-1.1203
MEGF11	-0.9605
KCNK7	-0.2675
PTP4A3	-0.207
C1QTNF2	0.164833333333333
OR6S1	0.3215
FAM122B	-0.50325
ZNF551	-0.573
HBQ1	-1.943
GEMIN6	-0.55625
ARSK	-0.2385
RBP7	3.10816666666667
CPNE9	-0.1855
DSC1	2.0365
LOC730112	-0.78475
MAP2K4	0.2505
HS3ST5	-1.839
EPB41L3	0.6835
TEKT2	0.58625
CDKN2B	1.24475
ZNF480	-1.09
MAP3K6	0.7419
MAP6	1.84766666666667
HN1	-0.2668
OR2L13	0.155666666666667
SLC16A11	0.2265
FAM96A	-1.01925
APOL1	0.3625
C5orf32	-0.1625
RTP1	-0.238333333333333
RNF175	0.114875
ZBTB41	1.30525
AHCTF1	-0.0583
SAE2	-0.0913
ITGA2	1.013
MME	0.858833333333333
CCDC14	-0.842
MAST4	1.19342857142857
KRT33B	-0.47
KCTD2	-0.37
WDR26	1.238
MFI2	0.229875
NR4A3	0.648625
ARSA	-0.1945
UNKL	0.147666666666667
SULT6B1	0.162
CCNA2	-1.88083333333333
SOX15	-0.4475
PPAPDC1B	-0.0236666666666667
C19orf44	0.119
MCAT	0.318
ARID1B	0.148875
OR52N1	0.497
C12orf48	-1.0195
MAGI1	0.15575
NIPA2	-0.18625
GBX2	-1.7
RSHL3	-0.038625
RAVER1	-0.174333333333333
C15orf17	-0.5355
SLC30A2	0.98475
ZNF518	-0.186
PCYT1B	-1.2575
C10orf114	-0.89
EIF3H	-0.107666666666667
SLC25A39	-1.31133333333333
KIF1B	-0.733875
AMOTL2	0.84
C6orf120	0.257125
PSRC1	-1.17275
PLA2G10	2.703375
KIF5C	-0.502125
MRPL37	-0.802
C17orf62	-0.3105
C9orf135	-1.27516666666667
DUSP10	0.6887
CLCNKB	0.409
PSMA5	-0.189125
C8orf53	-0.17225
AMPD3	0.929166666666667
PIAS1	-0.4345
ADCYAP1R1	-0.0465
GYLTL1B	0.422
CDH20	0.489666666666667
FBXO7	-0.6835
TMEM134	0.474166666666667
FLJ14213	1.24566666666667
ZNF3	-0.62825
LRRFIP1	0.566416666666667
CNOT2	0.34325
ABI3	2.2505
ALDH5A1	-0.940916666666667
HNT	2.3586
SERPINA4	-2.69125
TK2	0.93275
STMN1	-0.528777777777778
GUCA2A	0.115833333333333
GALNT10	1.01407142857143
DPP6	-0.8503
C9orf93	0.301
PRELID2	0.191
STK39	0.508625
SFTPA1	-0.961
CKS2	-0.942555555555556
RHO	0.187875
C20orf135	0.084
XKR3	-2.3405
CR1	0.205125
RPS6KA2	0.531357142857143
C20orf112	0.72525
MRPL22	0.297
C4orf23	0.2775
GADD45B	1.92625
KLHDC1	1.156
C2orf48	-1.2835
ZNF287	1.0145
DAAM2	-0.32325
DPPA2	-2.88983333333333
TCTN3	0.535
DNAJB11	0.4735
FPR1	3.07825
DEFB4	-0.0155
PTCD2	-0.1516
SMOC2	4.60466666666667
CABP7	1.21675
SERPINB11	0.2415
MAGEF1	-0.56775
NDE1	0.710833333333333
ITGA10	0.294
FSHB	-0.004
ANXA2	0.965125
HORMAD2	0.3455
HLCS	0.59875
MCF2L	1.64041666666667
FH	0.638625
TBC1D24	1.62775
KIAA1505	1.039
LGALS2	1.324
CNBD1	-0.485
SYNPO2L	-1.1695
PTPN23	-0.0516428571428572
C1orf183	-0.141166666666667
MAGEA8	-2.259
DGCR8	-1.90975
GSR	-0.624
PAQR7	0.2405
ZNF676	-0.45575
CACNA1C	-0.083
SP7	0.1345
PDCD6	0.0985
NRN1L	-0.9505
BRI3BP	-0.162333333333333
KIAA1183	0.59125
ASB4	0.00475
CCL23	1.3093
OBSL1	0.186
SLC12A7	0.562083333333333
KIAA0240	1.163625
CD1B	-1.50366666666667
FCGR2A	0.784625
MDC1	-1.287
HTR1A	-0.0168333333333333
OCEL1	0.03725
ATP11B	-0.3281875
FBXO34	0.0778333333333334
PCDH12	3.15616666666667
RPE	-0.07925
C17orf74	-0.4255
CSDC2	0.400166666666667
PET112L	0.076
TMBIM1	1.049
P2RXL1	-0.0315
TCHP	-0.2045
TRMT1	-1.2905
F2RL2	1.78366666666667
LRRC32	2.96216666666667
IMPG2	0.126
BGLAP	-0.08525
LOC493869	0.315416666666667
MRAS	2.4375
SLC35F5	1.2735
CBWD1	1.793
AXL	-1.03125
ATP2C2	2.56575
TELO2	-0.72025
PNPLA3	-1.63475
PCDHB14	2.079
CD276	0.642
KRT80	-0.594875
DUSP28	0.3925
CSNK1E	-0.401666666666667
SRP14	0.525
KCNQ4	-0.113
KRT72	-0.0356666666666667
CCDC117	-0.64725
C6orf89	0.0846111111111111
TUBB2B	-0.563666666666667
RTN4IP1	-0.86975
CR1L	-3.13
CEND1	0.088875
C12orf41	0.0515
RNF31	-0.1315
UBN1	-0.0541666666666667
C17orf32	0.2895
SLC5A7	0.12475
GPR92	0.574833333333333
ESAM	2.1851
CTNNA1	0.468583333333333
HRBL	-0.00639999999999999
CBX4	0.186
TMEM182	1.42025
SH3TC2	-0.852666666666667
IL10	1.01866666666667
PXMP4	-1.404
RNF167	-0.3476
PAK7	1.859
ETV3	-0.52
ATPIF1	0.215833333333333
LOC554207	-1.33566666666667
OR8H1	0.0345
WDFY3	0.919375
DPM1	-0.48625
GPSM1	0.051
WDR92	0.1014
LRP1	0.524333333333333
ANKH	-1.211375
THUMPD3	-0.6465
POLR1B	-0.629
OLFM4	5.26016666666667
RAD9B	0.7125
TSPY2	-2.616
PAX6	-1.7715
SCG2	-1.31
SLC17A6	0.20625
FMO3	2.5605
PADI4	0.022875
TUBB4	-0.5126
NLK	-1.08725
POU4F3	-0.629
SDF4	-0.371
ITGBL1	2.84416666666667
NETO1	-1.40775
TAP2	0.029625
ABBA-1	-0.171
GNAI1	0.7915
VPS4B	0.854
NOPE	-0.1998
GALNT6	2.8785
SESN1	0.759875
GBE1	-1.41655555555556
CLASP1	0.2005
RASGEF1B	0.899625
ACOT11	-0.1815
AFAP1	0.81275
OR2H2	0.1185
DPY19L2P1	-1.64125
DZIP1	-1.5665
SEC22C	0.0400833333333333
GPR161	-0.260916666666667
RNF146	0.61425
WDR74	-0.890625
GALP	-0.3385
PURA	0.82475
DNPEP	0.5805
RP11-78J21.1	-0.1905
ERBB2	1.206375
FANCM	-1.09416666666667
NEO1	0.2405
DDX3Y	-3.9794
RPS3A	0.49275
MXRA7	-0.0603571428571429
LGALS3	-0.220166666666667
GLT8D1	0.1
CFL2	-1.09633333333333
UPB1	0.38425
NAP1L5	-0.237375
CLDN14	0.375
DHX38	-0.95475
BTBD1	-0.6035
TARS2	0.00166666666666667
ABCF1	-0.2417
FCF1	0.787666666666667
LRRC49	0.278
GUCY1B2	-2.2705
C1orf177	0.00850000000000001
SMARCA4	-0.541071428571429
LRP8	-3.04983333333333
TAGLN3	-1.1025
MRPL14	0.266
TTRAP	0.546
ZDHHC20	1.13975
NFE2L3	-1.4115
KIAA1377	1.21675
PALMD	2.4001
TMEM43	0.00249999999999999
TTL	-1.22625
STAT5B	-1.28116666666667
SSB	-0.5045
OR10H5	0.1985
SLC22A13	-1.17975
AKAP3	-0.40175
TIMM23	0.3035
OAS2	1.69433333333333
KIAA0423	0.7505
TRIM11	1.01
GLIS3	1.50975
TMEM50B	1.04933333333333
ARHGEF4	-0.6495
DEGS1	0.793727272727273
TBL1XR1	0.5782
G6PD	-1.94025
SP140	0.7447
MUC17	-0.1725
NUDC	-0.3782
DNAJC5B	2.08016666666667
SCARA3	-0.627166666666667
CPA3	5.99233333333333
BCAT2	0.0575
MFN1	-0.1705
NRG3	0.586
SNX11	-0.31575
PLEKHH1	-1.19733333333333
GPR177	-0.516
HCFC2	0.44
TCAP	-1.098
MOCOS	-2.20025
C14orf93	0.0125
PRDM10	0.500666666666667
SLC16A4	0.0525
SRGAP1	-0.849833333333333
VIP	0.2755
DUSP27	0.170166666666667
LILRA1	0.7403
MC2R	0.24
MGC24103	-2.073
MBTD1	-2.804
FUT11	-0.0755
USP33	0.044
C15orf39	-0.699
MAP3K12	0.14425
PAAF1	-0.542833333333333
BARHL1	0.1705
FLJ16165	-0.3685
PIWIL2	-2.006
SYNE1	0.452916666666667
CMTM4	0.388875
TSPYL1	0.5963
GUF1	-0.623166666666667
TMEM157	2.016
WDR44	0.41925
HIST1H3C	-0.23825
DKFZp666G057	-0.3175
RNPEP	0.6165
GAS2L2	0.253
ADH4	-3.7685
GRPR	3.78933333333333
FBXL17	0.33875
ZBTB10	-0.2665
Gcom1	0.688111111111111
HTRA1	1.8859
ZNF585A	-0.411166666666667
SLC26A2	0.325714285714286
OTOP3	0.3015
WISP1	2.83233333333333
ATP2B4	0.32475
FLJ10769	1.07975
CRAMP1L	0.4025
CHST12	-0.64875
RAB22A	0.0130833333333333
TARDBP	-0.244928571428571
STAU1	-0.57175
CRB3	1.97933333333333
MIG7	-1.9655
