Hybridization REF	TCGA-E2-A15L-01A-11R-A12D-07
CLOCK	0.828666666666667
SLC35A4	0.381
DSG4	0.556
LOC26010	-0.103
NSUN2	-0.237
TMEM86B	-1.6879
C14orf135	-0.14525
KIFC3	-1.23483333333333
PHF5A	-0.2365
NCAPH	-1.54575
STK11IP	0.3595
FLJ42953	1.1295
CCDC19	2.579
ZNF329	-0.201375
TAX1BP1	0.0326666666666667
ZDHHC18	0.0195
C10orf88	0.1975
TMBIM4	1.4534
NMUR1	-0.5145
KIR2DS4	0.31175
C9orf90	0.37525
MGC87631	0.611
KDR	2.9215
ST3GAL2	-1.2545
RLN2	0.402833333333333
HPD	-3.769
MOXD1	-2.65866666666667
PDGFRL	2.17683333333333
SMYD4	-0.653714285714286
FAM103A1	0.267
MFAP4	-1.73916666666667
LOC285141	1.5465
TMEM45B	-0.69675
SMCR7L	-0.738928571428571
GZMH	1.786
CBLN1	-2.44716666666667
CNNM1	-1.05675
PHF17	-0.586833333333333
NUP98	0.0341666666666667
RMI1	0.08425
PTPRS	0.272625
ANKRD57	0.905
CLDN15	-1.429
OR51A2	1.0995
GUCA2B	0.367
DOCK9	1.5035
ITGB1BP1	-0.687
DLG2	0.077625
BRAP	-0.23125
SESN3	2.47225
ZC3H7B	0.1305
FAM101A	2.99483333333333
FKSG24	-0.866
ZYG11B	-0.4445
RFC2	-0.83675
SH2D3A	0.550833333333333
DVL3	0.171916666666667
ADFP	-1.16566666666667
KRIT1	-0.976625
SERTAD3	1.5405
LEFTY2	-3.62075
KRT27	-0.449
SCFD2	-0.0405
MN1	-0.8625
RORA	1.4305
PTPRD	-0.0320000000000001
PIAS2	-0.0936666666666667
CYP4X1	7.63483333333333
FBXL15	0.34975
MYH15	-0.1865
CRX	0.0516666666666666
TBC1D13	-0.0705
SLC22A17	1.77366666666667
PLK2	1.70683333333333
ARHGAP9	0.033
EIF1B	-0.5215
C20orf185	0.000999999999999982
DEFA7P	0.156
PRIM1	-1.93183333333333
CRYAA	-1.188
BACE1	0.399
AGTRL1	0.459
ACAD9	0.114875
GRASP	0.69625
RBP4	-3.5235
TFB2M	0.2855
METTL9	-0.9546
ATP5O	-0.44975
SP100	0.2735
CPSF1	-0.933833333333333
S100A4	-0.58075
LIME1	-1.467
GPR137C	-0.19075
OR2A2	1.4025
C2orf29	-0.74075
NUP188	-0.74625
SDPR	-0.3265
RAI1	0.395625
RPS20	-0.6789
LAMB1	0.00725
ADM2	1.27033333333333
ZNF229	-0.11225
DKFZp434K1815	-0.89575
EPN3	2.16266666666667
CLIC3	-1.49325
MEIG1	-0.05925
HMGB4	0.2675
STARD10	1.79625
KLF8	2.376
EPB41L2	-0.530666666666667
JMJD6	-0.747142857142857
CTSL1	-0.597
GPR27	0.3475
ELAVL4	0.115857142857143
MMP21	0.5825
PPM1B	0.461625
SUV39H1	-1.453
AAMP	0.40175
TUSC4	0.684666666666667
MBD6	0.4915
KLK13	-0.060625
FMNL3	0.353666666666667
TRIM13	0.718916666666667
C15orf5	-1.40275
IQCF1	-0.308333333333333
CACNG8	0.821
SLC35D3	-0.0756666666666667
ZDHHC9	0.1925
ODF3L1	0.07075
C9orf86	-0.3369
TSEN2	-0.73225
C17orf64	0.192666666666667
SEPX1	-0.2991
TSPO	1.23033333333333
SYMPK	-0.5405
ADORA1	-0.28775
TSPAN10	0.917625
SEMA6C	0.0333333333333333
RTTN	-0.0641
IL2	0.273
ARRDC3	-1.30766666666667
TBPL1	-0.7695
STX12	0.79175
MRPL39	-1.014
OR8H3	0.552
IFIT5	0.0415
CASC5	-1.569625
FAM46A	-2.03033333333333
HPCAL1	-1.186125
CYLC1	0.755
VGLL2	-0.13725
C20orf191	0.4625
CDH1	-2.959
ITPA	-0.3085
CCDC101	0.00175
D15Wsu75e	-0.301
EDA	-1.0145
CREG1	0.2405
OR7G2	1.111
SAP18	0.865666666666667
IFIT1	-0.84225
CALML3	1.592
FLJ37440	1.004
FNDC5	-0.46475
SERPINB6	0.251214285714286
JUNB	1.5462
SYS1	1.11875
SCN2A	0.15
ZKSCAN5	-0.7494
WNT7A	-0.152666666666667
TSHZ3	2.40075
RNF148	-0.00974999999999999
H6PD	0.435125
CAD	-1.31
ZNF449	0.18025
DOCK10	-0.1155
FAIM2	0.0196666666666666
HEXDC	0.355
PRB1	0.63275
C14orf148	-0.518
ETHE1	1.03975
IRF5	-0.5428
GNMT	1.773
MGC16291	-1.800625
RPAIN	-0.290928571428571
CAGE1	-0.239
CNTNAP3	-2.5955
ACTR1B	-0.30575
EEF1E1	-1.3895
MSX1	-0.66125
ESF1	-0.7509
HSPC171	-0.598
MRPL2	-0.882333333333333
RDH12	-0.786833333333333
CELP	0.2935
METRNL	-0.158
C10orf116	4.36433333333333
C19orf48	-1.385
ZNF346	-0.211625
NCR1	-0.992
C10orf64	0.6195
CD52	-0.0825
VPS18	0.568875
AP4S1	-0.146333333333333
NPBWR1	1.0835
TPK1	1.308
UBA52	-0.815333333333333
RIPK1	0.533333333333333
CPNE3	0.1887
HSPC159	0.219125
C8orf38	0.945
LRRC4B	0.09
PARP10	0.8962
ANKRD50	1.15625
CXCL9	5.50725
FGF18	-0.511181818181818
EIF2A	-0.47975
SLC20A2	1.63716666666667
KIAA1549	0.0866666666666667
SPINT1	2.2811
ZNF584	-0.0705
CRBN	0.679666666666667
ABCF3	-0.250666666666667
NCBP1	-0.5855
PLA2G4F	1.13833333333333
PCDH10	-0.793125
TTC21A	0.41425
C20orf144	0.647
FGFR1OP2	-0.710166666666667
SLC9A1	0.591
CHRND	-0.0475
FOXF1	-1.4175
KIAA1467	2.1815
TPO	-1.6255
LTF	3.73978571428571
DNAJB9	0.06825
MRPS27	0.17025
bA16L21.2.1	0.02325
WBP2	0.507166666666667
MRGPRX3	-1.734
PRPF18	0.65425
C10orf58	-0.32975
SMOC1	-3.2839
ADAT3	0.421
TMEM138	-0.417
TMEM131	0.33725
TIMM8B	0.031
MYH7	-0.7158
ST6GAL2	1.36825
KIF1C	0.2885
SUHW2	-1.4655
PAPSS1	0.422
CABP2	0.2045
HOXA4	-1.61475
ELF2	0.53425
SEMA3D	1.0495
MC5R	-0.364
OGFR	0.355
FLJ30092	0.150166666666667
TGFA	-2.1418
MMP17	0.8935
KIF15	-1.595
CHIA	0.14725
CATSPER3	0.52675
CEACAM7	1.59608333333333
PADI2	0.94
HOXA9	-0.0138333333333333
LNX2	1.06166666666667
TMEM144	2.457
HIF1AN	0.50825
METTL7A	-1.1033
C6orf165	2.55883333333333
KIAA1468	0.417
DSG3	0.4925
ZNF180	0.472666666666667
EIF4E3	1.727375
SLC46A1	0.582375
DKK1	-6.79066666666667
ZNF205	0.825833333333333
LOC162073	1.16455555555556
COX7A1	5.609
MAGEA1	-5.53966666666667
NEDD8	-0.381833333333333
KLHDC5	0.124666666666667
C3orf19	0.608666666666667
MRPS2	-0.8525
POLR3H	0.0976428571428571
ABHD11	0.6273
TMEM17	1.066
PAIP2B	-0.1997
MAT1A	-5.42225
LGI3	-0.24775
THUMPD2	0.23125
TKTL2	-0.735
XAGE3	-2.5535
CALM3	0.713916666666667
C6orf136	-0.528
KCNC4	0.938666666666667
RGS9	-0.3365
ACIN1	-0.705666666666667
SPATS1	-0.51525
XKR8	-0.0275
FAM84A	1.13883333333333
MS4A7	4.95436363636364
AGXT2L2	0.35475
OR1F1	-0.028
SMAP1L	0.132666666666667
IPO11	0.6975
ZC3H11A	0.4215625
C1orf151	0.362375
RNASEH2A	-1.11325
CCR10	-1.147
TXNDC11	0.447
TMEM112	0.33575
MAP1B	-1.19764285714286
NVL	0.22275
PKM2	-1.0858
ARC	-0.39925
NUP54	-0.43
PPFIBP2	1.74833333333333
STAT2	0.825875
PTAFR	1.09883333333333
ROBO2	-0.22675
RNF40	0.149
CCDC135	-0.652666666666667
IFT81	0.0415
MORF4	0.45925
TM7SF3	0.0445
OR10H3	-0.1475
ABP1	-0.357875
CHRD	2.2815
PLEKHA8	-0.7625
NCALD	0.774583333333333
OR5AK2	0.30275
ACCN1	-0.2405
SLITRK1	-0.558666666666667
ARMET	-0.0365
C9orf52	1.04675
REEP4	-0.867
MTSS1	0.698375
ADH1B	2.14366666666667
DLD	-0.35425
CDK5	-0.342
PPFIA1	-0.1883125
WFDC3	0.9705
DNAJB12	0.568285714285714
RANGRF	0.2195
MLANA	-4.88175
AMY2B	-0.5725
KIAA0319	-1.6985
RPS7	-0.974
JAK3	-0.7219
ARFGEF1	0.78325
CXCL5	0.512166666666667
TRAPPC4	-0.23875
CETN2	0.71275
HSPC111	-1.23325
RHOBTB3	-0.4158
PHLPP	-0.2625
RGS10	1.21425
TMEM58	0.68325
CHERP	-0.349875
HSP90AB3P	-0.5485
FSTL3	0.564333333333333
PEX11A	1.4055
OR5V1	0.569
FCN3	1.331
PTPN3	0.951625
NPTX1	-4.931
C21orf84	-1.60875
C11orf51	-0.08075
ZBED2	-0.13875
FLJ90757	0.34725
NPY2R	2.4555
PLD3	0.21975
SYT17	3.1845
SGSM2	0.39725
OR1A2	0.0765
FOXP1	1.5715
SLC5A1	1.358
POFUT1	-0.5207
EPHB6	-3.50933333333333
MYO1G	-1.530875
STAC	-2.4045
KLHL17	-0.2175
RGMA	-0.5301
TJP2	-0.5124
FAM114A1	0.688166666666667
SERINC1	1.47816666666667
SLC9A8	0.114375
PEX19	0.6535
EDN2	4.48425
PSMD7	-1.37877777777778
C3orf41	-2.885
UQCR	-0.283625
PPP1R3C	-0.29175
LRP4	-2.38966666666667
TM2D1	0.4775
TTC17	0.0764375
C4BPB	-3.979
CCL25	0.949
ZNF253	0.0153333333333333
CHRNA9	-3.06
SOX11	-0.6835
HIVEP3	0.95
CGN	2.52041666666667
C3orf35	-0.14225
PKD2L1	3.115
SYVN1	0.165625
PDE8B	0.2275
LOC439951	1.07575
LTC4S	2.65333333333333
MIF4GD	0.857166666666667
SMARCA2	1.82825
TUBGCP6	0.101666666666667
CABLES1	0.430625
C16orf77	0.588333333333333
ZNF791	0.0215
FUT5	-1.4855
ADH6	-1.97783333333333
P4HB	0.44225
CLDND2	-0.7665
ALKBH8	0.1625
PLAC4	-2.52
F11R	0.623142857142857
MGC35295	0.654333333333333
PDZD4	-0.225333333333333
LOC389073	0.297666666666667
FAM80B	-0.437333333333333
PSMB1	-0.431625
TXN	-0.866
VIPR1	2.3764
WBSCR18	0.1351
EXOSC6	-0.8935
ACTA2	4.8055
SP5	-1.86375
ANKRD1	-1.4515
DDR1	1.8529
ATP6V1D	0.24925
PTGS1	-1.13683333333333
RNF157	-0.72475
DCC	1.03233333333333
SPAG7	0.3125
FBXO18	0.30875
UBE3C	-0.0259
HOXC6	0.205
LRP2BP	0.3618
MYST2	-0.0355
PDSS2	0.49525
ATE1	0.1355
ARAF	-0.03625
KLF10	0.408
PLA2G2E	-0.25325
ASCL1	-0.841166666666667
TSNAXIP1	1.8505
FAM131B	0.0788571428571429
IFNA10	0.35
NUP43	-0.60275
FAM44B	-0.212375
L1TD1	-5.7215
NMD3	-0.848090909090909
C18orf54	-1.4952
PHOSPHO1	-0.993
RAG2	-2.793
EMILIN3	-0.5055
METTL3	-0.48875
VPS13C	0.141875
REXO2	-0.6725
ANXA4	-0.006
CA1	-1.15925
DCP1B	0.15825
TULP3	-0.566333333333333
ATP2A2	-0.241642857142857
ATIC	-0.0855
ADAM15	-0.2315
NPL	0.820666666666667
LGR4	-1.765875
UEVLD	0.738333333333333
GAB1	1.49375
SNAI2	-0.0306666666666667
ZGPAT	-0.0265
SNF1LK	0.384125
DLEU1	-0.72725
UBE2Q1	0.564125
ZMYM6	0.1258125
JPH3	-1.65483333333333
FAM38A	-0.38075
PXK	0.307833333333333
DENND2D	2.681
BAX	-1.18808333333333
CP	-4.911
RPL37	0.1565
G6PC3	0.454125
NCOA4	0.542166666666667
LRRC14	-0.226
GORASP1	0.743
FCHO2	1.83225
CYP24A1	-3.5006
FXYD3	1.977625
SMARCAL1	0.38325
ABCB8	0.439333333333333
CCDC44	-0.345
PRDM7	-3.1255
USH1C	-1.453
DNAH5	2.24383333333333
SRF	0.621416666666667
MAL2	2.588
PGPEP1	0.0550833333333333
SIN3B	-0.6615
SEMA3C	1.59866666666667
GRAMD3	2.244
FBXO10	-0.415875
OR5D13	1.1
FLJ31818	-0.232875
CACNA1I	0.581375
S100A13	-0.3945
TP63	0.797142857142857
ANXA11	0.5821
WDR66	1.282375
CSF2RB	-0.0965
IFI44	-1.1325
DACT1	2.359
ANKRD23	-1.407875
ATP5G1	-0.8005
C21orf70	-0.744166666666667
PPWD1	-0.3995
DNAJC13	-0.19125
PAH	-5.91116666666667
PTCH2	1.179
TRMU	-1.2685
CCDC9	0.3195
USP3	0.0813
DCLRE1C	-0.2146
FAM55C	2.1975
FRMD4B	3.23275
CYP2R1	0.19325
RFPL1	-0.1646
XPO5	-0.9985
ARL6IP2	-0.3745
OSBPL5	1.82275
MMP9	3.73554545454545
KIAA0802	0.230625
DHRS2	-4.649
SGEF	1.434875
TXNDC10	-0.6341
EXOC6	1.137
RPS27	0.517833333333333
PNCK	-1.129
FSTL1	-0.078
AACS	0.35475
SLMAP	0.7575
SAMD4A	-0.3812
ABRA	0.6575
SMARCD3	0.60475
PKNOX2	-3.0015
A4GNT	0.3255
C9orf39	-1.291
RALYL	0.96075
MGC33556	-3.152
C10orf25	-0.561
BBOX1	2.94
NHEDC1	0.661
XDH	-0.49825
GCSH	-2.0445
EDN1	1.28616666666667
MTERF	-0.67475
CLK4	0.57675
ZNF799	0.587666666666667
KCNG1	-2.374125
CXCR4	0.329166666666667
PTPRR	-2.50725
IRAK1	-0.428625
LOC401397	-0.82225
TMSB10	-0.0563571428571429
CXCL3	-3.2704
TMC4	2.92325
OR7A10	-1.0845
STYK1	2.3265
CHRNA10	-0.64775
CCNI	1.01625
EP300	0.754214285714286
LOC165186	-0.284333333333333
HIC2	-2.71275
SDR-O	0.1915
OR2W1	0.0295
KCNA6	-0.2875
TRIM74	-2.5075
REEP6	1.85
ATP5G2	0.01675
ERG	0.51175
TMEM42	0.6855
PARN	0.0503333333333333
SOD2	-0.577875
DIRAS1	-0.73
PNPT1	-1.26075
JOSD3	-1.235
hCG_40738	-0.2985
PDE1C	-1.698
SEMA4D	0.15975
AGPAT1	-0.152
NOSTRIN	2.5865
MAP3K3	-0.761666666666667
MAX	0.369
CAPS	1.40483333333333
SERPINA12	-0.8895
OSBPL8	-0.260625
RICS	2.2047
NR4A2	1.38833333333333
PPCS	1.3485
LONP1	-0.979
SCYL3	1.2875
HERC2P2	-1.359
FIBCD1	-1.2045
C15orf41	-1.68825
DMC1	-1.10883333333333
C20orf27	-1.3995
RPS6KA5	0.8417
FAHD1	-0.431
SLC12A4	-0.12525
BRCA1	-0.838916666666667
GBL	-0.1855
SLK	0.3755
NUDT9P1	-0.975
NOXO1	1.3275
USP52	-0.563
BAZ1B	-0.076875
SLCO2B1	2.985
BBS12	1.22916666666667
LRGUK	0.5295
TERF2IP	-0.17575
COL1A1	5.566
KIAA0090	0.453625
GRK5	-0.287333333333333
AP1S2	-1.66
TMEM52	-0.4345
CA11	-0.131375
OR4A15	0.2195
ACBD3	1.4661
SPAG11B	0.211142857142857
PRDM2	1.6853
FOXP3	0.52225
SMYD3	-0.1174
LOC389199	0.8735
LGI2	0.576833333333333
NAPE-PLD	-0.5033
ANKRD6	1.846
WDR45	0.650166666666667
SHROOM1	0.344
PSCD3	0.806
PYY	0.688
KCNC1	-1.452
ARHGEF9	0.5464
OR8J1	0.43975
GPR55	0.0341666666666667
NS3BP	-1.719
C10orf22	0.413333333333333
NAT8L	1.50425
DUSP4	2.14366666666667
FOXM1	-1.53033333333333
GRAMD2	0.9373
ZBTB48	-0.327666666666667
BUD31	-0.7955
PABPC5	0.8735
CCDC41	-0.15575
FBXO11	0.0283333333333333
C6orf148	-1.305
RFXAP	-1.1475
C6orf15	-0.0763333333333333
CDK8	-1.12116666666667
C6orf70	0.786625
TESSP2	1.294
ALG2	0.064
PPP1R3D	1.278
TPM3	0.155111111111111
SYT13	-1.06725
EPB42	-0.617
CETN3	-0.26875
PRY	-1.578
NTHL1	0.331
POLR2B	0.132
RPS28	0.0995833333333333
P2RX3	0.51425
LYZL4	0.11
WBP4	-0.00659999999999999
PMM1	-0.24875
C11orf79	0.10225
CBLL1	-0.4485
IL1F10	0.0823333333333333
VAX2	-0.567
SETDB1	0.189
LRAP	0.125833333333333
GCLM	-0.705833333333333
CPEB3	1.74075
PPM1A	0.77475
INTS1	-0.38575
CAMTA1	-0.18225
SAMSN1	-1.69375
LOC158830	-4.07683333333333
GMPPA	-0.138875
AIPL1	0.2185
IL24	-0.810818181818182
BDKRB1	-2.46683333333333
MLF1	0.9143
TAF12	-0.273
ID1	-3.2605
THADA	0.36125
PIK3CB	-0.53525
OR4N5	1.018
TBC1D17	-0.482333333333333
COX8A	-0.51225
CDCA4	-0.5605
C2orf44	-1.05725
ZNF534	-0.725
IMMP1L	0.27975
NIPSNAP3B	0.1935
FTMT	-0.199125
PWP2	-0.7645
MMP15	-1.1517
DNAH11	-0.83075
MTMR14	0.122375
DNAL4	1.5375
IPP	0.3305
TMEM59	1.238625
C1orf157	0.097
RGS4	1.1345
DDX18	-0.767666666666667
SNX6	0.01225
ZNHIT2	0.483166666666667
NCDN	0.226333333333333
FLJ33534	-0.90925
RAG1	-2.10275
OR4D10	0.236
PTPN5	-0.0121666666666667
POMT1	0.12225
LRRC8A	0.2121
CYP1A1	-1.59625
CAPN1	0.0405
DDHD2	-0.497375
GRIK2	-0.546333333333333
GNRHR	0.14825
PPBP	0.341
HTR3A	-1.089
SLITRK4	0.0895
ANKRD49	-0.2365
BTF3	1.4493
SARS	-0.12575
C13orf18	0.386166666666667
CACNB1	-0.482571428571428
QKI	0.1105
SETMAR	1.483125
MAN2B1	0.283
EML3	-0.2985
ACADL	0.123333333333333
OFD1	-0.4515
DEFB114	3.004
CGA	-3.4289
PEX16	-0.0128333333333333
LRRC10	-0.6285
GNG12	0.3295
C1orf152	0.1665
CHRM1	0.534
CD53	-0.1995
DBH	-0.83275
TFAP2B	4.72125
HIST1H2BJ	-1.3485
FAM46D	-0.028
TMEM11	-0.21625
C3orf32	-3.47825
PCCB	0.121875
IPO13	0.20975
C6orf105	-2.92375
COMMD5	0.632
SUV420H1	-0.1283
LTBR	1.06
ARHGAP15	-1.614875
HDHD2	0.71
TDRKH	-0.207
LOC401052	2.738
PSG4	-1.007
GNB4	-0.7136
SPATA4	2.18775
SLC9A3	-0.4875
OSBP	0.504333333333333
NBPF3	0.357583333333333
DOCK11	-0.9155
SLC39A5	-1.908
PRR5	0.9024
C10orf63	0.483875
SMTNL2	-1.53475
ADRA1A	1.017
ASAH1	3.9555
DOM3Z	0.1425
GIPR	0.858833333333333
AHI1	0.487833333333333
NADSYN1	-0.230333333333333
RGS14	0.1016
IL18BP	0.1876
RTN4RL1	1.51916666666667
ARMC6	-0.5855
PSMD5	0.369666666666667
HK3	1.817
OR4S1	0.44175
RSU1	0.6008
MAD2L1	-1.60988888888889
EIF4A3	-0.167
DLEC1	-0.718166666666667
E4F1	-0.221833333333333
CHMP2B	0.7697
CAMSAP1	-0.48875
RPS21	-1.3225
ARID5A	0.58575
UBE2N	-0.036
IGSF8	0.872333333333333
MAGEB6	-2.516
ACAD11	-1.8226
MGC4172	-0.702
LMO4	-1.22625
KLKB1	-0.095
HP	-2.3395
HDAC3	0.0885
SCHIP1	0.83225
CLCA1	1.047
OLFML2A	1.978875
C1orf112	-1.05325
KIF19	0.0804166666666667
HAPLN4	-0.1159
CXCR7	0.257
GOT2	-0.3528
RAB38	1.215875
DCX	-1.164
PPM1H	0.104583333333333
NFYC	0.69125
KIN	-0.1485
ZNF228	1.58525
PLSCR4	2.34433333333333
HIG2	-0.88725
FAM79B	7.492
C21orf86	-0.3907
KCNK10	-1.05325
ZNF738	-0.522
FSTL5	-1.0374
OR6A2	0.4785
OTOA	1.15
EXOC1	-0.107625
AHRR	-3.016625
PDAP1	-1.70608333333333
C19orf6	-0.279625
ZAN	0.37175
LY6G6E	0.326
EIF4E2	-0.50725
C20orf198	-0.1
ZNF324	0.10925
CYP3A5	-4.42333333333333
ENTPD7	2.26133333333333
MBOAT5	-0.0195
GJB5	2.099
TTC13	-0.0965
S100Z	-1.484
KIAA0664	-0.3825
PDGFRB	2.736
IL17D	-1.1345
OR56B4	0.7985
RDX	-2.17416666666667
SLC34A3	0.7225
IL28B	-0.022
JUND	0.19275
CHRNB1	-0.509
CAMK2B	-0.6165
FETUB	-2.62425
CXorf23	0.493625
MRTO4	-1.279125
TTC3	1.2225
NDUFB8	-0.4735
EDG2	0.07525
SEMA3G	-0.053
IL23A	-1.17275
GRHL1	1.2147
LOC441054	-0.335
WDR65	1.797375
PSTK	-0.213
STOML3	0.3745
R3HDM2	0.1114
C5	-1.97325
SLC2A10	1.62833333333333
C3orf22	0.5585
PAQR3	0.308076923076923
ANKRD26	-0.184916666666667
HCRTR1	0.3475
LOC399947	0.2295
PSD2	0.03675
TIGD2	-0.4105
SCRN1	-2.582
COQ10A	-0.737
DDI2	0.136
METTL7B	-0.8935
UCN2	0.74275
FAM92A3	-0.81225
WDR16	0.946
ZNF511	-0.344666666666667
ZMYM5	-0.502125
POLR3G	-2.78125
ZNF586	0.19225
C1orf49	0.0376666666666667
TANK	0.612166666666667
RCAN1	-0.8445
PELI3	1.08466666666667
LIMD2	-1.16858333333333
TMEM189	-0.5295
NTN4	1.689
LOC151300	0.337
CLEC2A	-1.0185
GPR135	-0.230125
DPYSL4	-2.5222
JAK2	-0.188666666666667
TSHZ1	0.623
TM9SF4	-0.406
ZNF264	1.07316666666667
SIRPG	0.1375
BICD1	0.4985
HERC6	1.42316666666667
METTL5	-1.1015
CASP1	0.1155
PRRT1	-0.298
PLA2G4C	2.27083333333333
ICA1L	-0.645714285714286
TPTE2	-0.737
OTUD7A	0.956666666666667
AQP11	-1.20775
APOA2	-4.8281
KALRN	-0.8584
SECTM1	-0.398833333333333
IFNAR1	0.057
TALDO1	0.020375
RAB11FIP4	-0.171666666666667
EIF5A	-2.0845
FAM49A	2.7515
NEGR1	0.4368
YTHDC2	0.729125
EHD2	-0.104875
NCF1	1.3354
SCRT2	0.6175
HOXA5	-1.97533333333333
NUP133	0.2815
FGF12	-1.19146666666667
SLMO2	-0.533125
SNTA1	-0.131125
CACNG2	0.143142857142857
GCM1	1.00175
ELF1	0.833833333333333
TLR5	3.31625
TCFL5	-0.80675
RBMY2FP	-0.109
LOC100125556	0.196
FAM129B	0.330875
MAP3K7IP1	0.0995
NCK2	0.2035
OXA1L	-0.5785
FMO9P	-0.2145
ZSCAN12	-0.04275
PSMD12	-0.75575
HSCB	0.1845
CLDN10	-2.35075
MGC13053	-0.41025
HPCAL4	-0.850666666666667
ASZ1	-1.1005
MEX3D	0.338583333333333
NFAT5	-0.9662
CSPG4LYP1	-0.568833333333333
FBXO3	1.1036
DVL1	-0.0956666666666667
CMKLR1	1.37283333333333
TYMS	-1.75525
PEF1	1.215
ZNF750	1.54916666666667
MCM5	-0.6725
MEGF11	-0.9645
KCNK7	-0.1495
PTP4A3	-0.2855
C1QTNF2	-0.772166666666667
OR6S1	0.3425
FAM122B	-1.041
ZNF551	-0.606
HBQ1	-2.608
GEMIN6	-0.636
ARSK	0.40575
RBP7	0.7485
CPNE9	0.5035
DSC1	0.3555
LOC730112	-1.0195
MAP2K4	1.1845
HS3ST5	-1.4435
EPB41L3	-1.09925
TEKT2	1.77225
CDKN2B	0.70175
ZNF480	-0.76075
MAP3K6	1.116
MAP6	1.58516666666667
HN1	-0.6503
OR2L13	0.201833333333333
SLC16A11	0.339
FAM96A	-0.457
APOL1	-0.59025
C5orf32	0.17925
RTP1	-0.0158
RNF175	0.11575
ZBTB41	1.951
AHCTF1	-0.2328
SAE2	-0.2488
ITGA2	-0.974583333333333
MME	-0.236833333333333
CCDC14	-0.445
MAST4	2.57007142857143
KRT33B	-0.3165
KCTD2	0.592666666666667
WDR26	0.618666666666667
MFI2	0.052875
NR4A3	0.41025
ARSA	1.91475
UNKL	-0.8295
SULT6B1	-0.3225
CCNA2	-2.339
SOX15	0.44
PPAPDC1B	0.378916666666667
C19orf44	0.355
MCAT	0.541333333333333
ARID1B	0.2875
OR52N1	1.452
C12orf48	-1.696
MAGI1	0.272
NIPA2	-0.48375
GBX2	-1.2825
RSHL3	0.26575
RAVER1	0.3855
C15orf17	0.07925
SLC30A2	-0.0652499999999999
ZNF518	-0.723
PCYT1B	-1.252
C10orf114	-1.2825
EIF3H	0.0813333333333333
SLC25A39	-0.882833333333333
KIF1B	-0.615125
AMOTL2	0.28525
C6orf120	0.428625
PSRC1	-1.539
PLA2G10	1.937375
KIF5C	1.90375
MRPL37	-0.449
C17orf62	0.3515
C9orf135	-2.458
DUSP10	0.4509
CLCNKB	0.5755
PSMA5	-0.21875
C8orf53	-0.34575
AMPD3	0.147166666666667
PIAS1	-0.26
ADCYAP1R1	-0.3105
GYLTL1B	-0.4435
CDH20	-0.509833333333333
FBXO7	-0.4875
TMEM134	0.607
FLJ14213	1.3805
ZNF3	-0.36275
LRRFIP1	0.932625
CNOT2	0.172
ABI3	2.084
ALDH5A1	-0.6205
HNT	4.1089
SERPINA4	-2.6035
TK2	0.736166666666667
STMN1	-1.74411111111111
GUCA2A	0.1635
GALNT10	1.41157142857143
DPP6	-0.792578947368421
C9orf93	-0.060625
PRELID2	-0.92875
STK39	0.641375
SFTPA1	-1.40625
CKS2	-1.74811111111111
RHO	0.5045
C20orf135	-0.46625
XKR3	-2.2355
CR1	-0.266125
RPS6KA2	0.343857142857143
C20orf112	0.068
MRPL22	-0.05225
C4orf23	0.2565
GADD45B	2.111
KLHDC1	1.377
C2orf48	-1.9035
ZNF287	1.8315
DAAM2	-0.7235
DPPA2	-2.62616666666667
TCTN3	0.738333333333333
DNAJB11	0.17125
FPR1	3.9935
DEFB4	0.0605
PTCD2	0.3128
SMOC2	5.46
CABP7	0.30775
SERPINB11	-1.2545
MAGEF1	0.477
NDE1	0.0478333333333333
ITGA10	0.7065
FSHB	0.083
ANXA2	1.211125
HORMAD2	-0.0857499999999999
HLCS	0.933
MCF2L	1.89516666666667
FH	-0.093
TBC1D24	0.7825
KIAA1505	1.68475
LGALS2	-3.6635
CNBD1	-0.0685
SYNPO2L	-0.522
PTPN23	0.201571428571429
C1orf183	-0.983333333333333
MAGEA8	-2.9275
DGCR8	-1.72425
GSR	-1.31125
PAQR7	0.4145
ZNF676	-0.75075
CACNA1C	0.5742
SP7	1.26
PDCD6	0.1515
NRN1L	-1.6605
BRI3BP	-0.291
KIAA1183	0.8405
ASB4	0.60925
CCL23	-0.0684444444444445
OBSL1	-0.88775
SLC12A7	1.46666666666667
KIAA0240	0.719125
CD1B	-3.85566666666667
FCGR2A	1.5545
MDC1	-1.0035
HTR1A	0.404333333333333
OCEL1	0.34375
ATP11B	-1.4366
FBXO34	0.0525
PCDH12	3.9795
RPE	-0.66975
C17orf74	0.5355
CSDC2	0.568666666666667
PET112L	-0.057
TMBIM1	-0.106375
P2RXL1	0.14375
TCHP	-0.7625
TRMT1	-1.374
F2RL2	0.286916666666667
LRRC32	3.82483333333333
IMPG2	0.322
BGLAP	-0.0665
LOC493869	0.321666666666667
MRAS	1.483125
SLC35F5	0.0755
CBWD1	0.082
AXL	-0.844125
ATP2C2	3.10175
TELO2	-0.629
PNPLA3	-2.376
PCDHB14	0.5405
CD276	0.57175
KRT80	-2.189875
DUSP28	0.9315
CSNK1E	0.1825
SRP14	0.836
KCNQ4	0.00849999999999995
KRT72	0.1466
CCDC117	0.55425
C6orf89	0.294833333333333
TUBB2B	-2.50583333333333
RTN4IP1	-0.394
