Hybridization REF	TCGA-C8-A1HG-01A-11R-A137-07
C12orf48	-0.833
MAGI1	-1.0765
NIPA2	-0.277
GBX2	-1.8135
RSHL3	1.315
RAVER1	-0.0991666666666667
C15orf17	0.0205
SLC30A2	1.213625
ZNF518	-0.09475
PCYT1B	-1.498
C10orf114	-1.8735
EIF3H	1.48191666666667
SLC25A39	0.148666666666667
KIF1B	-0.84025
AMOTL2	-1.17275
C6orf120	0.139
PSRC1	-1.348
PLA2G10	3.508875
KIF5C	0.660125
MRPL37	-0.7815
C17orf62	0.415333333333333
C9orf135	-1.87783333333333
DUSP10	0.14
CLCNKB	0.3885
PSMA5	0.443625
C8orf53	1.94825
AMPD3	0.765333333333333
PIAS1	-0.86775
ADCYAP1R1	0.357
GYLTL1B	-0.25175
CDH20	-0.1165
FBXO7	0.331
TMEM134	0.905333333333333
FLJ14213	0.761333333333333
ZNF3	-1.011
LRRFIP1	0.0677916666666666
CNOT2	0.402916666666667
ABI3	2.95025
ALDH5A1	-0.528333333333333
HNT	2.9877
SERPINA4	-1.69125
TK2	0.300666666666667
STMN1	-0.715111111111111
GUCA2A	0.2735
GALNT10	-0.00521428571428572
DPP6	-0.7851
C9orf93	-0.920125
PRELID2	-1.951375
STK39	0.18775
SFTPA1	-1.33325
CKS2	0.111666666666667
RHO	0.227875
C20orf135	-0.2875
XKR3	-2.3165
CR1	0.868875
RPS6KA2	0.163285714285714
C20orf112	0.73825
MRPL22	0.44775
C4orf23	-0.088
GADD45B	1.281
KLHDC1	1.4835
C2orf48	-1.9865
ZNF287	1.2195
DAAM2	-1.41725
DPPA2	-3.37316666666667
TCTN3	0.499666666666667
DNAJB11	0.9705
FPR1	3.79625
DEFB4	-0.065
PTCD2	-0.6094
SMOC2	4.287
CABP7	1.324
SERPINB11	0.09
MAGEF1	1.3445
NDE1	-0.624
ITGA10	-0.345
FSHB	-0.0185
ANXA2	0.042375
HORMAD2	0.3105
HLCS	0.348
MCF2L	1.46191666666667
FH	-0.486
TBC1D24	1.6435
KIAA1505	1.5765
LGALS2	0.939
CNBD1	-0.351
SYNPO2L	-1.4375
PTPN23	-0.235857142857143
C1orf183	-0.316333333333333
MAGEA8	1.21
DGCR8	-1.613375
GSR	-1.22175
PAQR7	0.18525
ZNF676	-0.32
CACNA1C	0.0719
SP7	-0.09
PDCD6	-0.31225
NRN1L	-0.5
BRI3BP	0.102416666666667
KIAA1183	0.65225
ASB4	0.357
CCL23	1.6966
OBSL1	-1.24775
SLC12A7	0.184
KIAA0240	1.141125
CD1B	-1.88
FCGR2A	1.713125
MDC1	0.22025
HTR1A	-0.223
OCEL1	0.377
ATP11B	-0.2731875
FBXO34	0.442666666666667
PCDH12	3.08483333333333
RPE	-0.5855
C17orf74	-0.3465
CSDC2	0.331666666666667
PET112L	0.2875
TMBIM1	-0.25575
P2RXL1	0.15225
TCHP	-0.052
TRMT1	-0.600166666666667
F2RL2	0.63225
LRRC32	2.58333333333333
IMPG2	0.5085
BGLAP	0.127
LOC493869	-1.3775
MRAS	1.0095
SLC35F5	-0.0035
CBWD1	0.603
AXL	-1.988125
ATP2C2	0.0295
TELO2	0.129
PNPLA3	2.28775
PCDHB14	0.03375
CD276	0.892
KRT80	-1.46525
DUSP28	-0.2275
CSNK1E	-0.158666666666667
SRP14	1.506
KCNQ4	-0.0375
KRT72	0.0885
CCDC117	2.48825
C6orf89	-0.0534444444444444
TUBB2B	-2.998
RTN4IP1	-0.555
CR1L	-2.445
CEND1	0.36025
C12orf41	-0.951166666666666
RNF31	0.367
UBN1	0.721833333333333
C17orf32	1.501875
SLC5A7	-0.24825
GPR92	1.102
ESAM	2.1057
CTNNA1	0.431
HRBL	0.2297
CBX4	0.25875
TMEM182	-0.72925
SH3TC2	-1.835
IL10	1.54233333333333
PXMP4	1.5005
RNF167	0.0918
PAK7	0.654
ETV3	-0.231
ATPIF1	0.443
LOC554207	-1.24483333333333
OR8H1	0.435
WDFY3	0.88775
DPM1	-0.55425
GPSM1	0.269
WDR92	-0.2673
LRP1	-0.164166666666667
ANKH	0.26025
THUMPD3	-1.01375
POLR1B	-0.696
OLFM4	6.83316666666667
RAD9B	1.02325
TSPY2	-2.877
PAX6	-2.45166666666667
SCG2	-2.144
SLC17A6	0.48875
FMO3	3.314125
PADI4	-0.026875
TUBB4	-0.4319
NLK	-0.06225
POU4F3	-0.147
SDF4	-0.17575
ITGBL1	2.73933333333333
NETO1	-1.789
TAP2	0.528875
ABBA-1	-0.56175
GNAI1	-1.34275
VPS4B	1.61525
NOPE	-0.8267
GALNT6	0.417666666666667
SESN1	-0.1885
GBE1	-2.24344444444444
CLASP1	-0.074
RASGEF1B	1.00075
ACOT11	-0.260428571428571
AFAP1	0.684
OR2H2	0.40725
DPY19L2P1	-0.40925
DZIP1	-1.78275
SEC22C	-0.30725
GPR161	-1.10966666666667
RNF146	0.01025
WDR74	-0.873
GALP	-0.3315
PURA	0.1185
DNPEP	0.00791666666666667
RP11-78J21.1	-0.9255
ERBB2	0.61325
FANCM	-0.863916666666667
NEO1	0.554666666666667
DDX3Y	-4.6876
RPS3A	-0.327
MXRA7	0.0108571428571428
LGALS3	-1.6045
GLT8D1	-0.4645
CFL2	-1.05233333333333
UPB1	0.2885
NAP1L5	0.035375
CLDN14	-0.118
DHX38	-1.15775
BTBD1	0.493
TARS2	-0.355333333333333
ABCF1	0.3509
FCF1	-0.4075
LRRC49	1.5335
GUCY1B2	-0.904
C1orf177	0.270666666666667
SMARCA4	-0.840285714285714
LRP8	0.115333333333333
TAGLN3	-1.169
MRPL14	-0.048
TTRAP	-0.53075
ZDHHC20	1.1435
NFE2L3	-2.0965
KIAA1377	1.5655
PALMD	0.3057
TMEM43	0.0005
TTL	-0.848
STAT5B	-1.01766666666667
SSB	-0.365875
OR10H5	0.3695
SLC22A13	-0.83
AKAP3	-0.031
TIMM23	0.2185
OAS2	2.55391666666667
KIAA0423	0.52825
TRIM11	0.256166666666667
GLIS3	1.316875
TMEM50B	1.02183333333333
ARHGEF4	-1.39625
DEGS1	-0.0236363636363636
TBL1XR1	0.944466666666667
G6PD	-0.82125
SP140	1.3936
MUC17	-0.170928571428571
NUDC	0.4074
DNAJC5B	3.66383333333333
SCARA3	-1.71666666666667
CPA3	5.033
BCAT2	-0.80075
MFN1	-0.087
NRG3	-0.164
SNX11	0.775
PLEKHH1	-0.625833333333333
GPR177	-2.026
HCFC2	0.0625
TCAP	1.57925
MOCOS	-0.8005
C14orf93	0.1325
PRDM10	-0.281333333333333
SLC16A4	-1.31466666666667
SRGAP1	-0.114666666666667
VIP	-0.10975
DUSP27	-0.516
LILRA1	0.5122
MC2R	0.433
MGC24103	-3.20875
MBTD1	-3.468
FUT11	-0.6
USP33	0.4614
C15orf39	-0.27325
MAP3K12	-0.143875
PAAF1	-1.89283333333333
BARHL1	0.265
FLJ16165	0.251
PIWIL2	-2.69825
SYNE1	0.446833333333333
CMTM4	0.895875
TSPYL1	0.4244
GUF1	-0.318166666666667
TMEM157	1.973
WDR44	0.177
HIST1H3C	0.494
DKFZp666G057	2.735
RNPEP	-0.42325
GAS2L2	-0.165833333333333
ADH4	-4.437
GRPR	5.52833333333333
FBXL17	-0.858
ZBTB10	1.20058333333333
Gcom1	0.467611111111111
HTRA1	1.4659
ZNF585A	-0.0748333333333333
SLC26A2	-0.283642857142857
OTOP3	0.678666666666667
WISP1	3.00022222222222
ATP2B4	-1.20758333333333
FLJ10769	0.27825
CRAMP1L	0.385625
CHST12	-0.1915
RAB22A	0.929916666666667
TARDBP	-0.0579285714285714
STAU1	0.1855
CRB3	2.145
MIG7	-1.4305
CHMP1A	-0.787833333333333
ZNF160	-0.525
B3GALT6	0.078125
BARX1	-2.23016666666667
C6orf167	-1.77425
NXNL1	0.4555
DHX29	0.537625
HADHB	-0.4755
PLXNB2	-0.07925
ILDR1	-1.96325
SLC15A3	2.88675
GAS2	-3.25883333333333
C20orf69	-0.05075
NUMB	-0.497
TNIP1	-0.21875
MESP1	-0.223166666666667
PSKH1	-0.06025
NSFL1C	-0.0225
RHOG	-0.29075
HEY1	-1.4575
KNG1	-2.403375
ITGAX	1.8592
LIN9	-0.286
CANT1	0.1805
XRN1	-0.127642857142857
CCDC96	1.6422
HEATR6	-1.29233333333333
GNG7	1.47533333333333
RUNX2	1.3101875
SOX1	-0.0525
FCRL5	2.7123
ZNF99	-0.114375
FAM9A	0.127
SNX22	0.996166666666667
MBNL3	-2.77916666666667
ODC1	-1.7666
ADORA2B	-3.257
NR2F6	-0.36575
ZFYVE16	0.202
SYNJ2BP	-0.7387
POLE	-1.237125
E2F2	-0.487875
THRA	1.15983333333333
PTGES2	-0.109833333333333
HIP1R	-0.494333333333333
TMUB1	-0.242833333333333
ENO3	-2.34375
RSPH10B	0.028
CXorf39	1.366125
IRGC	0.61375
GPR109B	-1.31075
FLJ13305	-0.204
LCE3A	0.377
TNFRSF18	1.31083333333333
DET1	0.81325
TRPM3	-0.243833333333333
C16orf79	-0.6295
FECH	0.660166666666667
RAP2A	0.977833333333333
CRIP1	0.219333333333333
AZIN1	1.336875
SLC7A7	3.798
IL10RA	1.1233
TMEM64	-0.4155
CDC42EP4	0.3522
C16orf58	-0.1097
ARG2	-2.9075
POU5F1P4	-4.2425
FAM62B	-0.41825
DNAH8	-1.4288
ASH2L	0.784625
TSLP	-3.87283333333333
CNTNAP5	-0.2695
TMEM16C	-1.0175
IFNA14	0.569
SLC1A3	1.534625
CABYR	1.383
BCL7B	-0.4508
NUDT13	-1.93633333333333
C13orf28	-0.126
C1orf53	0.027
ARL6IP4	-0.1055
RPL35A	0.58175
EMR3	0.47425
RAB40C	0.794166666666667
SLC41A1	0.112333333333333
LRCH1	-0.40375
LY6G5B	-0.598
FAM124A	0.397714285714286
MGC10981	-3.42
CLIP3	1.0944
MAP4K2	0.434
CHIC1	-0.9885
SULF1	4.07716666666667
C20orf30	0.508928571428572
PRDM5	-1.304125
ELOVL1	0.44
C11orf48	-0.431625
SLC39A10	-1.055
KCNV1	0.4425
ACP1	-1.214
ZMYM2	-1.691625
B3GNT6	0.461166666666667
C9orf69	-0.43125
C2orf15	1.32775
C20orf166	-0.059
HSP90AA6P	-1.9425
EDG7	-1.1535
NEURL	2.0405
LPL	0.0213333333333334
CLEC2D	0.565214285714286
GRRP1	1.6305
CD8B	-1.7628
HIST1H3D	0.471833333333333
SLC6A12	0.8025
FAM27L	-0.0625
CD84	2.1041
RASA1	-0.4205
PHKG1	-0.4625
MAGEA11	-1.554
IMPA1	0.8552
NPM3	-0.7975
RARRES1	4.05825
SH3BP1	0.402625
B3GNTL1	0.101
ARPC5L	0.465166666666667
KLHL26	-0.08
SIM2	-2.508125
GJC1	0.667
C20orf194	-0.5215
EXO1	-1.93025
SLC2A2	-2.38933333333333
LOC285074	-0.21875
LRG1	-0.8065
KIRREL	-0.9095
PIK3R1	0.709857142857143
C4orf34	0.914
MAF	-0.295277777777778
ADCY4	3.583
ZMIZ2	0.6801
SLC46A3	2.67183333333333
STAMBP	-0.169833333333333
CCDC16	0.944
MS4A12	0.346
TCF20	1.0295
LRRC46	1.6
C20orf152	2.1125
MRPS6	-0.30325
ABCB11	0.018
KCNC2	2.3735
CDH19	0.792166666666667
C9orf123	-0.0338333333333333
SSH3	-0.043125
LDLRAD1	-3.113
CCBE1	-0.9765
ZNF135	0.419125
TAAR1	-0.155
WFDC12	0.406
CCDC42	0.249333333333333
FLJ12529	-1.0295
PER1	-1.35966666666667
TIMM50	0.189833333333333
SMARCAD1	-0.226
FAM26C	0.4755
TP53TG3	0.0748333333333333
SH3RF1	0.3132
LMCD1	1.2245
GPR63	0.2555
FLJ21986	-1.97825
AIFM3	0.25725
MICAL1	-0.218333333333333
BLZF1	0.3725
IQCA	3.6195
PCDHGC3	-2.7965
SAC	0.37525
BCL6B	1.762
DDO	-0.1955
MARCO	3.818
DCHS1	0.737
C1orf170	1.53966666666667
CD200R1	1.9555
C22orf15	-0.0795
SEPT11	-0.646166666666667
ADNP	-0.34875
UST	-0.8769
C13orf34	-0.7145
RFFL	1.14392857142857
APBA3	0.8285
C2orf60	-0.4275
CUTL1	-0.0727
PMS1	-0.914
ZNF689	1.387
EIF3E	0.402833333333333
IL9	-0.2385
RPL31	-0.13525
LY9	1.28133333333333
ATP2B3	0.079
KDELR2	0.432166666666667
TFCP2	-0.118875
NLRP12	-0.74
FLJ45422	-0.3505
TLE4	-0.5813
ZNF570	-0.059
FLJ43806	-0.4165
TLK2	-0.610375
CIR	0.73825
MARS2	0.089
COL24A1	-0.28875
SDF2L1	1.3445
HIBADH	-0.4885
IGFBP3	-2.02321428571429
C12orf23	1.304125
PSPC1	-0.09775
C20orf43	-0.1625
TRAV20	0.486
ARHGAP24	0.196625
KIAA1975	0.832125
C1QA	3.6002
DNTT	-4.59083333333333
C10orf6	-0.369
C11orf41	-0.284625
HNRPF	0.718125
COL11A1	6.18833333333333
UBAP2	-0.5465
CDKN2AIPNL	-0.139
C20orf174	5.05
SPRED2	-0.02675
PLA2G12A	0.0356666666666667
ICEBERG	-2.224
SCN10A	-0.0145
C11orf65	0.08875
GBP5	5.429
PITPNC1	-0.2395
POU3F3	-0.256
NCOA7	-0.594
LIN7C	-0.2894
LOC348840	-2.3105
NKX2-2	-3.152
ANKRD13D	0.23925
LOC123688	0.58625
FUT2	0.6955
TAAR8	0.7745
FZD4	-0.18675
PNMA3	-0.986666666666667
OR4L1	0.5815
WIT1	-1.7785
EXOC3L	3.59075
ATPBD4	1.2145
KRBA1	-0.1745
UBXD6	-1.081
HOXB7	-0.487
C7orf23	-0.8665
UNQ338	-0.573
STAB2	0.588
CDC20B	-0.137
IRF9	2.536
CENTG1	1.62841666666667
TNPO2	-0.8855
MCPH1	-0.5445
BMS1P5	-2.36175
SLC26A7	0.9895
HIST1H3J	0.83825
C9orf3	0.5893
LBH	1.256875
MYO1D	0.53625
PTDSS2	0.02625
NFU1	0.843
DEPDC4	-1.13775
WNT7B	0.8914
GLP2R	-0.142166666666667
SETD4	-0.4132
DYNLT3	0.6744
FKBP11	0.566
SESTD1	-0.464666666666667
FLII	-1.0985
RPS16	0.3107
CHPF	-0.3235
CSNK2A1	-0.493166666666667
SUMO1P1	-0.22025
FKBP6	-0.7845
ZNF214	0.960166666666667
TWIST1	0.993833333333333
DDX56	-1.23216666666667
TRAM1L1	2.544
EPO	-2.622
MRPS18B	0.77125
ZNF682	-0.299
RPL14	-0.453
MAFF	-0.49325
LOC51136	0.13475
LY96	0.956
DDX20	-0.16125
ABTB1	0.487333333333333
ARL5A	-0.0871
CCT6A	-0.42075
HEPACAM	-1.14
EHHADH	-1.61516666666667
RBAK	-1.14533333333333
CGB1	-0.077
ITGB5	-0.429
YIPF3	-0.2165
FKBP2	0.2295
NR1D1	-0.0299
TMEM110	0.1715
NEK2	0.0798333333333333
PRAMEF8	-2.393
C20orf52	0.656166666666667
PCDHGA3	-1.7525
VWA3B	0.08375
NDUFA5	0.3245
THAP9	-0.058
FLVCR2	0.114333333333333
AP1S1	-1.72075
SMAD6	-1.73275
SAV1	0.226625
SAT1	0.762875
ZNF251	2.5305
ADAMTS7	0.3741
RPP38	0.10725
C1orf211	0.4735
YPEL2	0.94355
RBMS1	-0.9775
ZNF445	-0.436666666666667
NRXN2	0.213833333333333
PGBD4	-0.39775
UGT2B28	-1.57775
WBSCR16	-0.8443
NLRC3	1.048
ASTL	0.56025
ST6GALNAC1	-3.29475
ZADH2	-0.302125
MLLT4	-0.0259166666666667
ARL6	0.813666666666667
MEF2C	0.43125
CBFA2T3	0.298
AFF3	0.753857142857143
COG7	0.110833333333333
MYB	-1.10833333333333
PLXNA3	0.171
XRCC2	-1.3905
MMS19	-0.568125
ST8SIA5	0.10175
CHPT1	-1.36216666666667
KIAA1712	-0.215875
OR6X1	2.038
ACTR3	-0.03025
UGCG	1.51116666666667
OR4P4	0.9655
ZAP70	-1.88075
LPP	0.45875
ZNF485	0.14475
PTPRCAP	1.0935
IL12RB1	0.74725
ATRX	-0.2028
CHST8	3.35175
C14orf109	-0.33475
ARV1	0.132
NMB	0.150857142857143
COX5A	0.282
EIF6	0.39475
MPPED2	-1.69833333333333
SEMG1	-2.1605
CHRDL1	-0.5795
TRAF3IP2	0.7595
WNK2	0.459
LILRA4	2.63883333333333
LAMA2	3.774
PXT1	-0.331
RLBP1	-3.12375
CD300C	0.27525
SLTM	-0.005625
FLJ10404	-1.24525
APOBEC3D	-1.2895
RENBP	1.29733333333333
ATXN7L1	0.14175
NID1	-0.21425
TUBGCP3	-0.3595
ITIH5	0.0701111111111111
CCDC110	2.24375
C8A	-2.159
MGC87042	-0.737
HOXC13	0.536
TFDP2	-1.64725
HCP5	2.71525
POLI	0.11825
UCN	-1.4595
ZNF764	0.943333333333333
C8orf45	3.127
FHL3	-1.079
SPATA5L1	-0.0355
MMRN2	2.6605
NDST1	-0.2725
COL20A1	-0.140166666666667
ZNF248	-0.453666666666667
PELP1	-0.337166666666667
MBL2	-2.6725
RNF41	0.069
C5orf24	0.69075
THOC5	-0.236875
SERINC3	0.802
RP11-151A6.2	-0.2055
CDCP2	0.284
HIST1H2AA	0.8715
C11orf75	0.758833333333333
FKBP7	0.5465
DDOST	-0.24075
GPNMB	1.5885
TTF2	-1.27616666666667
KCNT1	0.631833333333333
SLC39A14	-0.49975
NGRN	0.3614
GPR137B	1.65475
MECP2	0.450375
PSMA1	-0.00624999999999999
C16orf73	-2.01525
TMEM60	0.1065
CSN3	-0.4115
NOS1	0.549666666666667
RAB7L1	-0.0668333333333333
YBX2	0.5165
KIAA1166	-0.64425
FUBP3	0.111166666666667
ABCG1	2.618
ACACA	0.519333333333333
ARL11	0.1669
ATOH1	-1.034
ODF1	-0.0942
CREB3L3	-1.31533333333333
TMEM127	1.45928571428571
DSCAML1	-0.344
PLN	2.38033333333333
LYPLA1	0.663833333333333
PRDM9	-2.24175
SASP	-0.20625
PLUNC	0.178
INTU	-0.12225
HISPPD1	0.11425
LNPEP	0.284
YARS2	-0.8365
APCDD1L	-1.839
ZCCHC4	-0.5
FBXO22	0.404666666666667
TTLL13	0.2075
ZNF669	-0.9235
PTGDR	2.5585
DDX27	0.565
KIAA0409	-0.587
GJB6	0.56925
ASB8	0.02725
PLP2	0.473333333333333
MEPE	0.857
OR10J5	0.783
KRT222P	-0.65425
COQ7	0.610166666666667
C1orf101	1.7425
RERG	2.5355
CHMP5	1.449875
THAP11	-0.05225
ZNF43	-0.1815
ZRANB3	-0.528333333333333
KRT13	-1.052625
MRPL19	-0.25925
RBBP9	-0.061625
SPATA17	1.29375
BXDC5	0.627333333333333
PAFAH1B1	-0.828833333333333
MAGEE1	0.3645
OSTF1	0.5495
KIAA0323	0.360583333333333
TXNDC13	-0.3195
CNTN4	2.8155
LCE1B	1.672
UNQ501	0.6475
ZNF154	-0.44775
C3orf64	-0.13675
SYT5	2.2866
PON1	-0.008
FLJ10357	-0.527875
ATP4A	-0.1535
GNPDA1	0.0875
MGAT1	0.816
C14orf121	1.04075
SLC35B2	-0.59925
MIER3	0.7385
CHEK1	-2.67125
ZNF8	0.146333333333333
TXNDC1	-0.6495
CKB	-2.5828
RTN3	0.550571428571429
FZD2	-1.08566666666667
PART1	-0.376625
PSMB6	0.04425
PCDHB8	-1.471
PHC3	-0.2543
PPP1R8	-0.509833333333333
NOVA2	1.74866666666667
TNFRSF11B	-4.51825
GOLPH3	0.883166666666667
UBLCP1	0.13675
SUHW3	0.37375
TTLL1	1.785
OPN4	0.459
OR13G1	0.3075
ZPBP2	0.0795
HSD17B11	-1.700875
C9orf50	0.2695
DHDDS	0.0835
CTSW	1.8877
NEFM	-1.96766666666667
MRPL28	-0.06875
SYN1	0.522666666666667
PIGV	0.5565
ZIM2	-1.40825
APBB1	0.241333333333333
SND1	-0.49775
C1orf123	-0.399833333333333
CHD3	-1.20225
BHLHB8	0.23425
RNASE2	0.300333333333333
BCAP31	1.401
SLC25A44	0.361833333333333
CHD6	-0.8114
PIB5PA	1.56853846153846
SELS	1.45925
LOC541471	-0.35125
FAT2	-0.5515
ZNF81	0.203
OR4C16	0.497
FLJ10081	0.0843
LRRC4	1.036
CS	-0.858
N4BP2	-0.629125
IGFBP7	1.8185
ZNF318	0.186666666666667
NDNL2	-0.064375
ZNF609	-0.08425
SIRT4	-0.11975
EXOSC10	-0.4055
ECE2	1.16666666666667
OVGP1	-0.1985
GTPBP3	0.20725
PACS2	-0.251
C19orf36	-0.348
ARL4C	-1.50825
ATG4B	-0.262375
UBQLNL	1.18475
RHOXF2B	-3.372
PLEKHG2	-1.136
GALR1	-0.861
AQP4	-0.648666666666667
HDAC7A	-0.465833333333333
DCUN1D3	0.819
OR8A1	0.0605
CCRN4L	0.7065
CBR4	-0.897666666666667
KIFC1	-1.29216666666667
SLC7A14	-1.4705
LHX5	-0.1015
TRPC7	-0.906
LPXN	0.26775
SERPINA1	-1.893875
RPS13	-1.107
BPIL3	0.211
PRKAA1	-1.898
FADS2	0.6433
ENAH	-0.8070625
PRO1768	0.138
APBA2BP	0.2355
LIPH	-1.37083333333333
C3orf33	0.4605
RCC2	0.577142857142857
ALDH1A2	-3.5809
RNF103	1.9955
AHCY	0.313375
ALG12	0.885
CCL17	2.4265
ZNF543	0.0966666666666667
ESRRG	1.1513
CNGA1	0.13025
RDH5	-0.586666666666667
OTX1	-1.6436
PTGFR	-3.04366666666667
CDR2	0.01625
SELE	5.44975
NLGN2	-0.8235
EXOSC9	-0.40375
ZNF566	0.230833333333333
KLRC2	-2.411
GPR12	0.7605
KIAA0196	1.35375
PDRG1	0.831
SSR3	0.859642857142857
MSI1	0.323
CST9	3.8015
CC2D1A	0.403625
PLAGL1	-1.03661111111111
ZNF778	-0.317
RNF2	-0.378875
KLF6	-0.327333333333333
THBD	1.62883333333333
tcag7.1314	1.10225
NR5A1	-0.0295
ABCD2	1.1495
DNAJC7	-1.733
CLEC4C	0.4455
TM2D3	1.172625
CCDC4	-0.9875
PLAC2	1.107
DCD	2.392
FAAH	1.45525
POLA1	-0.119
TM7SF2	-0.36225
FLJ39822	-1.61183333333333
FLOT2	-0.18525
MAP4K1	-0.0113333333333333
SRP68	0.472
C21orf74	0.599
ARPC5	-0.28275
LOC126075	0.68225
HECW2	0.274875
ZDHHC4	0.01525
ANKRD42	1.9735
PDE9A	-1.23566666666667
ABCA8	-0.35025
NDUFS2	0.441
UBR5	0.419
BTBD16	-2.27575
LOC554174	0.235
ZNF20	0.9245
KIAA1843	0.00850000000000001
WDR17	3.22475
C15orf33	0.207
RNF113A	0.2115
CAMKK1	-0.8367
CLCN2	0.52275
ANXA6	-1.857
LOC340069	0.5315
EMID1	0.453375
DPM3	0.180916666666667
ELA1	0.025
SLC25A13	-1.8595
KRT24	-0.13925
SMPD1	-0.817833333333333
TH	0.846375
COL6A2	0.427714285714286
ANKS1B	2.3595
GPR126	-2.4613
ZC3H12A	-0.438333333333333
TMEM47	0.106166666666667
C2orf51	0.0923333333333333
C1orf88	2.52716666666667
HSF2BP	0.27225
AKAP10	-0.72925
RPAP3	-0.748
KLHDC8B	0.198875
STOM	0.2662
MUPCDH	-0.33125
C10orf72	-0.4185
PLEKHA3	0.59325
TCP11L1	0.2785
CWF19L1	0.439125
SPEF1	0.900230769230769
YSK4	0.3225
ELN	0.8811
SAMD8	0.155666666666667
MPI	-0.429166666666667
MEPCE	-0.5267
ABCC3	-1.092
NANOGP1	-2.3645
KCNK17	0.453875
HLA-DMB	4.55383333333333
RRAGA	0.219
ANGEL1	-0.8785
RBM32B	0.2885
CPN1	-2.616
MGC52282	-0.0622
HLA-A	2.17975
OR9G4	0.728
EDNRB	-1.489
SCD	0.980928571428571
C14orf80	-1.21916666666667
BAGE2	0.513
RABL4	1.568
RCVRN	-0.611
SHANK1	0.3275
NLRP7	-0.85725
CD226	2.03625
STAT3	0.348625
SYNJ2	-0.5079
TPCN2	1.0595
WDR36	-0.713916666666667
MBD4	-0.01225
ROBO1	-1.0186
ST3GAL6	-2.92225
SLAMF8	3.707
ATN1	0.4945
GPR141	0.4225
KRT36	0.1975
TPH1	-0.6575
DDX52	-0.02225
ZSCAN29	0.182666666666667
TRPT1	-0.625833333333333
DPEP3	0.7535
DENND4A	-0.444
TSPAN16	-3.3095
PTCHD2	0.048
LOC145814	0.1225
CAP1	-0.413666666666667
EIF5A2	0.6413
NT5DC3	-1.291
SEPT9	-0.68575
SEZ6L2	1.3825
EGFLAM	2.8805
VPS11	-0.0085
NDUFB5	0.109666666666667
CIDEA	1.60766666666667
IER5L	1.083
N6AMT1	0.205
FAM83C	-0.19925
OXR1	0.7235
IRX1	-0.1195
DGKB	-0.675
GCN5L2	-0.7955
MIR16	0.302625
FBXW9	0.331
WDR4	-0.0443333333333333
PDC	0.096
VPS33B	-0.349
HEXB	-0.1145
FLJ32214	0.34425
TCEB3	-1.0555
CRLF1	-3.7735
ABI3BP	1.095
C8orf22	-3.39125
PYCR1	-0.12975
KIAA1706	0.319
CDK5R2	0.580875
WAS	0.926
C12orf60	0.673
CCBL2	-0.38425
MADD	-0.67375
C5orf34	-1.119
WDR42A	1.1131
KLF12	-1.218625
HSPA1A	3.47575
ITM2C	-1.196
DAPK2	1.763
LOC442590	-0.286
SUMF2	-1.02775
CENPA	-1.07546153846154
TMED5	0.061875
CDH6	-1.4544
BRP44	1.42175
THG1L	-0.667
GABRA2	-3.345
C14orf166	-0.1075
MYL1	-1.33366666666667
TNFSF18	0.9315
PAP2D	-1.53766666666667
PPIB	-0.255
KLHL4	-1.14225
SFN	-1.73066666666667
CCDC127	0.64225
FRAP1	0.54675
GOLGA5	0.1115
SDCCAG1	0.00425
MGC21675	-0.1405
C10orf95	-0.2015
KIAA1345	-0.7835
C1orf163	-1.1035
LACE1	-0.241833333333333
OR10K2	0.9025
CENPN	-1.48808
TMED2	0.41825
UGT1A6	-0.497
ANG	-1.098
U2AF1	-1.21933333333333
CASC2	0.834
NMT2	-2.04166666666667
OSGEPL1	0.525625
DFNB31	-0.967
SLC6A20	0.673625
DKC1	-0.329
FXYD4	-0.57025
WDR64	0.5325
MGC5590	0.7235
CREBZF	-1.141
DAZ1	-0.39775
PRPSAP1	-0.17925
GCHFR	0.04825
TTC7A	-0.04275
LOC196993	0.573
UBD	3.17716666666667
S100A1	-1.132625
RPL6	0.143333333333333
DNAJB6	0.8156
NAGS	1.2422
C2orf58	0.1685
KERA	0.853666666666667
MT1X	0.3409
UBE2B	1.4849
KEAP1	-0.164
MST1	-2.9995
OMA1	0.1325
ABLIM2	1.64125
BCL2L13	0.338166666666667
JAZF1	-0.2785
TMEM63B	0.892
S100A8	1.5142
ARFIP2	-0.45225
UROS	0.4385
KHDRBS2	-2.285
POLQ	-2.408
SOAT1	-0.606
SPAG4	-0.32375
MRPS30	-1.09116666666667
LOC494141	-0.08875
OR2T11	0.5085
ORAOV1	1.5181
ZNF184	-0.616833333333333
TCEB3B	-0.528333333333333
ADAM21	0.1245
GDPD1	0.92725
SPINLW1	0.38375
PRR14	0.0441666666666667
KCTD9	-1.1114
NUDT3	0.71225
KIAA1822	0.735
HIST1H4K	2.5555
DFNA5	-2.094
GABPA	-0.77025
C14orf44	-0.475
POLB	1.256125
PTAR1	-0.606
SEC31A	0.5863
TRIM58	-0.45375
TAS2R14	-1.2825
VPS8	-0.089875
H1F0	0.672333333333333
PRKCB1	-2.101
UGT2A1	0.618
TOR1B	0.81975
LSS	-1.31741666666667
C2orf19	0.097
HNRNPC	0.206
TMEM100	-1.8375
LOC116349	0.03325
OR51M1	0.3735
CCDC142	-0.9605
ISG15	2.934375
ZCCHC14	0.1345
CREBL2	0.522125
TGDS	-1.6395
DC2	0.017
CACNA2D3	-2.20957142857143
ZNF429	-0.729375
LYPD6	0.3625
